Gene ID,gene_name,gene_product,"B1-MG data, non-normalized",,,"B1-MG data, normalized",,,"MG-SG data, non-normalized",,,"MG-SG data, normalized",,,"SG-B2 data, non-normalized",,,"SG-B2 data, normalized",,,"SG-B2 data, normalized, BS fitness-corrected",,,"Blood stage fitness data (Bushell et al., 2017)",,Classified as metabolic?,Metabolic subsystem(s),Go Biological Process (computed),GO Biological Process (curated)
PBANKA_0611100,,"succinyl-CoA ligase, putative",1.275,0.460,not reduced,0.817,0.493,not reduced,0.158,0.175,not reduced,-0.340,0.198,not reduced,-0.172,0.488,no power,-0.823,0.540,no power,-0.607,0.658,no power,0.951,Dispensable,y,Carbon metabolism|Propanoate metabolism|Pyruvate metabolism, , 
PBANKA_1461000,,"methyltransferase, putative",0.731,0.172,not reduced,0.282,0.206,not reduced,0.467,0.062,not reduced,-0.001,0.084,not reduced,-0.818,0.226,no power,-1.477,0.280,no power,-1.486,0.315,no power,1.002,Dispensable,y,Carbon metabolism|Tryptophan metabolism, , 
PBANKA_1448300,,"homocysteine S-methyltransferase, putative",0.166,0.111,not reduced,-0.381,0.132,not reduced,0.236,0.108,not reduced,-0.081,0.126,not reduced,-0.613,0.120,not reduced,-1.278,0.142,no power,-1.095,0.524,no power,0.957,Dispensable,y,Cysteine and methionine metabolism, , 
PBANKA_0820900,,"long chain fatty acid elongation enzyme, putative",0.423,0.076,not reduced,-0.209,0.090,not reduced,0.150,0.097,not reduced,-0.279,0.118,not reduced,-10.075,0.652,reduced,-10.865,0.676,reduced,-10.447,0.722,reduced,0.910,Dispensable,y,Fatty acid metabolism, , 
PBANKA_1346500,PTPLA,protein tyrosine phosphatase-like protein,0.203,0.091,not reduced,-0.251,0.124,not reduced,-0.131,0.054,not reduced,-0.607,0.075,not reduced,-9.528,0.591,reduced,-10.331,0.645,reduced,-10.340,0.652,reduced,1.010,Dispensable,y,Fatty acid metabolism, , 
PBANKA_0104700,,"long chain polyunsaturated fatty acid elongation enzyme, putative",-0.465,0.065,not reduced,-1.176,0.088,reduced,-0.220,0.062,not reduced,-0.581,0.085,not reduced,-0.642,0.083,not reduced,-1.215,0.105,reduced,-0.569,0.298,no power,0.831,Dispensable,y,Fatty acid metabolism, , 
PBANKA_1438900,GCH1,"GTP cyclohydrolase I, putative",-1.625,0.798,no power,-2.027,0.813,no power,0.288,0.327,not reduced,-0.038,0.349,not reduced,-5.596,0.978,reduced,-6.155,1.002,reduced,-5.825,1.050,reduced,0.935,Dispensable,y,Folate biosynthesis, , 
PBANKA_1126700,,"6-pyruvoyltetrahydropterin synthase, putative",-1.061,0.655,no power,-1.893,0.722,no power,-1.640,0.483,no power,-2.296,0.546,reduced,2.643,0.327,not reduced,2.092,0.431,not reduced,2.313,0.531,not reduced,0.924,Dispensable,y,Folate biosynthesis, , 
PBANKA_0109400,SDH3,"succinate dehydrogenase subunit 3, putative",0.067,0.087,not reduced,-0.329,0.101,not reduced,0.204,0.072,not reduced,-0.157,0.090,not reduced,-0.378,0.099,not reduced,-0.946,0.117,no power,-0.668,0.278,no power,0.941,Dispensable,y,Glycerol 3-phosphate shuttle, , 
PBANKA_1040100,CK,choline kinase,-0.506,0.105,not reduced,-1.751,0.130,reduced,-0.089,0.136,not reduced,-0.474,0.162,not reduced,0.593,0.195,not reduced,-0.894,0.240,no power,7.292,0.515,not reduced,0.163,Slow,y,Glycerophospholipid metabolism, , 
PBANKA_0923700,EK,"ethanolamine kinase, putative",1.426,1.111,not reduced,1.043,1.129,no power,2.807,0.879,not reduced,2.324,0.909,not reduced,3.297,1.088,not reduced,2.617,1.180,not reduced,7.656,1.482,not reduced,0.309,Slow,y,Glycerophospholipid metabolism, , 
PBANKA_0715500,PGM2,phosphoglucomutase-2,-1.723,0.247,reduced,-2.116,0.261,reduced,1.177,0.235,not reduced,0.834,0.254,not reduced,-0.101,0.619,no power,-0.682,0.640,no power,0.085,0.667,no power,0.838,Slow,y,Glycolysis|Pentose phosphate pathway (PPP), , 
PBANKA_1001600,,"SET domain protein, putative",1.224,0.069,not reduced,0.071,0.094,not reduced,-0.141,0.045,not reduced,-0.521,0.067,not reduced,-0.600,0.087,not reduced,-2.390,0.134,reduced,-1.760,0.176,reduced,0.871,Slow,y,Histone metabolism|Lysine degradation, , 
PBANKA_1414600,IPK2,"inositol polyphosphate kinase, putative",0.274,0.167,not reduced,-0.445,0.211,not reduced,0.383,0.144,not reduced,-0.364,0.188,not reduced,-0.694,0.135,not reduced,-1.534,0.168,reduced,-1.485,0.204,reduced,0.986,Dispensable,y,Inositol phosphate (vit B8) metabolism, , 
PBANKA_1227700,,"inositol 5-phosphatase, putative",-0.472,0.149,not reduced,-1.786,0.177,reduced,-0.132,0.110,not reduced,-0.587,0.143,not reduced,-0.312,0.253,not reduced,-1.951,0.316,reduced,5.186,0.729,not reduced,0.360,Slow,y,Inositol phosphate (vit B8) metabolism, , 
PBANKA_1014400,,"acid phosphatase, putative",-2.186,0.143,reduced,-2.378,0.182,reduced,-0.364,0.091,not reduced,-0.734,0.124,not reduced,-3.440,0.430,reduced,-3.431,0.484,reduced,-2.329,0.890,no power,0.683,Dispensable,y,Inositol phosphate (vit B8) metabolism, , 
PBANKA_0827500,NADSYN,"glutamine-dependent NAD(+) synthetase, putative",-2.975,0.110,reduced,-3.500,0.126,reduced,-1.276,0.300,no power,-1.632,0.318,no power,0.644,0.479,not reduced,-0.063,0.498,no power,1.384,0.520,not reduced,0.703,Slow,y,Nicotinate and nicotinamide (vit B3) metabolism, , 
PBANKA_0714700,,"phosphopantothenoylcysteine decarboxylase, putative",0.273,0.045,not reduced,-0.247,0.061,not reduced,-0.150,0.046,not reduced,-0.498,0.063,not reduced,-0.069,0.043,not reduced,-0.743,0.061,not reduced,-0.695,0.113,not reduced,0.989,Dispensable,y,Pantothenate (vit B5) metabolism / CoA biosynthesis, , 
PBANKA_1444000,MIF,macrophage migration inhibitory factor,0.299,0.051,not reduced,-0.333,0.065,not reduced,-0.375,0.065,not reduced,-0.741,0.085,not reduced,0.632,0.084,not reduced,-0.177,0.109,not reduced,-0.193,0.150,not reduced,0.999,Dispensable,y,Phenylalanine metabolism|Tyrosine metabolism, , 
PBANKA_1303000,,"DEAD/DEAH helicase, putative",-0.492,2.166,no power,-0.621,2.378,no power,0.650,2.336,no power,0.573,2.548,no power,-2.926,3.226,no power,-3.076,3.409,no power,-2.584,3.415,no power,0.893,Dispensable,y,Purine metabolism, , 
PBANKA_0908500,,"myosin heavy chain subunit, putative",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.208,0.752,no power,1.016,Dispensable,y,Purine metabolism, , 
PBANKA_1346000,POLQ,"DNA polymerase theta, putative",0.455,0.048,not reduced,-0.068,0.064,not reduced,-0.246,0.048,not reduced,-0.588,0.065,not reduced,0.232,0.045,not reduced,-0.452,0.063,not reduced,-0.523,0.099,not reduced,1.019,Dispensable,y,Purine metabolism, , 
PBANKA_0611900,,"histidine triad protein, putative",-0.522,0.164,not reduced,-0.911,0.179,no power,-0.505,0.157,not reduced,-0.827,0.176,no power,1.741,0.218,not reduced,0.982,0.250,not reduced,0.406,0.586,not reduced,0.987,Dispensable,y,Purine metabolism, , 
PBANKA_0312700,,"DEAD/DEAH helicase, putative",-2.033,0.071,reduced,-2.559,0.088,reduced,-1.555,0.100,reduced,-1.916,0.118,reduced,-2.559,0.479,reduced,-3.257,0.499,reduced,-3.154,0.512,reduced,0.970,Dispensable,y,Purine metabolism, , 
PBANKA_1323300,,"pyridoxal 5'-phosphate synthase, putative",0.440,0.261,not reduced,-0.025,0.295,not reduced,-0.304,0.108,not reduced,-0.813,0.130,no power,-0.288,0.478,no power,-0.936,0.530,no power,-0.781,0.577,no power,0.966,Dispensable,y,Pyridoxal5P (vit B6) metabolism, , 
PBANKA_0604400,tGloII,"targeted glyoxalase II, putative",0.253,0.041,not reduced,-0.140,0.055,not reduced,-0.112,0.048,not reduced,-0.466,0.066,not reduced,-0.252,0.055,not reduced,-0.811,0.072,not reduced,-0.857,0.096,no power,1.013,Dispensable,y,Pyruvate metabolism, , 
PBANKA_0933900,,"glyoxalase I, putative",0.313,0.046,not reduced,-0.220,0.062,not reduced,-0.134,0.045,not reduced,-0.479,0.062,not reduced,0.568,0.044,not reduced,-0.113,0.062,not reduced,-0.231,0.175,not reduced,1.025,Dispensable,y,Pyruvate metabolism, , 
PBANKA_1014100,,"exodeoxyribonuclease III, putative",0.253,0.089,not reduced,-0.202,0.108,not reduced,0.421,0.072,not reduced,0.258,0.090,not reduced,0.681,0.096,not reduced,0.099,0.126,not reduced,0.186,0.202,not reduced,0.946,Dispensable,y,Redox metabolism, , 
PBANKA_1123900,SMS1,"sphingomyelin synthase 1, putative",0.400,0.090,not reduced,-0.051,0.124,not reduced,-0.261,0.054,not reduced,-0.744,0.075,not reduced,-0.852,0.155,no power,-1.453,0.205,reduced,-1.478,0.234,reduced,1.006,Dispensable,y,Sphingolipid metabolism, , 
PBANKA_1038300,TRAM,"translocation associated membrane protein, putative",-0.492,0.028,not reduced,-0.965,0.041,no power,-0.060,0.030,not reduced,-0.576,0.044,not reduced,0.970,0.043,not reduced,-0.566,0.061,not reduced,-0.516,0.114,not reduced,0.986,Dispensable,y,Sphingolipid metabolism, , 
PBANKA_0621800,COQ3,"3-demethylubiquinone-9 3-methyltransferase, putative",0.075,1.026,no power,-2.260,1.355,no power,-1.080,0.643,no power,-1.067,0.832,no power,-0.010,0.486,not reduced,-1.718,0.627,no power,2.951,0.875,not reduced,0.313,Slow,y,Ubiquinone and other terpenoid-quinone biosynthesis, , 
PBANKA_1312600,,"conserved Plasmodium protein, unknown function",-1.112,0.145,no power,-1.711,0.178,reduced,-0.434,0.147,not reduced,-1.034,0.182,no power,-9.276,0.550,reduced,-10.008,0.567,reduced,-10.187,0.606,reduced,1.043,Dispensable,,, , 
PBANKA_1349700,,"conserved Plasmodium protein, unknown function",-1.337,0.828,no power,-1.729,0.928,no power,3.254,0.200,not reduced,1.580,0.241,not reduced,-7.260,0.852,reduced,-8.193,0.882,reduced,-7.933,0.930,reduced,0.949,Dispensable,,, , 
PBANKA_0109600,,"conserved Plasmodium protein, unknown function",-0.874,0.847,no power,-1.264,0.947,no power,2.129,0.200,not reduced,0.465,0.241,not reduced,-7.191,0.860,reduced,-8.161,0.892,reduced,-7.779,0.916,reduced,0.910,Dispensable,,, , 
PBANKA_1119700,,"cleavage stimulation factor subunit 1, putative",-2.015,0.873,no power,-2.407,0.974,no power,2.577,0.618,not reduced,1.224,0.661,not reduced,-7.069,0.994,reduced,-8.040,1.023,reduced,-7.365,1.028,reduced,0.855,Slow,,, , 
PBANKA_0506300,,"conserved Plasmodium protein, unknown function",-0.980,0.553,no power,-1.456,0.587,no power,-0.934,0.499,no power,-1.413,0.520,no power,-6.506,0.742,reduced,-7.120,0.793,reduced,-7.092,0.834,reduced,1.009,Dispensable,,, , 
PBANKA_1238200,,"DnaJ protein, putative",-0.936,0.232,no power,-1.704,0.254,reduced,0.511,0.241,not reduced,0.079,0.264,not reduced,-7.174,0.395,reduced,-7.983,0.424,reduced,-6.893,0.458,reduced,0.780,Slow,,, , 
PBANKA_1214700,,"conserved Plasmodium protein, unknown function",-0.881,0.157,no power,-1.608,0.185,reduced,-0.727,0.141,no power,-1.198,0.177,no power,-5.952,0.467,reduced,-6.572,0.504,reduced,-5.947,0.597,reduced,0.863,Dispensable,,, , 
PBANKA_0621400,,"conserved Plasmodium protein, unknown function",-1.869,0.463,no power,-2.658,0.489,reduced,0.167,0.510,not reduced,-0.429,0.541,no power,-5.435,1.374,reduced,-5.825,1.407,reduced,-4.762,1.505,reduced,0.795,Dispensable,,, , 
PBANKA_1418100,,"conserved Plasmodium protein, unknown function",-0.883,0.282,no power,-1.486,0.315,no power,-1.078,0.298,no power,-1.692,0.334,reduced,-4.036,0.595,reduced,-4.771,0.612,reduced,-4.724,0.654,reduced,0.993,Dispensable,,, , 
PBANKA_1425400,,"conserved Plasmodium protein, unknown function",-0.738,0.795,no power,-1.131,0.810,no power,0.383,0.319,not reduced,0.046,0.341,not reduced,-3.619,0.945,reduced,-4.236,0.970,reduced,-4.118,1.111,reduced,0.957,Dispensable,,, , 
PBANKA_1358700,,"conserved Plasmodium protein, unknown function",-0.329,0.592,no power,-0.654,0.701,no power,-0.131,0.175,not reduced,-1.740,0.216,reduced,-3.078,0.295,reduced,-4.028,0.335,reduced,-3.925,0.473,reduced,0.950,Dispensable,,, , 
PBANKA_0933800,,"conserved Plasmodium protein, unknown function",-1.179,0.849,no power,-1.561,0.950,no power,1.367,0.467,not reduced,-0.074,0.508,no power,-2.863,0.756,reduced,-3.818,0.786,reduced,-3.631,0.805,reduced,0.957,Dispensable,,, , 
PBANKA_1024800,,"conserved Plasmodium protein, unknown function",-1.044,0.354,no power,-1.475,0.461,no power,0.864,0.083,not reduced,-0.811,0.125,no power,-2.931,0.220,reduced,-3.909,0.249,reduced,-3.508,0.345,reduced,0.898,Dispensable,,, , 
PBANKA_0505300,,"conserved Plasmodium protein, unknown function",-1.100,0.458,no power,-1.398,0.489,no power,1.811,0.514,not reduced,-1.545,0.653,no power,-4.911,1.055,reduced,-5.258,1.072,reduced,-3.490,1.132,reduced,0.665,Slow,,, , 
PBANKA_0104600,RAD50,"DNA repair protein RAD50, putative",-2.714,1.581,no power,-2.835,1.778,no power,0.949,1.881,no power,0.876,2.074,no power,-3.228,2.677,no power,-3.406,2.866,no power,-3.315,2.871,no power,0.980,Dispensable,,, , 
PBANKA_0405000,,"conserved Plasmodium protein, unknown function",-0.744,0.574,no power,-1.084,0.684,no power,1.386,0.110,not reduced,-0.286,0.152,not reduced,-2.646,0.292,reduced,-3.601,0.325,reduced,-3.214,0.416,reduced,0.902,Dispensable,,, , 
PBANKA_0110400,EIF3L,"eukaryotic translation initiation factor 3 subunit L, putative",-0.844,0.237,no power,-1.144,0.266,no power,0.904,0.258,not reduced,-2.168,0.372,reduced,-3.474,0.572,reduced,-3.905,0.592,reduced,-3.069,0.614,reduced,0.818,Slow,,, , 
PBANKA_0716200,,"calmodulin-like protein, putative",-0.661,0.211,no power,-1.402,0.260,no power,1.044,0.175,not reduced,0.750,0.211,not reduced,-4.881,1.237,reduced,-5.448,1.374,reduced,-2.584,1.493,no power,0.569,Slow,,, , 
PBANKA_0717900,,"RNA-binding protein, putative",-1.309,0.402,no power,-2.011,0.455,reduced,1.233,0.408,not reduced,0.974,0.443,not reduced,-5.730,1.341,reduced,-6.097,1.468,reduced,-2.538,1.845,no power,0.543,Slow,,, , 
PBANKA_0408600,EIF3K,"eukaryotic translation initiation factor 3 subunit K, putative",-1.096,1.178,no power,-1.201,1.366,no power,0.347,1.420,no power,0.254,1.605,no power,-3.000,2.208,no power,-3.219,2.404,no power,-2.308,2.411,no power,0.810,Slow,,, , 
PBANKA_1241200,,"conserved Plasmodium protein, unknown function",-0.774,0.376,no power,-1.203,0.481,no power,1.237,0.072,not reduced,-0.450,0.114,not reduced,-1.455,0.112,reduced,-2.435,0.139,reduced,-2.275,0.214,reduced,0.969,Dispensable,,, , 
PBANKA_0405900,,"conserved Plasmodium protein, unknown function",-0.735,0.655,no power,-1.089,0.762,no power,1.006,0.167,not reduced,-0.631,0.208,no power,-1.529,0.268,no power,-2.478,0.308,reduced,-2.184,0.423,reduced,0.913,Dispensable,,, , 
PBANKA_1446000,,"conserved Plasmodium protein, unknown function",-0.167,0.481,no power,-0.819,0.507,no power,-0.925,0.475,no power,-1.353,0.502,no power,-1.860,0.607,no power,-2.467,0.643,reduced,-1.985,0.708,no power,0.905,Dispensable,,, , 
PBANKA_1121000,,"conserved Plasmodium protein, unknown function",-0.283,0.599,no power,-0.670,0.702,no power,0.300,0.161,not reduced,-1.330,0.202,no power,-1.136,0.215,no power,-2.106,0.245,reduced,-1.938,0.387,reduced,0.945,Dispensable,,, , 
PBANKA_1430900,,"conserved Plasmodium protein, unknown function",-0.970,0.420,no power,-1.379,0.521,no power,0.969,0.099,not reduced,-0.700,0.141,not reduced,-1.196,0.153,no power,-2.185,0.180,reduced,-1.813,0.250,reduced,0.914,Dispensable,,, , 
PBANKA_0704700,,"conserved Plasmodium protein, unknown function",-1.343,0.217,no power,-1.761,0.238,reduced,0.514,0.248,not reduced,-0.008,0.266,not reduced,-1.235,0.354,no power,-1.929,0.374,reduced,-1.768,0.425,no power,0.973,Dispensable,,, , 
PBANKA_1336600,,"conserved Plasmodium protein, unknown function",-1.246,0.130,no power,-1.750,0.149,reduced,0.192,0.139,not reduced,-0.259,0.160,not reduced,-0.864,0.166,no power,-1.623,0.190,reduced,-1.663,0.247,reduced,1.003,Dispensable,,, , 
PBANKA_0929100,,"acyl-CoA-binding protein, putative",-1.049,0.126,no power,-1.349,0.153,reduced,0.531,0.147,not reduced,-1.213,0.220,no power,-1.868,0.208,reduced,-2.295,0.232,reduced,-1.642,0.312,reduced,0.762,Slow,,, , 
PBANKA_1104300,CEP120,"centrosomal protein CEP120, putative",0.171,0.769,no power,-0.341,0.805,no power,0.313,0.598,not reduced,-0.167,0.621,no power,-0.726,0.782,no power,-1.356,0.832,no power,-1.577,0.873,no power,1.056,Dispensable,,, , 
PBANKA_0312300,,"conserved Plasmodium protein, unknown function",-1.191,0.146,no power,-2.344,0.197,reduced,0.402,0.134,not reduced,0.099,0.175,not reduced,-3.661,1.181,reduced,-4.295,1.335,reduced,-1.565,1.361,no power,0.534,Slow,,, , 
PBANKA_0828500,PPP4,serine/threonine protein phosphatase 4,-3.279,1.333,no power,-3.660,1.437,no power,1.142,0.786,not reduced,-0.408,0.826,no power,-0.780,1.052,no power,-1.720,1.081,no power,-1.414,1.089,no power,0.933,Dispensable,,, , 
PBANKA_1008700,,"conserved Plasmodium protein, unknown function",-1.044,0.118,no power,-1.694,0.144,reduced,0.501,0.118,not reduced,0.109,0.144,not reduced,-1.001,0.239,no power,-1.686,0.280,reduced,-1.405,0.377,no power,0.890,Dispensable,,, , 
PBANKA_1038200,MISFIT,nuclear formin-like protein,-0.493,0.330,no power,-1.013,0.379,no power,0.454,0.371,not reduced,-0.203,0.444,no power,-0.024,0.550,no power,-1.352,0.641,no power,-1.353,0.694,no power,0.979,Dispensable,,, , 
PBANKA_0417800,,"conserved Plasmodium protein, unknown function",-1.107,0.064,no power,-1.616,0.083,reduced,0.285,0.075,not reduced,-0.195,0.095,not reduced,-0.425,0.083,not reduced,-1.190,0.105,no power,-1.343,0.134,reduced,1.005,Dispensable,,, , 
PBANKA_1442000,KCh1,potassium channel,-1.561,3.003,no power,-1.686,3.198,no power,0.778,3.577,no power,0.690,3.757,no power,-1.629,3.682,no power,-1.793,3.858,no power,-1.318,3.869,no power,0.896,Dispensable,,, , 
PBANKA_1303400,,"CCAAT-binding transcription factor, putative",-0.742,0.214,no power,-1.245,0.234,no power,0.197,0.223,not reduced,-0.260,0.250,not reduced,-0.485,0.215,not reduced,-1.421,0.244,no power,-1.244,0.317,no power,0.925,Dispensable,,, , 
PBANKA_1244300,,"zinc finger protein, putative",-0.793,0.136,no power,-1.224,0.156,no power,0.295,0.080,not reduced,-0.194,0.096,not reduced,-0.478,0.101,not reduced,-1.184,0.121,no power,-1.213,0.160,no power,0.998,Dispensable,,, , 
PBANKA_1314200,,"conserved Plasmodium protein, unknown function",-1.075,0.202,no power,-1.331,0.230,no power,0.132,0.250,not reduced,-2.139,0.331,reduced,-1.198,0.279,no power,-1.558,0.297,no power,-1.211,0.311,no power,0.924,Slow,,, , 
PBANKA_1122200,,"EGF-like membrane protein, putative",-0.793,0.312,no power,-1.005,0.348,no power,0.005,0.180,not reduced,-0.413,0.213,not reduced,-4.658,0.870,reduced,-5.184,0.942,reduced,-1.184,1.053,no power,0.420,Slow,,, , 
PBANKA_1322200,SAS4,"spindle assembly abnormal protein 4, putative",-1.007,0.500,no power,-1.549,0.559,no power,-0.254,0.182,not reduced,-0.753,0.217,no power,-0.860,0.556,no power,-1.501,0.607,no power,-1.160,0.724,no power,0.932,Dispensable,,, , 
PBANKA_0901800,,"conserved Plasmodium protein, unknown function",-0.463,0.428,no power,-0.867,0.529,no power,-0.299,0.175,not reduced,-1.915,0.216,reduced,-0.573,0.242,no power,-1.549,0.269,reduced,-1.150,0.424,no power,0.913,Dispensable,,, , 
PBANKA_1030400,,"conserved Plasmodium protein, unknown function",0.187,0.683,no power,-0.640,0.731,no power,-0.188,0.633,no power,-0.696,0.697,no power,0.461,0.733,no power,-1.086,0.819,no power,-1.090,0.855,no power,1.003,Dispensable,,, , 
PBANKA_1336500,,"conserved Plasmodium protein, unknown function",0.107,0.690,no power,-0.702,0.739,no power,1.961,0.546,not reduced,1.283,0.618,not reduced,0.378,0.715,no power,-1.001,0.806,no power,-1.084,0.878,no power,1.001,Dispensable,,, , 
PBANKA_1137400,,"conserved Plasmodium protein, unknown function",-0.363,0.531,no power,-0.745,0.634,no power,-0.541,0.175,not reduced,-2.141,0.215,reduced,-0.147,0.161,not reduced,-1.119,0.195,no power,-1.032,0.279,no power,0.957,Dispensable,,, , 
PBANKA_0811800,ALP5a,"actin-like protein, putative",-0.943,0.141,no power,-1.284,0.197,no power,0.456,0.128,not reduced,0.354,0.173,not reduced,-0.746,0.159,no power,-0.911,0.219,no power,-0.998,0.252,no power,1.027,Dispensable,,, , 
PBANKA_0301800,,"conserved Plasmodium protein, unknown function",-0.927,0.189,no power,-1.442,0.211,reduced,0.620,0.156,not reduced,0.134,0.180,not reduced,-0.109,0.146,not reduced,-0.962,0.175,no power,-0.996,0.216,no power,1.016,Dispensable,,, , 
PBANKA_1306700,,"conserved Plasmodium protein, unknown function",0.188,0.668,no power,-0.615,0.718,no power,1.248,0.544,not reduced,0.508,0.619,not reduced,0.729,0.730,not reduced,-0.727,0.822,no power,-0.874,0.854,no power,1.028,Dispensable,,, , 
PBANKA_1213200,,"conserved Plasmodium protein, unknown function",-0.630,0.466,no power,-1.299,0.524,no power,1.012,0.477,not reduced,0.347,0.559,not reduced,-0.212,0.690,no power,-1.535,0.775,no power,-0.872,0.829,no power,0.848,Dispensable,,, , 
PBANKA_0916900,,"conserved Plasmodium protein, unknown function",-0.971,0.426,no power,-1.380,0.527,no power,-0.293,0.175,not reduced,-1.892,0.215,reduced,0.099,0.151,not reduced,-0.865,0.182,no power,-0.866,0.261,no power,0.991,Dispensable,,, , 
PBANKA_0832400,,"conserved protein, unknown function",-1.018,0.130,no power,-1.350,0.160,reduced,-0.578,0.181,not reduced,-0.895,0.211,no power,-0.226,0.199,not reduced,-0.516,0.218,not reduced,-0.866,0.442,no power,0.960,Dispensable,,, , 
PBANKA_1144800,,"conserved Plasmodium protein, unknown function",-0.896,0.067,no power,-1.590,0.093,reduced,0.135,0.061,not reduced,-0.283,0.086,not reduced,-0.692,0.124,not reduced,-1.338,0.163,reduced,-0.839,0.267,no power,0.889,Dispensable,,, , 
PBANKA_0212300,ALP3,"actin-like protein, putative",-0.841,0.083,no power,-1.365,0.099,reduced,-0.379,0.088,not reduced,-0.722,0.105,not reduced,-0.044,0.095,not reduced,-0.768,0.114,not reduced,-0.788,0.230,no power,0.934,Dispensable,,, , 
PBANKA_0939800,,"nucleic acid binding protein, putative",-1.015,0.170,no power,-1.656,0.205,reduced,0.474,0.168,not reduced,-0.109,0.206,not reduced,0.037,0.103,not reduced,-0.703,0.119,not reduced,-0.723,0.169,no power,1.001,Dispensable,,, , 
PBANKA_1335000,,"conserved Plasmodium protein, unknown function",-0.804,0.183,no power,-1.253,0.209,no power,0.566,0.173,not reduced,0.202,0.195,not reduced,0.013,0.244,not reduced,-0.470,0.274,no power,-0.657,0.367,no power,1.055,Dispensable,,, , 
PBANKA_1450000,,"tetQ family GTPase, putative",-0.513,0.246,no power,-1.310,0.292,no power,0.333,0.214,not reduced,-0.410,0.259,not reduced,-0.262,0.382,no power,-0.941,0.414,no power,-0.632,0.451,no power,0.912,Dispensable,,, , 
PBANKA_0818400,,"conserved Plasmodium protein, unknown function",-0.352,0.699,no power,-1.179,0.748,no power,0.578,0.649,not reduced,0.111,0.712,no power,0.856,0.664,not reduced,-0.501,0.742,no power,-0.629,0.759,no power,1.031,Dispensable,,, , 
PBANKA_1400400,,fam-b protein,-0.197,0.700,no power,-1.006,0.749,no power,0.135,0.652,no power,-0.373,0.715,no power,0.860,0.744,not reduced,-0.817,0.832,no power,-0.584,0.857,no power,0.951,Dispensable,,, , 
PBANKA_1113400,PSOP12,"secreted ookinete protein, putative",-0.446,0.792,no power,-0.541,0.981,no power,0.193,0.814,no power,0.105,0.995,no power,-0.307,0.760,no power,-0.485,0.937,no power,-0.573,0.950,no power,1.021,Dispensable,,, , 
PBANKA_1108800,LRR2,leucine-rich repeat protein,-1.170,0.092,no power,-1.438,0.120,reduced,0.767,0.099,not reduced,-1.152,0.178,no power,0.118,0.065,not reduced,-0.235,0.082,not reduced,-0.566,0.220,no power,1.086,Dispensable,,, , 
PBANKA_1304800,,"conserved Plasmodium protein, unknown function",-1.023,0.234,no power,-1.624,0.266,reduced,0.800,0.221,not reduced,0.250,0.256,not reduced,0.190,0.086,not reduced,-0.550,0.102,not reduced,-0.527,0.250,no power,0.993,Dispensable,,, , 
PBANKA_0416400,,"conserved Plasmodium protein, unknown function",-1.197,0.125,no power,-1.535,0.155,reduced,-0.364,0.152,not reduced,-0.688,0.183,no power,-0.969,0.159,no power,-1.255,0.177,no power,-0.502,0.257,no power,0.840,Slow,,, , 
PBANKA_0703300,,"conserved Plasmodium protein, unknown function",-1.053,0.129,no power,-1.557,0.148,reduced,0.090,0.123,not reduced,-0.369,0.145,not reduced,0.289,0.099,not reduced,-0.488,0.122,not reduced,-0.491,0.244,not reduced,0.974,Dispensable,,, , 
PBANKA_1423100,,"phospholipase, putative",-0.979,0.072,no power,-1.555,0.087,reduced,0.206,0.099,not reduced,-0.243,0.121,not reduced,0.035,0.138,not reduced,-0.815,0.168,no power,-0.489,0.186,not reduced,0.924,Slow,,, , 
PBANKA_0828200,,"conserved Plasmodium protein, unknown function",-1.061,0.143,no power,-1.559,0.162,reduced,-0.257,0.192,not reduced,-0.740,0.212,no power,0.433,0.212,not reduced,-0.357,0.233,not reduced,-0.475,0.302,no power,1.006,Dispensable,,, , 
PBANKA_0824600,,"conserved protein, unknown function",-0.864,0.131,no power,-1.198,0.161,no power,0.081,0.149,not reduced,-0.261,0.180,not reduced,-0.007,0.126,not reduced,-0.302,0.145,not reduced,-0.472,0.227,not reduced,1.042,Dispensable,,, , 
PBANKA_0712100,,"DNA helicase, putative",-1.564,2.985,no power,-1.714,3.180,no power,0.114,3.577,no power,0.028,3.757,no power,-1.317,3.682,no power,-1.475,3.858,no power,-0.466,3.897,no power,0.792,Dispensable,,, , 
PBANKA_1430600,,"conserved Plasmodium protein, unknown function",-0.252,0.748,no power,-0.339,0.936,no power,-0.039,0.799,no power,-0.154,0.985,no power,-0.314,0.782,no power,-0.473,0.966,no power,-0.466,0.991,no power,1.002,Dispensable,,, , 
PBANKA_0913600,,"conserved Plasmodium protein, unknown function",-0.422,0.518,no power,-0.728,0.605,no power,-0.084,0.499,no power,-0.622,0.587,no power,-0.232,0.576,no power,-0.305,0.671,no power,-0.439,0.685,no power,1.032,Dispensable,,, , 
PBANKA_1358900,,"dynactin subunit 2, putative",-0.802,0.104,no power,-1.401,0.137,reduced,0.206,0.099,not reduced,-0.357,0.134,not reduced,0.267,0.035,not reduced,-0.464,0.051,not reduced,-0.438,0.128,not reduced,1.002,Dispensable,,, , 
