"Gene ID","source_id","Product Description","Gene Type","Is Pseudo","Gene Name or Symbol","Transcript Product Description"
"PBANKA_0507600","PBANKA_0507600.1","HORMA domain protein, putative","protein coding","No","N/A","HORMA domain protein, putative"
"PBANKA_0507700","PBANKA_0507700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0507800","PBANKA_0507800.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0507900","PBANKA_0507900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0508000","PBANKA_0508000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0508100","PBANKA_0508100.1","chromodomain-helicase-DNA-binding protein 1, putative","protein coding","No","CHD1","chromodomain-helicase-DNA-binding protein 1, putative"
"PBANKA_0508200","PBANKA_0508200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0508300","PBANKA_0508300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0508400","PBANKA_0508400.1","RNA-binding protein, putative","protein coding","No","N/A","RNA-binding protein, putative"
"PBANKA_0508500","PBANKA_0508500.1","ATP synthase-associated protein, putative","protein coding","No","N/A","ATP synthase-associated protein, putative"
"PBANKA_0508600","PBANKA_0508600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0508700","PBANKA_0508700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0508800","PBANKA_0508800.1","RAP protein, putative","protein coding","No","N/A","RAP protein, putative"
"PBANKA_0508900","PBANKA_0508900.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0509000","PBANKA_0509000.1","exported protein 3, putative","protein coding","No","EXP3","exported protein 3, putative"
"PBANKA_0509100","PBANKA_0509100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0509200","PBANKA_0509200.1","Eps15-like protein, putative","protein coding","No","N/A","Eps15-like protein, putative"
"PBANKA_0509300","PBANKA_0509300.1","glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative","protein coding","No","N/A","glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative"
"PBANKA_0509400","PBANKA_0509400.1","ATP synthase mitochondrial F1 complex assembly factor 2, putative","protein coding","No","ATP12","ATP synthase mitochondrial F1 complex assembly factor 2, putative"
"PBANKA_0509500","PBANKA_0509500.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0509600","PBANKA_0509600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0509700","PBANKA_0509700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0509800","PBANKA_0509800.1","cytochrome c oxidase copper chaperone, putative","protein coding","No","COX17","cytochrome c oxidase copper chaperone, putative"
"PBANKA_0509900","PBANKA_0509900.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0510000","PBANKA_0510000.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0510100","PBANKA_0510100.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0510200","PBANKA_0510200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0510300","PBANKA_0510300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0510400","PBANKA_0510400.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0510500","PBANKA_0510500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0510600","PBANKA_0510600.1","cell division cycle protein 20 homolog","protein coding","No","CDC20","cell division cycle protein 20 homolog"
"PBANKA_0510700","PBANKA_0510700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0510800","PBANKA_0510800.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0510900","PBANKA_0510900.1","40S ribosomal protein S2, putative","protein coding","No","RPS2","40S ribosomal protein S2, putative"
"PBANKA_0511000","PBANKA_0511000.1","biotin--protein ligase 1","protein coding","No","HCS1","biotin--protein ligase 1"
"PBANKA_0511100","PBANKA_0511100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0511200","PBANKA_0511200.1","U3 small nucleolar ribonucleoprotein protein MPP10, putative","protein coding","No","MPP10","U3 small nucleolar ribonucleoprotein protein MPP10, putative"
"PBANKA_0511300","PBANKA_0511300.1","ribosomal protein S22, mitochondrial, putative","protein coding","No","N/A","ribosomal protein S22, mitochondrial, putative"
"PBANKA_0511400","PBANKA_0511400.1","peroxiredoxin, putative","protein coding","No","nPrx","peroxiredoxin, putative"
"PBANKA_0511500","PBANKA_0511500.1","DNA-directed RNA polymerase II subunit RPB7, putative","protein coding","No","RPB7","DNA-directed RNA polymerase II subunit RPB7, putative"
"PBANKA_0511600","PBANKA_0511600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0511700","PBANKA_0511700.1","meiotic recombination protein SPO11-2, putative","protein coding","No","SPO11-2","meiotic recombination protein SPO11-2, putative"
"PBANKA_0511800","PBANKA_0511800.1","centrin-3, putative","protein coding","No","CEN3","centrin-3, putative"
"PBANKA_0511900","PBANKA_0511900.1","60S ribosomal protein L3, putative","protein coding","No","RPL3","60S ribosomal protein L3, putative"
"PBANKA_0512000","PBANKA_0512000.1","palmitoyltransferase DHHC10","protein coding","No","DHHC10","palmitoyltransferase DHHC10"
"PBANKA_0512100","PBANKA_0512100.1","methyltransferase, putative","protein coding","No","N/A","methyltransferase, putative"
"PBANKA_0512200","PBANKA_0512200.1","protoporphyrinogen oxidase, putative","protein coding","No","PPO","protoporphyrinogen oxidase, putative"
"PBANKA_0512300","PBANKA_0512300.1","RING zinc finger protein, putative","protein coding","No","N/A","RING zinc finger protein, putative"
"PBANKA_0512400","PBANKA_0512400.1","rRNA-processing protein EBP2, putative","protein coding","No","EBP2","rRNA-processing protein EBP2, putative"
"PBANKA_0512500","PBANKA_0512500.1","ribosome biogenesis protein RPF2, putative","protein coding","No","N/A","ribosome biogenesis protein RPF2, putative"
"PBANKA_0512600","PBANKA_0512600.1","partial CSTF domain-containing protein, putative","protein coding","No","N/A","partial CSTF domain-containing protein, putative"
"PBANKA_0512700","PBANKA_0512700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0512800","PBANKA_0512800.1","merozoite TRAP-like protein","protein coding","No","MTRAP","merozoite TRAP-like protein"
"PBANKA_0512900","PBANKA_0512900.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0513000","PBANKA_0513000.1","inner membrane complex protein 1m, putative","protein coding","No","IMC1m","inner membrane complex protein 1m, putative"
"PBANKA_0513100","PBANKA_0513100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0513200","PBANKA_0513200.1","WD repeat-containing protein, putative","protein coding","No","N/A","WD repeat-containing protein, putative"
"PBANKA_0513300","PBANKA_0513300.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0513400","PBANKA_0513400.1","LEM3/CDC50 family protein, putative","protein coding","No","CDC50C","LEM3/CDC50 family protein, putative"
"PBANKA_0513500","PBANKA_0513500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0513600","PBANKA_0513600.1","adenosine deaminase, putative","protein coding","No","ADA","adenosine deaminase, putative"
"PBANKA_0513700","PBANKA_0513700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0513800","PBANKA_0513800.1","heptatricopeptide repeat and RAP domain-containing protein, putative","protein coding","No","HPR2","heptatricopeptide repeat and RAP domain-containing protein, putative"
"PBANKA_0513900","PBANKA_0513900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0514000","PBANKA_0514000.1","transcription elongation factor SPT4, putative","protein coding","No","SPT4","transcription elongation factor SPT4, putative"
"PBANKA_0514100","PBANKA_0514100.1","pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative","protein coding","No","PRP22","pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative"
"PBANKA_0514200","PBANKA_0514200.1","claudin-like apicomplexan microneme protein, putative","protein coding","No","CLAMP","claudin-like apicomplexan microneme protein, putative"
"PBANKA_0514300","PBANKA_0514300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0514400","PBANKA_0514400.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0514500","PBANKA_0514500.1","26S proteasome regulatory subunit RPN9, putative","protein coding","No","RPN9","26S proteasome regulatory subunit RPN9, putative"
"PBANKA_0514600","PBANKA_0514600.1","tRNA N6-adenosine threonylcarbamoyltransferase, putative","protein coding","No","KAE1","tRNA N6-adenosine threonylcarbamoyltransferase, putative"
"PBANKA_0514700","PBANKA_0514700.1","RNA methyltransferase, putative","protein coding","No","N/A","RNA methyltransferase, putative"
"PBANKA_0514800","PBANKA_0514800.1","calmodulin, putative","protein coding","No","N/A","calmodulin, putative"
"PBANKA_0514900","PBANKA_0514900.1","ookinete surface protein P28","protein coding","No","P28","ookinete surface protein P28"
"PBANKA_0515000","PBANKA_0515000.1","ookinete surface protein P25","protein coding","No","P25","ookinete surface protein P25"
"PBANKA_0515100","PBANKA_0515100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0515200","PBANKA_0515200.1","MORN repeat-containing protein 1, putative","protein coding","No","MORN1","MORN repeat-containing protein 1, putative"
"PBANKA_0515300","PBANKA_0515300.1","SAE2 domain-containing protein, putative","protein coding","No","N/A","SAE2 domain-containing protein, putative"
"PBANKA_0515350","PBANKA_0515350.1","OTU-like cysteine protease, putative","protein coding","No","OTU","OTU-like cysteine protease, putative"
"PBANKA_0515400","PBANKA_0515400.1","protein GEXP15","protein coding","No","GEXP15","protein GEXP15"
"PBANKA_0515500","PBANKA_0515500.1","protein phosphatase inhibitor 3, putative","protein coding","No","I3","protein phosphatase inhibitor 3, putative"
"PBANKA_0515600","PBANKA_0515600.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0515700","PBANKA_0515700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0515800","PBANKA_0515800.1","ribosome maturation factor RimM, putative","protein coding","No","RimM","ribosome maturation factor RimM, putative"
"PBANKA_0515900","PBANKA_0515900.1","mRNA-decapping enzyme subunit 1, putative","protein coding","No","DCP1","mRNA-decapping enzyme subunit 1, putative"
"PBANKA_0516000","PBANKA_0516000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0516100","PBANKA_0516100.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0516200","PBANKA_0516200.1","phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative","protein coding","No","PIGA","phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative"
"PBANKA_0516300","PBANKA_0516300.1","DER1-like protein, putative","protein coding","No","N/A","DER1-like protein, putative"
"PBANKA_0516400","PBANKA_0516400.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0516500","PBANKA_0516500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0516600","PBANKA_0516600.1","leucine-rich repeat protein, putative","protein coding","No","LRR1","leucine-rich repeat protein, putative"
"PBANKA_0516700","PBANKA_0516700.1","RNA polymerase II-associated protein 1, putative","protein coding","No","N/A","RNA polymerase II-associated protein 1, putative"
"PBANKA_0516800","PBANKA_0516800.1","heptatricopeptide repeat-containing protein HPR1","protein coding","No","HPR1","heptatricopeptide repeat-containing protein HPR1"
"PBANKA_0516900","PBANKA_0516900.1","S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative","protein coding","No","AdoMetDC/ODC","S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative"
"PBANKA_0517000","PBANKA_0517000.1","early transcribed membrane protein","protein coding","No","ETRAMP10.2","early transcribed membrane protein"
"PBANKA_0517100","PBANKA_0517100.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0517200","PBANKA_0517200.1","haloacid dehalogenase-like hydrolase, putative","protein coding","No","HAD1","haloacid dehalogenase-like hydrolase, putative"
"PBANKA_0517300","PBANKA_0517300.1","WD repeat-containing protein 70, putative","protein coding","No","WDR70","WD repeat-containing protein 70, putative"
"PBANKA_0517400","PBANKA_0517400.1","pre-mRNA-splicing factor CEF1, putative","protein coding","No","CEF1","pre-mRNA-splicing factor CEF1, putative"
"PBANKA_0517500","PBANKA_0517500.1","bromodomain protein 1, putative","protein coding","No","BDP1","bromodomain protein 1, putative"
"PBANKA_0517600","PBANKA_0517600.1","plasmepsin VII","protein coding","No","N/A","plasmepsin VII"
"PBANKA_0517700","PBANKA_0517700.1","ubiquitin-conjugating enzyme E2, putative","protein coding","No","N/A","ubiquitin-conjugating enzyme E2, putative"
"PBANKA_0517800","PBANKA_0517800.1","Sec1 family protein, putative","protein coding","No","SLY1","Sec1 family protein, putative"
"PBANKA_0517900","PBANKA_0517900.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0518000","PBANKA_0518000.1","ribosomal protein L27, putative","protein coding","No","RPL27","ribosomal protein L27, putative"
"PBANKA_0518100","PBANKA_0518100.1","thioredoxin-like associated protein 2, putative","protein coding","No","TLAP2","thioredoxin-like associated protein 2, putative"
"PBANKA_0518200","PBANKA_0518200.1","flavoprotein subunit of succinate dehydrogenase, putative","protein coding","No","SDHA","flavoprotein subunit of succinate dehydrogenase, putative"
"PBANKA_0518300","PBANKA_0518300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0518400","PBANKA_0518400.1","translation initiation factor IF-3, putative","protein coding","No","IF3b","translation initiation factor IF-3, putative"
"PBANKA_0518500","PBANKA_0518500.1","ADP-ribosylation factor, putative","protein coding","No","N/A","ADP-ribosylation factor, putative"
"PBANKA_0518600","PBANKA_0518600.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0518700","PBANKA_0518700.1","methionine--tRNA ligase, putative","protein coding","No","N/A","methionine--tRNA ligase, putative"
"PBANKA_0518800","PBANKA_0518800.1","U2 snRNA/tRNA pseudouridine synthase, putative","protein coding","No","N/A","U2 snRNA/tRNA pseudouridine synthase, putative"
"PBANKA_0518900","PBANKA_0518900.1","conserved Plasmodium membrane protein, unknown function","protein coding","No","N/A","conserved Plasmodium membrane protein, unknown function"
"PBANKA_0519000","PBANKA_0519000.1","S-antigen, putative","protein coding","No","N/A","S-antigen, putative"
"PBANKA_0519100","PBANKA_0519100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0519200","PBANKA_0519200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0519300","PBANKA_0519300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0519400","PBANKA_0519400.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0519500","PBANKA_0519500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0519600","PBANKA_0519600.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0519700","PBANKA_0519700.1","phosducin-like protein 2, putative","protein coding","No","PhLP2","phosducin-like protein 2, putative"
"PBANKA_0519800","PBANKA_0519800.1","acetyl-CoA transporter, putative","protein coding","No","ACT","acetyl-CoA transporter, putative"
"PBANKA_0519900","PBANKA_0519900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0520000","PBANKA_0520000.1","pyruvate kinase 2, putative","protein coding","No","N/A","pyruvate kinase 2, putative"
"PBANKA_0520100","PBANKA_0520100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0520200","PBANKA_0520200.1","ADP/ATP transporter on adenylate translocase, putative","protein coding","No","N/A","ADP/ATP transporter on adenylate translocase, putative"
"PBANKA_0520300","PBANKA_0520300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0520400","PBANKA_0520400.1","dynamin-like protein, putative","protein coding","No","DYN2","dynamin-like protein, putative"
"PBANKA_0520500","PBANKA_0520500.1","TFIIH basal transcription factor complex helicase XPB subunit, putative","protein coding","No","XPB","TFIIH basal transcription factor complex helicase XPB subunit, putative"
"PBANKA_0520600","PBANKA_0520600.1","enhancer of rudimentary homolog, putative","protein coding","No","ERH","enhancer of rudimentary homolog, putative"
"PBANKA_0520700","PBANKA_0520700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0520800","PBANKA_0520800.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0520900","PBANKA_0520900.1","antigen UB05, putative","protein coding","No","N/A","antigen UB05, putative"
"PBANKA_0521000","PBANKA_0521000.1","GDP dissociation inhibitor, putative","protein coding","No","N/A","GDP dissociation inhibitor, putative"
"PBANKA_0521100","PBANKA_0521100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0521200","PBANKA_0521200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0521221","PBANKA_0521221.1","18S ribosomal RNA","rRNA encoding","No","N/A","18S ribosomal RNA"
"PBANKA_0521241","PBANKA_0521241.1","5.8S ribosomal RNA","rRNA encoding","No","N/A","5.8S ribosomal RNA"
"PBANKA_0521261","PBANKA_0521261.1","28S ribosomal RNA","rRNA encoding","No","N/A","28S ribosomal RNA"
"PBANKA_0521300","PBANKA_0521300.1","zinc finger protein, putative","protein coding","No","N/A","zinc finger protein, putative"
"PBANKA_0521400","PBANKA_0521400.1","serine/threonine protein kinase RIO2, putative","protein coding","No","RIO2","serine/threonine protein kinase RIO2, putative"
"PBANKA_0521500","PBANKA_0521500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0521600","PBANKA_0521600.1","holo-[acyl-carrier-protein] synthase, putative","protein coding","No","ACPS","holo-[acyl-carrier-protein] synthase, putative"
"PBANKA_0521700","PBANKA_0521700.1","AP2 domain transcription factor, putative","protein coding","No","ApiAP2","AP2 domain transcription factor, putative"
"PBANKA_0521800","PBANKA_0521800.1","ribosome-recycling factor, putative","protein coding","No","RRF2","ribosome-recycling factor, putative"
"PBANKA_0521900","PBANKA_0521900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0522000","PBANKA_0522000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0522100","PBANKA_0522100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0522200","PBANKA_0522200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0522300","PBANKA_0522300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0522400","PBANKA_0522400.1","steroid dehydrogenase, putative","protein coding","No","N/A","steroid dehydrogenase, putative"
"PBANKA_0522500","PBANKA_0522500.1","transmembrane emp24 domain-containing protein, putative","protein coding","No","N/A","transmembrane emp24 domain-containing protein, putative"
"PBANKA_0522600","PBANKA_0522600.1","erythrocyte membrane-associated antigen, putative","protein coding","No","N/A","erythrocyte membrane-associated antigen, putative"
"PBANKA_0522700","PBANKA_0522700.1","alpha tubulin 2","protein coding","No","N/A","alpha tubulin 2"
"PBANKA_0522800","PBANKA_0522800.1","40S ribosomal protein S19, putative","protein coding","No","RPS19","40S ribosomal protein S19, putative"
"PBANKA_0522900","PBANKA_0522900.1","pre-mRNA-splicing helicase BRR2, putative","protein coding","No","BRR2","pre-mRNA-splicing helicase BRR2, putative"
"PBANKA_0523000","PBANKA_0523000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0523100","PBANKA_0523100.1","eukaryotic initiation factor 4A-III, putative","protein coding","No","EIF4A3","eukaryotic initiation factor 4A-III, putative"
"PBANKA_0523200","PBANKA_0523200.1","serpentine receptor, putative","protein coding","No","SR12","serpentine receptor, putative"
"PBANKA_0523300","PBANKA_0523300.1","methyltransferase, putative","protein coding","No","N/A","methyltransferase, putative"
"PBANKA_0523400","PBANKA_0523400.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0523500","PBANKA_0523500.1","AP-4 complex subunit sigma, putative","protein coding","No","N/A","AP-4 complex subunit sigma, putative"
"PBANKA_0523600","PBANKA_0523600.1","BSD-domain protein, putative","protein coding","No","N/A","BSD-domain protein, putative"
"PBANKA_0523700","PBANKA_0523700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0523800","PBANKA_0523800.1","apical asparagine-rich protein AARP, putative","protein coding","No","AARP","apical asparagine-rich protein AARP, putative"
"PBANKA_0523900","PBANKA_0523900.1","glideosome associated protein with multiple membrane spans 2, putative","protein coding","No","GAPM2","glideosome associated protein with multiple membrane spans 2, putative"
"PBANKA_0524000","PBANKA_0524000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0524100","PBANKA_0524100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0524200","PBANKA_0524200.1","early transcribed membrane protein","protein coding","No","SEP2","early transcribed membrane protein"
"PBANKA_0524300","PBANKA_0524300.1","tryptophan-rich protein","protein coding","No","N/A","tryptophan-rich protein"
"PBANKA_0524400","PBANKA_0524400.1","tryptophan-rich protein","protein coding","No","N/A","tryptophan-rich protein"
"PBANKA_0524500","PBANKA_0524500.1","conserved rodent malaria protein, unknown function","protein coding","No","N/A","conserved rodent malaria protein, unknown function"
"PBANKA_0524600","PBANKA_0524600.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0524700","PBANKA_0524700.1","Plasmodium exported protein, unknown function","protein coding","No","N/A","Plasmodium exported protein, unknown function"
"PBANKA_0524800","PBANKA_0524800.1","early transcribed membrane protein","protein coding","No","SEP1","early transcribed membrane protein"
"PBANKA_0524821","PBANKA_0524821.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0524841","PBANKA_0524841.1","reticulocyte binding protein, putative, pseudogene","protein coding","Yes","N/A","reticulocyte binding protein, putative, pseudogene"
"PBANKA_0600011","PBANKA_0600011.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600021","PBANKA_0600021.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0600031","PBANKA_0600031.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600041","PBANKA_0600041.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600051","PBANKA_0600051.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600061","PBANKA_0600061.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0600071","PBANKA_0600071.1","conserved rodent malaria protein, unknown function","protein coding","No","N/A","conserved rodent malaria protein, unknown function"
"PBANKA_0600081","PBANKA_0600081.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600086","PBANKA_0600086.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600091","PBANKA_0600091.1","fam-c protein","protein coding","No","N/A","fam-c protein"
"PBANKA_0600096","PBANKA_0600096.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0600100","PBANKA_0600100.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600200","PBANKA_0600200.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600251","PBANKA_0600251.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0600300","PBANKA_0600300.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0600351","PBANKA_0600351.1","reticulocyte binding protein, putative","protein coding","No","Pb235","reticulocyte binding protein, putative"
"PBANKA_0600400","PBANKA_0600400.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0600500","PBANKA_0600500.1","GPN-loop GTPase, putative","protein coding","No","N/A","GPN-loop GTPase, putative"
"PBANKA_0600600","PBANKA_0600600.1","NIMA related kinase 3, putative","protein coding","No","NEK3","NIMA related kinase 3, putative"
"PBANKA_0600700","PBANKA_0600700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0600800","PBANKA_0600800.1","cytochrome c oxidase assembly protein COX19, putative","protein coding","No","COX19","cytochrome c oxidase assembly protein COX19, putative"
"PBANKA_0600900","PBANKA_0600900.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0601000","PBANKA_0601000.1","ATP-dependent DNA/RNA helicase PSH2, putative","protein coding","No","PSH2","ATP-dependent DNA/RNA helicase PSH2, putative"
"PBANKA_0601100","PBANKA_0601100.1","mitochondrial phosphate carrier protein, putative","protein coding","No","N/A","mitochondrial phosphate carrier protein, putative"
"PBANKA_0601200","PBANKA_0601200.1","dynein heavy chain, putative","protein coding","No","N/A","dynein heavy chain, putative"
"PBANKA_0601300","PBANKA_0601300.1","peptidyl-prolyl cis-trans isomerase, putative","protein coding","No","CYP26","peptidyl-prolyl cis-trans isomerase, putative"
"PBANKA_0601500","PBANKA_0601500.1","trimethylguanosine synthase, putative","protein coding","No","TGS1","trimethylguanosine synthase, putative"
"PBANKA_0601600","PBANKA_0601600.1","nuclear export mediator factor NEMF, putative","protein coding","No","NEMF","nuclear export mediator factor NEMF, putative"
"PBANKA_0601700","PBANKA_0601700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0601800","PBANKA_0601800.1","DNA/RNA-binding protein, putative","protein coding","No","N/A","DNA/RNA-binding protein, putative"
"PBANKA_0601900","PBANKA_0601900.1","high mobility group protein B1, putative","protein coding","No","HMGB1","high mobility group protein B1, putative"
