feature_symbol,product_description,gene_name,Unique_Core
PBANKA_0620400,"conserved protein, unknown function",null,NA
PBANKA_1354351:tRNA,tRNA Arginine,null,NA
PBANKA_0102900,"AP2 domain transcription factor, putative",SIP2,NA
PBANKA_1429200,"kelch domain-containing protein, putative",S20,NA
PBANKA_0209300,actin-related protein,ARP1,NA
PBANKA_0623150,"conserved rodent malaria protein, unknown function",null,NA
PBANKA_0816300,"heptatricopeptide repeat-containing protein, putative",null,NA
PBANKA_0828000,"zinc finger protein, putative",null,NA
PBANKA_1404300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1143800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0502500,serine/threonine protein phosphatase 8,PPP8,NA
PBANKA_1218000,"nicotinamidase, putative",null,NA
PBANKA_0409900,"heptatricopeptide repeat-containing protein, putative",null,NA
PBANKA_1019800,"calcium-dependent protein kinase, putative",null,NA
PBANKA_1352500,CPW-WPC family protein,null,NA
PBANKA_0523900,"glideosome associated protein with multiple membrane spans 2, putative",GAPM2,NA
PBANKA_1403700,"AP2 domain transcription factor, putative",ApiAP2,NA
PBANKA_1245150,"dolichol-phosphate mannosyltransferase subunit 3, putative",DPM3,NA
PBANKA_1008900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0201900,"conserved protein, unknown function",null,NA
PBANKA_0607000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1305500,"acid cluster protein 33 homologue, putative",null,NA
PBANKA_1326600,"mediator of RNA polymerase II transcription subunit 20, putative",MED20,NA
PBANKA_1129000,"secreted ookinete protein, putative",PSOP6,NA
PBANKA_0721800,"apical merozoite protein, putative",null,NA
PBANKA_1303900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0828100,"fumarate hydratase, putative",FH,NA
PBANKA_0904000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1035400,"glideosome associated protein with multiple membrane spans 3, putative",GAPM3,NA
PBANKA_0929200,"conserved protein, unknown function",null,NA
PBANKA_0213800,"conserved protein, unknown function",null,NA
PBANKA_1441000,"haloacid dehalogenase-like hydrolase, putative",HAD3,NA
PBANKA_1034700,"multifunctional methyltransferase subunit TRM112, putative",null,NA
PBANKA_1459500,"myosin A tail domain interacting protein MTIP, putative",MTIP,NA
PBANKA_1345500,"CTLH domain-containing protein, putative",null,NA
PBANKA_1361800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0101800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1026100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1361200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0712900,high mobility group protein B2,HMGB2,NA
PBANKA_0835400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1301300,trailer hitch homolog,CITH,NA
PBANKA_0702700,rhomboid protease ROM3,ROM3,NA
PBANKA_1202600,"E3 ubiquitin-protein ligase, putative",null,NA
PBANKA_1101200,"Plasmodium exported protein, unknown function",null,NA
PBANKA_0303500,"PH domain-containing protein, putative",PH1,NA
PBANKA_1243100,F-actin-capping protein subunit alpha,CPalpha,NA
PBANKA_1359500,"conserved protein, unknown function",null,NA
PBANKA_1107800,"longevity-assurance (LAG1) protein, putative",null,NA
PBANKA_0110500,leucine-rich repeat protein,LRR6,NA
PBANKA_0819000,"glideosome-associated protein 50, putative",GAP50,NA
PBANKA_0705600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1121000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1302700,"OST-HTH associated domain protein, putative",null,NA
PBANKA_1420800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0212800,"alpha/beta hydrolase, putative",null,NA
PBANKA_0104500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1108500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0506700,"citrate synthase, mitochondrial, putative",CS,NA
PBANKA_1415400,"conserved protein, unknown function",null,NA
PBANKA_1028200,"atypical protein kinase, ABC-1 family, putative",null,NA
PBANKA_0307200,"monocarboxylate transporter, putative",null,NA
PBANKA_1352600,"serine/threonine protein kinase, putative",null,NA
PBANKA_1209400,inner membrane complex sub-compartment protein 1,ISP1,NA
PBANKA_0929700,"haloacid dehalogenase-like hydrolase, putative",null,NA
PBANKA_0828500,serine/threonine protein phosphatase 4,PPP4,NA
PBANKA_1203700,"regulator of nonsense transcripts 1, putative",UPF1,NA
PBANKA_1224500,"Dpy-19-like C-mannosyltransferase, putative",DPY19,NA
PBANKA_1311600,"calponin homology domain-containing protein, putative",null,NA
PBANKA_0914600,"RNA (uracil-5-)methyltransferase, putative",null,NA
PBANKA_0714600,"vacuolar protein sorting-associated protein 2, putative",VPS2,NA
PBANKA_0926600,"protein GCN20, putative",GCN20,NA
PBANKA_1316100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0506900,"phospholipid scramblase, putative",null,NA
PBANKA_1323300,"pyridoxal 5'-phosphate synthase, putative",null,NA
PBANKA_1140900,"ribosomal protein S17, putative",MRPS17,NA
PBANKA_1451500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0917100,"serpentine receptor, putative",null,NA
PBANKA_1205200,"transmembrane protein 147, putative",TMEM147,NA
PBANKA_1118300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1418100,"ACDC domain-containing protein, putative",null,NA
PBANKA_1224900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0623450,"fam-a protein, pseudogene",null,NA
PBANKA_1202700,"RNA-binding protein, putative",null,NA
PBANKA_1314300,"S-adenosylmethionine-dependent methyltransferase, putative",null,NA
PBANKA_0937500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1418900,ras-related protein Rab-11A,Rab11a,NA
PBANKA_1338200,"beta-hydroxyacyl-ACP dehydratase, putative",FabZ,NA
PBANKA_0823100,"S-adenosylmethionine synthetase, putative",SAMS,NA
PBANKA_0515000,ookinete surface protein P25,P25,NA
PBANKA_0806300,"P-type ATPase, putative",ATPase7,NA
PBANKA_1109900,"stripes inner membrane complex protein, putative",SIP,NA
PBANKA_0825900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0704400,"alpha/beta hydrolase, putative",null,NA
PBANKA_1244900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0939500,DNA repair protein RAD51,RAD51,NA
PBANKA_1312900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1319000,"conserved protein, unknown function",null,NA
PBANKA_1314900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1323900,"conserved protein, unknown function",null,NA
PBANKA_1131851:tRNA,tRNA Threonine,null,NA
PBANKA_1309800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1124900,"oxidoreductase, putative",null,NA
PBANKA_1100860,fam-c protein,null,NA
PBANKA_0413500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0904300,"apicoplast import protein Tic20, putative",TIC20,NA
PBANKA_1241100,"WD repeat-containing protein 55, putative",WDR55,NA
PBANKA_0823300,"para-aminobenzoic acid synthetase, putative",null,NA
PBANKA_0208400,"major facilitator superfamily-related transporter, putative",MFR2,NA
PBANKA_1207800,"metalloprotease, putative",null,NA
PBANKA_1358900,"dynactin subunit 2, putative",null,NA
PBANKA_0815900,"BSD-domain protein, putative",null,NA
PBANKA_1022200,"DIX domain-containing protein, putative",null,NA
PBANKA_1356100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1106500,rhomboid protease ROM4,ROM4,NA
PBANKA_1400041,fam-b protein,null,NA
PBANKA_0825200,"thiamine pyrophosphokinase, putative",TPK,NA
PBANKA_0417000,"signal peptidase complex subunit 3, putative",SPC3,NA
PBANKA_1414100,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative",PIS,NA
PBANKA_0602800,"ubiquitin-conjugating enzyme E2, putative",UBC,NA
PBANKA_1360200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0801100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0604600,"conserved protein, unknown function",null,NA
PBANKA_0711300,"conserved protein, unknown function",null,NA
PBANKA_1306900,"serine/threonine protein kinase, putative",SRPK2,NA
PBANKA_0402400,"IBR domain protein, putative",null,NA
PBANKA_0938200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1015000,"mitochondrial ribosomal protein L15 precursor, putative",null,NA
PBANKA_1142600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0923300,"conserved protein, unknown function",null,NA
PBANKA_0000101,PIR protein,null,NA
PBANKA_0000301,fam-b protein,null,NA
PBANKA_0000401,"tryptophan-rich antigen, putative, pseudogene",null,NA
PBANKA_0000600,PIR protein,null,NA
PBANKA_0000701,PIR protein,null,NA
PBANKA_0000901,fam-a protein,null,NA
PBANKA_0001101,PIR protein,null,NA
PBANKA_0001200,"fam-a protein, pseudogene",null,NA
PBANKA_0001201,PIR protein,null,NA
PBANKA_0001301,PIR protein,null,NA
PBANKA_0001401,PIR protein,null,NA
PBANKA_0001601,fam-a protein,null,NA
PBANKA_0006300,PIR protein,null,NA
PBANKA_0007501,fam-a protein,null,NA
PBANKA_0007601,PIR protein,null,NA
PBANKA_0007701,"PIR protein, pseudogene",null,NA
PBANKA_0007801,fam-b protein,null,NA
PBANKA_0007901,PIR protein,null,NA
PBANKA_0008001,PIR protein,null,NA
PBANKA_0008101,fam-a protein,null,NA
PBANKA_0009101,"PIR protein, pseudogene",null,NA
PBANKA_0100021,fam-b protein,null,NA
PBANKA_0100081,"PIR protein, pseudogene",null,NA
PBANKA_0100200,"Plasmodium exported protein, unknown function",null,NA
PBANKA_0100300,"lysophospholipase, putative, pseudogene",null,NA
PBANKA_0100600,schizont membrane associated cytoadherence protein,SMAC,NA
PBANKA_0100700,"Plasmodium exported protein, unknown function",null,NA
PBANKA_0100800,"zinc finger protein, putative",null,NA
PBANKA_0100900,"ATP-dependent RNA helicase, putative",null,NA
PBANKA_0101000,"MYND-type zinc finger protein, putative",null,NA
PBANKA_0101200,"elongation factor G, putative",EF-G,NA
PBANKA_0101400,"SAC3 domain-containing protein, putative",null,NA
PBANKA_0101600,"JmjC domain-containing protein, putative",JmjC2,NA
PBANKA_0101900,"RNA-binding protein, putative",null,NA
PBANKA_0102000,"mitochondrial chaperone BCS1, putative",BCS1,NA
PBANKA_0102100,"dihydroorotate dehydrogenase, putative",DHODH,NA
PBANKA_0102200,"trophozoite exported protein 1, putative",TEX1,NA
PBANKA_0102300,cation/H+ antiporter,CAX,NA
PBANKA_0102400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0102500,"phenylalanine--tRNA ligase, putative",null,NA
PBANKA_0102600,"centrosomal protein CEP76, putative",CEP76,NA
PBANKA_0102800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0103000,"mitochondrial ribosomal protein L41, putative",null,NA
PBANKA_0103100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0103300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0103400,"glyoxalase I-like protein GILP, putative",GILP,NA
PBANKA_0103500,"RAP protein, putative",null,NA
PBANKA_0103700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0103800,"50S ribosomal protein L24, putative",null,NA
PBANKA_0103900,"RNA-binding protein, putative",null,NA
PBANKA_0104000,"conserved protein, unknown function",null,NA
PBANKA_0104100,"serine/threonine protein kinase, putative",ARK1,NA
PBANKA_0104300,"cyclin dependent kinase binding protein, putative",null,NA
PBANKA_0104600,"DNA repair protein RAD50, putative",RAD50,NA
PBANKA_0104700,"long chain polyunsaturated fatty acid elongation enzyme, putative",null,NA
PBANKA_0104800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0104900,"RNA-binding protein, putative",null,NA
PBANKA_0105000,"ubiquitin-conjugating enzyme E2 PEX4, putative",PEX4,NA
PBANKA_0105200,"polypyrimidine tract-binding protein, putative",PTB,NA
PBANKA_0105300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0105400,"coatomer alpha subunit, putative",null,NA
PBANKA_0105500,glutaredoxin-like protein,GLP2,NA
PBANKA_0105600,"translation initiation factor IF-2, putative",null,NA
PBANKA_0105700,"MYND-type zinc finger protein, putative",null,NA
PBANKA_0105800,"RING zinc finger protein, putative",null,NA
PBANKA_0105900,uroporphyrinogen III decarboxylase,UROD,NA
PBANKA_0106000,"G-protein associated signal transduction protein, putative",null,NA
PBANKA_0106100,"4-hydroxybenzoate polyprenyltransferase, putative",COQ2,NA
PBANKA_0106400,"GTP-binding protein, putative",null,NA
PBANKA_0106500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0106600,"diphthine methyltransferase, putative",DPH7,NA
PBANKA_0106700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0106800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0106900,"heptatricopeptide repeat-containing protein, putative",null,NA
PBANKA_0106950,"sorting assembly machinery 50 kDa subunit, putative",SAM50,NA
PBANKA_0107000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0107100,"proteasome subunit alpha type-2, putative",null,NA
PBANKA_0107300,"T-complex protein 1 subunit zeta, putative",CCT6,NA
PBANKA_0107400,"ornithine aminotransferase, putative",OAT,NA
PBANKA_0107500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0107600,"nucleoporin NUP637, putative",NUP637,NA
PBANKA_0107700,zinc transporter ZIP1,ZIP1,NA
PBANKA_0107800,"citrate synthase-like protein, putative",null,NA
PBANKA_0107900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0108000,"mitochondrial cardiolipin synthase, putative",CLS,NA
PBANKA_0108100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0108200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0108400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0108600,"pre-mRNA-splicing factor SLU7, putative",SLU7,NA
PBANKA_0108700,"RNA-binding protein 25, putative",RBM25,NA
PBANKA_0108800,"histone H3, putative",null,NA
PBANKA_0108900,"peptidyl-tRNA hydrolase PTRHD1, putative",null,NA
PBANKA_0109000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0109100,"transketolase, putative",TK,NA
PBANKA_0109200,"transcription elongation factor SPT5, putative",SPT5,NA
PBANKA_0109400,"succinate dehydrogenase subunit 3, putative",SDH3,NA
PBANKA_0109500,"AP2 domain transcription factor, putative",ApiAP2,NA
PBANKA_0109600,"ATP synthase-associated protein, putative",null,NA
PBANKA_0109700,"SWIB/MDM2 domain-containing protein, putative",SWIB,NA
PBANKA_0110000,"60S ribosomal protein L39, putative",null,NA
PBANKA_0110100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0110200,"lsm12, putative",null,NA
PBANKA_0110300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0110900,"cytoplasmic tRNA 2-thiolation protein 1, putative",NCS6,NA
PBANKA_0111000,"6-cysteine protein P12, putative",P12,NA
PBANKA_0111100,6-cysteine protein,P12p,NA
PBANKA_0111200,"nucleolar GTP-binding protein 1, putative",NOG1,NA
PBANKA_0111300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0111400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0111500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0111600,"rhoptry protein ROP14, putative",ROP14,NA
PBANKA_0111700,"50S ribosomal protein L18, apicoplast, putative",null,NA
PBANKA_0111800,"AP-3 complex subunit beta, putative",null,NA
PBANKA_0111900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0112000,"syntaxin-binding protein, putative",null,NA
PBANKA_0112100,"AP2 domain transcription factor, putative",ApiAP2,NA
PBANKA_0112300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0112400,"cytosolic Fe-S cluster assembly factor NAR1, putative",NAR1,NA
PBANKA_0112600,fam-b protein,null,NA
PBANKA_0112621,"PIR protein, pseudogene",null,NA
PBANKA_0112641,fam-b protein,null,NA
PBANKA_0112681,PIR protein,null,NA
PBANKA_0112701,fam-a protein,null,NA
PBANKA_0200500,"PIR protein, pseudogene",null,NA
PBANKA_0200600,fam-a protein,null,NA
PBANKA_0200650,fam-a protein,null,NA
PBANKA_0200700,fam-b protein,null,NA
PBANKA_0200751,"PIR protein, pseudogene",null,NA
PBANKA_0201000,fam-b protein,null,NA
PBANKA_0201200,"fam-a protein, pseudogene",null,NA
PBANKA_0201250,"PIR protein, pseudogene",null,NA
PBANKA_0201340,fam-c protein,null,NA
PBANKA_0201360,"PIR protein, pseudogene",null,NA
PBANKA_0201400,"fam-a protein, pseudogene",null,NA
PBANKA_0201450,"PIR protein, pseudogene",null,NA
PBANKA_0201500,"Plasmodium exported protein, unknown function",null,NA
PBANKA_0201600,early transcribed membrane protein,ETRAMP,NA
PBANKA_0201700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0201800,TatD-like deoxyribonuclease,TatD,NA
PBANKA_0202000,"eukaryotic translation initiation factor 4E, putative",null,NA
PBANKA_0202200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0202300,"UMP-CMP kinase, putative",null,NA
PBANKA_0202400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0202500,"P-loop containing nucleoside triphosphate hydrolase, putative",null,NA
PBANKA_0202600,"conserved protein, unknown function",null,NA
PBANKA_0202900,"transcription initiation factor TFIIB, putative",null,NA
PBANKA_0203000,"chromatin assembly factor 1 protein WD40 domain, putative",null,NA
PBANKA_0203100,"phosphatidylinositol-4-phosphate 5-kinase, putative",PIP5K,NA
PBANKA_0203200,"bromodomain protein, putative",null,NA
PBANKA_0203300,"DNA-directed RNA polymerase II subunit RPB9, putative",RPB9,NA
PBANKA_0203400,"FAD-linked sulfhydryl oxidase ERV1, putative",ERV1,NA
PBANKA_0203500,"selenocysteine-specific elongation factor, putative",SELB,NA
PBANKA_0203650,"conserved protein, unknown function",null,NA
PBANKA_0203750,"phosphatidate cytidylyltransferase, putative",null,NA
PBANKA_0203800,"phenylalanine--tRNA ligase alpha subunit, putative",null,NA
PBANKA_0203900,"rRNA biogenesis protein RRP36, putative",RRP36,NA
PBANKA_0204100,"N-acetyltransferase, GNAT family, putative",null,NA
PBANKA_0204200,"tubulin-specific chaperone a, putative",null,NA
PBANKA_0204400,"cleavage and polyadenylation specificity factor subunit 5, putative",null,NA
PBANKA_0204600,photosensitized INA-labeled protein PHIL1,PHIL1,NA
PBANKA_0204700,"mitochondrial carrier protein, putative",null,NA
PBANKA_0204800,"secreted ookinete protein, putative",PSOP24,NA
PBANKA_0204900,"conserved protein, unknown function",null,NA
PBANKA_0205000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0205100,"mitochondrial carrier protein, putative",null,NA
PBANKA_0205200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0205300,"conserved protein, unknown function",null,NA
PBANKA_0205400,"proteasome subunit beta type-3, putative",null,NA
PBANKA_0205800,eukaryotic translation initiation factor 2-alpha kinase 2,eIK2,NA
PBANKA_0205900,"Niemann-Pick type C1-related protein, putative",NCR1,NA
PBANKA_0206000,"ATP synthase-associated protein, putative",null,NA
PBANKA_0206100,"CCR4 domain-containing protein 3, putative",CCR4-3,NA
PBANKA_0206200,"conserved protein, unknown function",null,NA
PBANKA_0206300,"centrin-1, putative",CEN1,NA
PBANKA_0206400,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",IspD,NA
PBANKA_0206500,"ras-related protein Rab-5C, putative",RAB5c,NA
PBANKA_0206600,"asparagine and aspartate rich protein 2, putative",null,NA
PBANKA_0206800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0207000,"calcium-transporting ATPase, putative",SERCA,NA
PBANKA_0207300,"conserved protein, unknown function",null,NA
PBANKA_0207400,"3'-5' exonuclease, putative",null,NA
PBANKA_0207500,"cyclin-dependent kinases regulatory subunit, putative",null,NA
PBANKA_0207600,"asparagine-rich antigen, putative",null,NA
PBANKA_0207700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0207800,"conserved protein, unknown function",null,NA
PBANKA_0208000,cyclase-associated protein,C-CAP,NA
PBANKA_0208100,"heptatricopeptide repeat and RAP domain-containing protein, putative",null,NA
PBANKA_0208200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0208500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0208600,"conserved protein, unknown function",null,NA
PBANKA_0208700,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, putative",LytB,NA
PBANKA_0208800,"ubiquitin carboxyl-terminal hydrolase 1, putative",UBP1,NA
PBANKA_0208900,"StAR-related lipid transfer protein, putative",null,NA
PBANKA_0209100,thrombospondin-related sporozoite protein,TRSP,NA
PBANKA_0209200,parasite-infected erythrocyte surface protein,PIESP15,NA
PBANKA_0209500,"ATP-dependent RNA helicase, putative",null,NA
PBANKA_0209600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0209700,"zinc-carboxypeptidase, putative",null,NA
PBANKA_0209800,"conserved protein, unknown function",null,NA
PBANKA_0209900,"nucleoside transporter 4, putative",NT4,NA
PBANKA_0210000,"vacuolar protein sorting-associated protein 51, putative",VPS51,NA
PBANKA_0210100,"vacuolar protein sorting-associated protein VTA1, putative",null,NA
PBANKA_0210200,"aspartate--tRNA ligase, putative",null,NA
PBANKA_0210300,"seipin domain-containing protein, putative",null,NA
PBANKA_0210400,"DNA mismatch repair protein PMS1, putative",PMS1,NA
PBANKA_0210500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0210600,"ubiquitin carboxyl-terminal hydrolase, putative",null,NA
PBANKA_0210700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0210800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0210900,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2, putative",OST2,NA
PBANKA_0211000,"mitochondrial import inner membrane translocase subunit TIM50, putative",TIM50,NA
PBANKA_0211100,"vacuolar protein sorting-associated protein 53, putative",VPS53,NA
PBANKA_0211200,"conserved protein, unknown function",null,NA
PBANKA_0211300,"cysteine desulfurase, putative",NFS,NA
PBANKA_0211400,"DNA (cytosine-5)-methyltransferase, putative",DNMT,NA
PBANKA_0211500,"proteasome subunit alpha type-5, putative",null,NA
PBANKA_0211600,"mTERF domain-containing protein, putative",null,NA
PBANKA_0211700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0211800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0211900,"cation transporting ATPase, putative",null,NA
PBANKA_0212100,eukaryotic translation initiation factor 2 subunit alpha,eIF2alpha,NA
PBANKA_0212200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0212300,"actin-like protein, putative",ALP3,NA
PBANKA_0212400,"conserved protein, unknown function",null,NA
PBANKA_0212500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0212700,"RING zinc finger protein, putative",null,NA
PBANKA_0212900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0213000,"RNA-binding protein, putative",null,NA
PBANKA_0213100,"signal recognition particle subunit SRP9, putative",SRP9,NA
PBANKA_0213200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0213300,"1-cys peroxiredoxin, putative",AOP,NA
PBANKA_0213400,"60S ribosomal export protein NMD3, putative",NMD3,NA
PBANKA_0213500,"ribosome biogenesis protein BRX1, putative",null,NA
PBANKA_0213600,"mRNA (N6-adenosine)-methyltransferase, putative",null,NA
PBANKA_0213700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0214100,"conserved protein, unknown function",null,NA
PBANKA_0214200,"tRNA pseudouridine synthase D, putative",null,NA
PBANKA_0214300,"AP-4 complex subunit beta, putative",null,NA
PBANKA_0214400,AP2 domain transcription factor AP2-L,AP2-L,NA
PBANKA_0214500,"IMP1-like protein, putative",IMP2,NA
PBANKA_0214521:tRNA,tRNA Valine,null,NA
PBANKA_0214531:tRNA,tRNA Threonine,null,NA
PBANKA_0214700,"Plasmodium exported protein, unknown function",null,NA
PBANKA_0214800,"heat shock protein, putative",null,NA
PBANKA_0214900,fam-a protein,null,NA
PBANKA_0214951,"conserved rodent malaria protein, unknown function",null,NA
PBANKA_0215700,PIR protein,null,NA
PBANKA_0215900,"PIR protein, pseudogene",null,NA
PBANKA_0216000,PIR protein,null,NA
PBANKA_0216021,fam-b protein,null,NA
PBANKA_0216041,"tryptophan-rich protein, pseudogene",null,NA
PBANKA_0216061,PIR protein,null,NA
PBANKA_0216081,"PIR protein, pseudogene",null,NA
PBANKA_0216701,fam-a protein,null,NA
PBANKA_0216721,"Plasmodium exported protein, unknown function",null,NA
PBANKA_0216741,"lysophospholipase, putative, pseudogene",null,NA
PBANKA_0216761,"reticulocyte binding protein, putative",Pb235,NA
PBANKA_0216781,fam-a protein,null,NA
PBANKA_0216801,"reticulocyte binding protein, putative",null,NA
PBANKA_0300200,PIR protein,null,NA
PBANKA_0300300,PIR protein,null,NA
PBANKA_0300500,"PIR protein, pseudogene",null,NA
PBANKA_0300600,"Plasmodium exported protein, unknown function",null,NA
PBANKA_0300700,"nucleic acid binding protein, putative",null,NA
PBANKA_0300800,"octaprenyl pyrophosphate synthase, putative",OPP,NA
PBANKA_0300900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0301100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0301200,"ERCC1 nucleotide excision repair protein, putative",ERCC1,NA
PBANKA_0301300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0301351:tRNA,tRNA Glutamine,null,NA
PBANKA_0301500,"protein MAK16, putative",MAK16,NA
PBANKA_0301700,"5'-3' exonuclease, putative",null,NA
PBANKA_0301900,"Sel1 repeat-containing protein, putative",null,NA
PBANKA_0302000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0302100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0302200,"dynein light chain, putative",null,NA
PBANKA_0302300,"aspartate aminotransferase, putative",AspAT,NA
PBANKA_0302400,"5'-3' exonuclease, putative",null,NA
PBANKA_0302500,hexose transporter,HT,NA
PBANKA_0303100,"PCI domain-containing protein, putative",null,NA
PBANKA_0303200,"DNA-directed RNA polymerase II 16 kDa subunit, putative",null,NA
PBANKA_0303400,"RNA-binding protein, putative",null,NA
PBANKA_0303600,"26S proteasome regulatory subunit RPN1, putative",RPN1,NA
PBANKA_0303700,"DNA repair protein RAD2, putative",RAD2,NA
PBANKA_0303800,cysteine desulfuration protein SufE,SufE,NA
PBANKA_0303900,pantothenate transporter,PAT,NA
PBANKA_0304000,"pentafunctional AROM polypeptide, putative",AROM,NA
PBANKA_0304100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0304200,"DNA-directed RNA polymerase III subunit RPC10, putative",null,NA
PBANKA_0304300,"adenylosuccinate lyase, putative",ADSL,NA
PBANKA_0304400,merozoite surface protein 4/5,MSP4/5,NA
PBANKA_0304500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0304800,serine repeat antigen 4,SERA4,NA
PBANKA_0304900,serine repeat antigen 3,SERA3,NA
PBANKA_0305000,serine repeat antigen 2,SERA2,NA
PBANKA_0305100,serine repeat antigen 1,SERA1,NA
PBANKA_0305200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0305300,"KRR1 small subunit processome component, putative",KRR1,NA
PBANKA_0305400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0305500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0305600,"acyl carrier protein, putative",ACP,NA
PBANKA_0305700,"ribosome-recycling factor, putative",RRF1,NA
PBANKA_0305800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0305900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0306200,"patatin-like phospholipase, putative",null,NA
