P. berghei current ID,P. berghei previous ID,P. falciparum ID,Name,Product,Phenotype,Relative growth rate,Confidence,Expected variance,RGR CI low,RGR CI high,Times analysed,Construct
PBANKA_0503200,PBANKA_050320,PF3D7_1019000,,"eukaryotic translation initiation factor subunit eIF2A, putative",Essential,0.41,3.6,0.028,0.07,0.75,2,PbGEM-329307
PBANKA_0503300,PBANKA_050330,PF3D7_1019100,,"conserved Plasmodium protein, unknown function",Dispensable,0.86,4.9,0.007,0.69,1.03,1,PbGEM-273898
PBANKA_0503500,PBANKA_050350,PF3D7_1019300,,"zinc finger protein, putative",Slow,0.45,3.5,0.03,0.1,0.8,2,PbGEM-013945
PBANKA_0503600,PBANKA_050360,PF3D7_1019400,,"60S ribosomal protein L30e, putative",Essential,0.1,6.2,0.002,0.01,0.19,2,PbGEM-273914
PBANKA_0503700,PBANKA_050370,PF3D7_1019500.1,,"conserved Plasmodium protein, unknown function",Dispensable,0.97,6.7,0.001,0.9,1.04,1,PbGEM-273930
PBANKA_0503800,PBANKA_050380,PF3D7_1019600,,"conserved Plasmodium protein, unknown function",Dispensable,0.9,5.7,0.003,0.79,1.02,2,PbGEM-329323
PBANKA_0504000,PBANKA_050400,PF3D7_1019800,,"tRNA methyltransferase, putative",Essential,0.08,5.4,0.005,-0.05,0.22,2,PbGEM-013997
PBANKA_0504100,PBANKA_050410,PF3D7_1019900,ATG8,autophagy-related protein 8,Essential,0.07,7,0.001,0.01,0.13,3,PbGEM-273986
PBANKA_0504400,PBANKA_050440,,,"conserved Plasmodium protein, unknown function",Slow,0.58,4,0.019,0.31,0.86,2,PbGEM-014061
PBANKA_0505000,PBANKA_050500,PF3D7_1020800,,"dihydrolipoamide acyltransferase, putative",Dispensable,0.88,3.8,0.023,0.57,1.18,3,PbGEM-085541
PBANKA_0505100,PBANKA_050510,PF3D7_1020900,ARF1,"ADP-ribosylation factor, putative",Essential,0.07,4.7,0.009,-0.12,0.25,1,PbGEM-533755
PBANKA_0505200,PBANKA_050520,PF3D7_1021000,,"conserved Plasmodium protein, unknown function",Essential,0.06,7.6,0.001,0.01,0.1,2,PbGEM-329355
PBANKA_0505300,PBANKA_050530,PF3D7_1021100,,"conserved Plasmodium protein, unknown function",Slow,0.66,4.7,0.009,0.47,0.86,2,PbGEM-329363
PBANKA_0505400,PBANKA_050540,PF3D7_1021200,,"conserved Plasmodium protein, unknown function",Essential,0.02,8.4,0,-0.01,0.05,2,PbGEM-274138
PBANKA_0505700,PBANKA_050570,PF3D7_1021500,ROK1,"ATP-dependent RNA helicase ROK1, putative",Slow,0.76,6.1,0.002,0.66,0.85,2,PbGEM-230776
PBANKA_0505900,PBANKA_050590,PF3D7_1021700,,"conserved Plasmodium protein, unknown function",Slow,0.17,7.2,0.001,0.11,0.22,2,PbGEM-329379
PBANKA_0506100,PBANKA_050610,,,"conserved Plasmodium protein, unknown function",Essential,0.14,4.4,0.012,-0.08,0.36,2,PbGEM-274202
PBANKA_0506300,PBANKA_050630,PF3D7_1022100,,"conserved Plasmodium protein, unknown function",Dispensable,1.01,5.4,0.004,0.88,1.14,1,PbGEM-329395
PBANKA_0506500,PBANKA_050650,PF3D7_1022300,ZIPCO,ZIP domain-containing protein,Slow,0.86,5.7,0.003,0.74,0.98,1,PbGEM-230925
PBANKA_0506900,PBANKA_050690,PF3D7_1022700,,"phospholipid scramblase, putative",Dispensable,1.01,6.9,0.001,0.95,1.08,2,PbGEM-230990
PBANKA_0507000,PBANKA_050700,PF3D7_1022800,GcpE,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, putative",Essential,0.14,4.1,0.017,-0.11,0.4,2,PbGEM-085651
PBANKA_0507100,PBANKA_050710,PF3D7_1022900,,"CDGSH iron-sulfur domain-containing protein, putative",Essential,0.19,4,0.018,-0.07,0.46,2,PbGEM-329435
PBANKA_0507200,PBANKA_050720,PF3D7_1023000,,"conserved Plasmodium protein, unknown function",Dispensable,1.02,6.9,0.001,0.96,1.09,2,PbGEM-274330
PBANKA_0507300,PBANKA_050730,PF3D7_1023100,,"dynein heavy chain, putative",Dispensable,0.9,2,0.137,0.16,1.65,2,PbGEM-265588
PBANKA_0507400,PBANKA_050740,PF3D7_1023200,OMPDC,"orotidine 5'-phosphate decarboxylase, putative",Slow,0.29,5.3,0.005,0.15,0.44,2,PbGEM-341940
PBANKA_0507800,PBANKA_050780,PF3D7_1023600,,"conserved Plasmodium protein, unknown function",Dispensable,1.01,5.3,0.005,0.87,1.15,1,PbGEM-274386
PBANKA_0507900,PBANKA_050790,PF3D7_1023700,,"conserved Plasmodium protein, unknown function",Dispensable,1.02,4.9,0.007,0.85,1.19,1,PbGEM-329451
PBANKA_0508100,PBANKA_050810,PF3D7_1023900,CHD1,"chromodomain-helicase-DNA-binding protein 1, putative;SNF2 helicase, putative",Essential,0.16,4.4,0.012,-0.06,0.38,2,PbGEM-341948
PBANKA_0508300,PBANKA_050830,PF3D7_1024100,,"conserved Plasmodium protein, unknown function",Dispensable,0.98,4.6,0.01,0.78,1.18,2,PbGEM-014629
PBANKA_0508400,PBANKA_050840,PF3D7_1024200,,"RNA-binding protein, putative",Essential,0.06,8,0,0.02,0.09,2,PbGEM-274490
PBANKA_0509300,PBANKA_050930,PF3D7_1025100,,"glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative",Slow,0.54,3.8,0.022,0.24,0.83,2,PbGEM-274634
PBANKA_0509500,PBANKA_050950,PF3D7_1025300,,"conserved Plasmodium protein, unknown function",Essential,0.02,7,0.001,-0.04,0.08,2,PbGEM-329499
PBANKA_0509700,PBANKA_050970,PF3D7_1025500,,"conserved Plasmodium protein, unknown function",Essential,0.1,1,0.057,0.05,1,2,PbGEM-329507
PBANKA_0510400,PBANKA_051040,PF3D7_1026200,,"conserved Plasmodium protein, unknown function",Essential,0.07,7.7,0,0.03,0.12,2,PbGEM-274834
PBANKA_0510500,PBANKA_051050,PF3D7_1026300,,"conserved Plasmodium protein, unknown function",Dispensable,0.9,4.6,0.01,0.7,1.1,2,PbGEM-329539
PBANKA_0510600,PBANKA_051060,PF3D7_1026400,CDC20,cell division cycle protein 20 homolog,Dispensable,1.05,5.6,0.004,0.93,1.17,1,PbGEM-329547
PBANKA_0510800,PBANKA_051080,,,"conserved Plasmodium protein, unknown function",Slow,0.56,3.6,0.028,0.23,0.89,2,PbGEM-274890
PBANKA_0510900,PBANKA_051090,PF3D7_1026800,RPS2,"40S ribosomal protein S2, putative",Essential,0.03,7.4,0.001,-0.02,0.08,2,PbGEM-329555
PBANKA_0511000,PBANKA_051100,PF3D7_1026900,,"biotin--acetyl-CoA-carboxylase, putative",Dispensable,1,5.9,0.003,0.9,1.11,1,PbGEM-015012
PBANKA_0511200,PBANKA_051120,PF3D7_1027100,MPP10,"U3 small nucleolar ribonucleoprotein protein MPP10, putative",Essential,0.04,6.9,0.001,-0.03,0.1,2,PbGEM-274946
PBANKA_0511300,PBANKA_051130,PF3D7_1027200,,"mitochondrial ribosomal protein S22 precursor, putative",Essential,0.09,7.3,0.001,0.04,0.14,2,PbGEM-329563
PBANKA_0511400,PBANKA_051140,PF3D7_1027300,nPrx,"merozoite capping protein 1, putative;peroxiredoxin, putative",Slow,0.68,6.9,0.001,0.62,0.74,3,PbGEM-231569
PBANKA_0511500,PBANKA_051150,PF3D7_1027400,RPB7,"DNA-directed RNA polymerase II subunit RPB7, putative",Essential,0.26,2.8,0.06,-0.23,0.75,2,PbGEM-015092
PBANKA_0512100,PBANKA_051210,PF3D7_1028000,,"methyltransferase, putative",Slow,0.38,6,0.003,0.27,0.48,2,PbGEM-015181
PBANKA_0512200,PBANKA_051220,PF3D7_1028100,PPO,"protoporphyrinogen oxidase, putative",Dispensable,0.84,5.1,0.006,0.69,1,2,PbGEM-015197
PBANKA_0512300,PBANKA_051230,PF3D7_1028200,,"zinc finger, C3HC4 type, putative",Essential,0.07,5.2,0.006,-0.08,0.22,2,PbGEM-231686
PBANKA_0512600,PBANKA_051260,PF3D7_1028500,,"conserved Plasmodium protein, unknown function",Essential,0.09,5.4,0.004,-0.04,0.22,2,PbGEM-275090
PBANKA_0512700,PBANKA_051270,PF3D7_1028600,,"conserved Plasmodium protein, unknown function",Slow,0.91,6.4,0.002,0.83,0.99,1,PbGEM-275114
PBANKA_0512900,PBANKA_051290,PF3D7_1028800,,"conserved Plasmodium protein, unknown function",Essential,0.1,6.2,0.002,0.01,0.19,2,PbGEM-275146
PBANKA_0513000,PBANKA_051300,PF3D7_1028900,IMC1m,"inner membrane complex protein 1m, putative",Dispensable,1.06,5.6,0.004,0.94,1.18,1,PbGEM-086037
PBANKA_0513500,PBANKA_051350,,,"conserved Plasmodium protein, unknown function",Dispensable,0.78,4,0.019,0.51,1.06,2,PbGEM-533851
PBANKA_0513600,PBANKA_051360,PF3D7_1029600,ADA,"adenosine deaminase, putative",Dispensable,1.02,5.4,0.004,0.89,1.15,2,PbGEM-015379
PBANKA_0513900,PBANKA_051390,PF3D7_1029900,,"conserved Plasmodium protein, unknown function",Slow,0.71,5.3,0.005,0.56,0.85,3,PbGEM-329643
PBANKA_0514000,PBANKA_051400,PF3D7_1030000,SPT4,"transcription elongation factor SPT4, putative",Essential,0.1,1,Inf,NA,NA,2,PbGEM-231887
PBANKA_0514100,PBANKA_051410,PF3D7_1030100,PRP22,"pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative",Essential,0.04,2.6,0.078,-0.52,0.6,2,PbGEM-265476
PBANKA_0514200,PBANKA_051420,PF3D7_1030200,,"conserved Plasmodium protein, unknown function",Essential,0.25,4.5,0.011,0.03,0.46,2,PbGEM-329659
PBANKA_0514400,PBANKA_051440,PF3D7_1030400,,"conserved Plasmodium protein, unknown function",Dispensable,1.08,4.9,0.008,0.9,1.26,2,PbGEM-275346
PBANKA_0514500,PBANKA_051450,PF3D7_1030500,RPN9,"26S proteasome regulatory subunit RPN9, putative",Essential,0.03,6.2,0.002,-0.06,0.12,2,PbGEM-275370
PBANKA_0514900,PBANKA_051490,PF3D7_1030900,P28,28 kDa ookinete surface protein,Slow,0.97,9.5,0,0.96,0.99,54,PbGEM-015545
PBANKA_0515000,PBANKA_051500,PF3D7_1031000,P25,25 kDa ookinete surface antigen precursor,Dispensable,1,10,0,0.99,1.01,54,PbGEM-015561
PBANKA_0515100,PBANKA_051510,PF3D7_1031100,,"conserved Plasmodium protein, unknown function",Essential,0.11,6.4,0.002,0.03,0.19,2,PbGEM-329667
PBANKA_0515200,PBANKA_051520,PF3D7_1031200,MORN1,"MORN repeat-containing protein 1, putative",Dispensable,1,6.2,0.002,0.91,1.09,2,PbGEM-086151
PBANKA_0515300,PBANKA_051530,PF3D7_1031300,,"conserved Plasmodium protein, unknown function",Dispensable,0.92,5.4,0.004,0.79,1.06,1,PbGEM-275466
PBANKA_0515350,PBANKA_051535,PF3D7_1031400.1,,"OTU-like cysteine protease, putative",Dispensable,1.04,6.8,0.001,0.97,1.11,2,PbGEM-232086
PBANKA_0515600,PBANKA_051560,PF3D7_1031800,,"conserved Plasmodium protein, unknown function",Dispensable,0.88,5.6,0.004,0.76,1.01,2,PbGEM-275514
PBANKA_0516100,PBANKA_051610,PF3D7_1032300,,"conserved Plasmodium protein, unknown function",Essential,0.1,6.8,0.001,0.03,0.17,2,PbGEM-275594
PBANKA_0516300,PBANKA_051630,PF3D7_1032500,,"DER1-like protein, putative",Slow,0.73,5.3,0.005,0.59,0.88,2,PbGEM-232246
PBANKA_0516600,PBANKA_051660,PF3D7_1032800,LRR1,leucine-rich repeat protein,Dispensable,0.96,5.6,0.004,0.83,1.08,1,PbGEM-232294
PBANKA_0516700,PBANKA_051670,PF3D7_1032900,,"RNA polymerase II-associated protein 1, putative",Essential,0.22,4.4,0.012,0,0.44,2,PbGEM-086260
PBANKA_0516800,PBANKA_051680,PF3D7_1033000,,"conserved Plasmodium protein, unknown function",Essential,0.04,8.3,0,0.01,0.08,2,PbGEM-329699
PBANKA_0516900,PBANKA_051690,PF3D7_1033100,,"S-adenosylmethionine decarboxylase, putative",Essential,0.2,2.7,0.064,-0.31,0.71,2,PbGEM-015860
PBANKA_0517000,PBANKA_051700,,ETRAMP10.2,early transcribed membrane protein,Dispensable,0.98,4.9,0.008,0.8,1.15,1,PbGEM-275706
PBANKA_0517100,PBANKA_051710,PF3D7_1033300,,"conserved Plasmodium protein, unknown function",Dispensable,0.97,4.8,0.008,0.79,1.16,1,PbGEM-329707
PBANKA_0517200,PBANKA_051720,PF3D7_1033400,HAD1,"haloacid dehalogenase-like hydrolase, putative",Dispensable,1.02,5.8,0.003,0.91,1.13,1,PbGEM-232399
PBANKA_0517500,PBANKA_051750,PF3D7_1033700,BDP1,"bromodomain protein 1, putative",Essential,0.09,4.2,0.016,-0.16,0.34,2,PbGEM-329723
PBANKA_0517600,PBANKA_051760,PF3D7_1033800,,plasmepsin VII,Dispensable,1,6.1,0.002,0.9,1.09,2,PbGEM-086320
PBANKA_0517700,PBANKA_051770,PF3D7_1033900,,"ubiquitin-conjugating enzyme, putative",Dispensable,1.01,6.9,0.001,0.95,1.08,1,PbGEM-264508
PBANKA_0517800,PBANKA_051780,PF3D7_1034000,,"Sec1 family protein, putative",Slow,0.51,4,0.018,0.24,0.78,2,PbGEM-232532
PBANKA_0518100,PBANKA_051810,PF3D7_1034300,TLAP2,"thioredoxin-like associated protein 2, putative",Dispensable,1.08,4.6,0.01,0.88,1.28,2,PbGEM-275826
PBANKA_0518200,PBANKA_051820,PF3D7_1034400,SDHA,"flavoprotein subunit of succinate dehydrogenase, putative",Dispensable,0.81,3.8,0.022,0.52,1.11,2,PbGEM-275858
PBANKA_0518300,PBANKA_051830,PF3D7_1034500,,"conserved Plasmodium protein, unknown function",Dispensable,1.02,5,0.007,0.86,1.18,1,PbGEM-275882
PBANKA_0518500,PBANKA_051850,PF3D7_1034700,,"ADP-ribosylation factor, putative",Dispensable,1,6.8,0.001,0.93,1.07,1,PbGEM-232621
PBANKA_0518800,PBANKA_051880,PF3D7_1035000,,"tRNA pseudouridine synthase D, putative",Dispensable,0.96,6.7,0.001,0.89,1.03,1,PbGEM-016150
PBANKA_0519000,PBANKA_051900,,,"S-antigen, putative",Dispensable,0.96,5.3,0.005,0.82,1.11,2,PbGEM-276002
PBANKA_0519300,PBANKA_051930,,,"conserved Plasmodium protein, unknown function",Essential,0.2,3.8,0.022,-0.1,0.5,1,PbGEM-533899
PBANKA_0519500,PBANKA_051950,,,"conserved Plasmodium protein, unknown function",Essential,0.35,2.9,0.055,-0.12,0.82,1,PbGEM-533923
PBANKA_0519700,PBANKA_051970,PF3D7_1036700,PhLP2,"phosducin-like protein, putative",Dispensable,0.99,5.9,0.003,0.88,1.09,1,PbGEM-276154
PBANKA_0519800,PBANKA_051980,PF3D7_1036800,,"acetyl-CoA transporter, putative",Slow,0.82,5.9,0.003,0.72,0.93,1,PbGEM-265292
PBANKA_0519900,PBANKA_051990,PF3D7_1036900,,"conserved Plasmodium protein, unknown function",Slow,0.63,4.2,0.015,0.39,0.88,2,PbGEM-276178
PBANKA_0520000,PBANKA_052000,PF3D7_1037100,,"pyruvate kinase 2, putative",Essential,0.13,5,0.007,-0.03,0.3,2,PbGEM-341956
PBANKA_0520100,PBANKA_052010,PF3D7_1037200,,"conserved Plasmodium protein, unknown function",Dispensable,0.84,4.9,0.008,0.66,1.01,2,PbGEM-329795
PBANKA_0520200,PBANKA_052020,PF3D7_1037300,,"ADP/ATP transporter on adenylate translocase, putative",Slow,0.21,6.2,0.002,0.12,0.3,3,"PbGEM-121306,PbGEM-329803"
PBANKA_0520400,PBANKA_052040,PF3D7_1037500,DYN2,"dynamin-like protein, putative",Slow,0.23,5.7,0.003,0.12,0.35,3,PbGEM-232916
PBANKA_0520500,PBANKA_052050,PF3D7_1037600,,"DNA repair helicase RAD25, putative",Essential,0.14,5.4,0.005,0.01,0.28,2,PbGEM-086609
PBANKA_0520900,PBANKA_052090,PF3D7_1038000.1,,"antigen UB05, putative",Essential,0.02,7.8,0,-0.02,0.06,2,PbGEM-329835
PBANKA_0521000,PBANKA_052100,PF3D7_1038100,,"GDP dissociation inhibitor, putative",Essential,0.08,4.6,0.011,-0.13,0.28,3,PbGEM-233017
PBANKA_0521400,PBANKA_052140,PF3D7_0420100,RIO2,"serine/threonine protein kinase RIO2, putative",Essential,0.07,6.4,0.002,-0.01,0.16,4,PbGEM-072474
PBANKA_0521700,PBANKA_052170,PF3D7_0420300,ApiAP2,"transcription factor with AP2 domain(s), putative",Essential,0.04,6.5,0.002,-0.04,0.12,3,"PbGEM-226453,PbGEM-329843"
PBANKA_0521800,PBANKA_052180,PF3D7_0420400,RRF2,"ribosome-recycling factor, putative",Dispensable,1,6.6,0.001,0.93,1.08,2,PbGEM-233197
PBANKA_0522000,PBANKA_052200,PF3D7_0420600,,"conserved Plasmodium protein, unknown function",Essential,0.09,6,0.002,-0.01,0.19,2,PbGEM-276450
PBANKA_0522100,PBANKA_052210,PF3D7_0421700,,"conserved Plasmodium protein, unknown function",Dispensable,0.81,3.3,0.037,0.43,1.2,2,PbGEM-329851
PBANKA_0522300,PBANKA_052230,PF3D7_0421900,,"conserved Plasmodium protein, unknown function",Dispensable,0.98,5,0.007,0.82,1.15,1,PbGEM-016675
PBANKA_0522400,PBANKA_052240,PF3D7_0422000,,"steroid dehydrogenase, putative",Essential,0.2,3.9,0.021,-0.09,0.49,1,PbGEM-538163
PBANKA_0522700,PBANKA_052270,PF3D7_0422300,,alpha tubulin 2,Essential,0.07,6.9,0.001,0,0.13,1,PbGEM-533947
PBANKA_0522900,PBANKA_052290,PF3D7_0422500,BRR2,"pre-mRNA-splicing helicase BRR2, putative",Essential,0.04,5,0.007,-0.12,0.2,2,PbGEM-265140
PBANKA_0523100,PBANKA_052310,PF3D7_0422700,EIF4A3,"eukaryotic initiation factor 4A-III, putative",Essential,0.07,5.7,0.003,-0.04,0.19,2,PbGEM-276570
PBANKA_0523200,PBANKA_052320,PF3D7_0422800,SR12,"serpentine receptor, putative",Dispensable,0.97,5.6,0.004,0.85,1.09,2,PbGEM-086796
PBANKA_0524300,PBANKA_052430,,,tryptophan-rich antigen;tryptophan-rich protein,Slow,0.57,4.7,0.009,0.38,0.76,2,PbGEM-016974
PBANKA_0524800,PBANKA_052480,,Sep-01,early transcribed membrane protein;small exported protein,Dispensable,0.97,4.7,0.009,0.77,1.16,2,PbGEM-276786
PBANKA_0600800,PBANKA_060080,PF3D7_1201800,COX19,"cytochrome c oxidase assembly protein COX19, putative",Essential,0.12,7.8,0,0.08,0.16,2,PbGEM-276826
PBANKA_0600900,PBANKA_060090,PF3D7_1201900,,"conserved Plasmodium protein, unknown function",Dispensable,0.9,5.1,0.006,0.74,1.05,1,PbGEM-329923
PBANKA_0601000,PBANKA_060100,PF3D7_1202000,,"ATP dependent RNA helicase, putative",Essential,0.21,4,0.018,-0.06,0.48,2,PbGEM-017095
PBANKA_0601100,PBANKA_060110,PF3D7_1202200,,"mitochondrial phosphate carrier protein, putative",Essential,0.14,3.8,0.023,-0.16,0.45,2,PbGEM-233966
PBANKA_0601200,PBANKA_060120,PF3D7_1202300,,"dynein heavy chain, putative",Slow,0.71,4.3,0.013,0.48,0.94,2,PbGEM-276866
PBANKA_0601500,PBANKA_060150,PF3D7_1202500,TGS1,"trimethylguanosine synthase, putative",Dispensable,0.98,4.8,0.008,0.79,1.16,1,PbGEM-276922
PBANKA_0601700,PBANKA_060170,PF3D7_1202700,,"conserved Plasmodium protein, unknown function",Essential,0.12,4.9,0.007,-0.05,0.3,2,PbGEM-276954
PBANKA_0602000,PBANKA_060200,PF3D7_1203000,ORC1,"origin recognition complex subunit 1, putative",Essential,0.31,2.7,0.067,-0.2,0.83,2,PbGEM-234148
PBANKA_0602400,PBANKA_060240,PF3D7_1203400,,"transporter, putative",Dispensable,0.78,4.5,0.011,0.57,0.99,2,PbGEM-017291
PBANKA_0602700,PBANKA_060270,PF3D7_1203700,NAPL,"nucleosome assembly protein, putative",Essential,0.18,5.1,0.006,0.02,0.34,2,PbGEM-232198
PBANKA_0602800,PBANKA_060280,PF3D7_1203900,UBC,"ubiquitin-conjugating enzyme E2, putative",Essential,0.21,5.3,0.005,0.07,0.35,2,PbGEM-017355
PBANKA_0603000,PBANKA_060300,PF3D7_1204100,,"conserved Plasmodium protein, unknown function",Dispensable,1,6.3,0.002,0.92,1.09,1,PbGEM-277090
PBANKA_0603400,PBANKA_060340,PF3D7_1204500,,"conserved Plasmodium protein, unknown function",Essential,0.07,6.3,0.002,-0.02,0.15,2,PbGEM-277162
PBANKA_0603500,PBANKA_060350,PF3D7_1204600,,"cytidine deaminase, putative",Essential,0.17,4.2,0.015,-0.07,0.41,2,PbGEM-017450
PBANKA_0603800,PBANKA_060380,PF3D7_1205100,SEPSECS,"O-phosphoseryl-tRNA(Sec) selenium transferase, putative",Dispensable,0.98,6,0.002,0.88,1.08,1,PbGEM-330011
PBANKA_0603900,PBANKA_060390,PF3D7_1205200,HADO,HAD domain ookinete protein,Dispensable,0.8,4.4,0.013,0.57,1.03,2,PbGEM-534019
PBANKA_0604300,PBANKA_060430,PF3D7_1205600,,"conserved Plasmodium protein, unknown function",Essential,0.21,4,0.018,-0.06,0.48,2,PbGEM-017587
PBANKA_0604400,PBANKA_060440,PF3D7_1205700,tGloII,"targeted glyoxalase II, putative",Dispensable,1.01,7.5,0.001,0.97,1.06,2,PbGEM-017603
PBANKA_0604700,PBANKA_060470,PF3D7_1206000,SHLP2,"shewanella-like protein phosphatase 2, putative",Dispensable,1.09,5.5,0.004,0.96,1.22,1,PbGEM-232478
PBANKA_0604800,PBANKA_060480,PF3D7_1206200,EIF3C,"eukaryotic translation initiation factor 3 subunit C, putative",Essential,0.29,3.3,0.039,-0.1,0.68,2,PbGEM-341988
PBANKA_0605100,PBANKA_060510,PF3D7_1206500,,"Tat binding protein 1(TBP-1)-interacting protein, putative",Dispensable,1.06,5.9,0.003,0.96,1.16,1,PbGEM-277394
PBANKA_0605200,PBANKA_060520,PF3D7_1206600,RPC2,"DNA-directed RNA polymerase III subunit RPC2, putative",Essential,0.2,4.1,0.017,-0.06,0.47,2,PbGEM-087102
PBANKA_0605300,PBANKA_060530,PF3D7_1206700,EIF5,"eukaryotic translation initiation factor 5, putative",Essential,0.34,2.6,0.078,-0.22,0.9,2,PbGEM-265636
PBANKA_0605400,PBANKA_060540,PF3D7_1206800,,"conserved Plasmodium protein, unknown function",Essential,0.14,5.8,0.003,0.03,0.25,2,PbGEM-277418
PBANKA_0605700,PBANKA_060570,PF3D7_1207100,,"small subunit rRNA processing factor, putative",Essential,0.04,7.5,0.001,-0.01,0.09,2,PbGEM-277490
PBANKA_0606000,PBANKA_060600,PF3D7_1207500,,"RNA-binding protein, putative",Essential,0.16,6.3,0.002,0.07,0.24,2,PbGEM-017859
PBANKA_0606100,PBANKA_060610,PF3D7_1207600,MiaA,"tRNA delta(2)-isopentenylpyrophosphate transferase, putative",Dispensable,0.97,5,0.006,0.8,1.13,1,PbGEM-277538
PBANKA_0606200,PBANKA_060620,PF3D7_1207700,,"blood stage antigen 41-3 precursor, putative",Dispensable,1.02,5.7,0.003,0.9,1.13,1,PbGEM-087185
PBANKA_0606600,PBANKA_060660,PF3D7_1208100,,"conserved Plasmodium protein, unknown function",Essential,0.07,6.8,0.001,0,0.14,2,PbGEM-330043
PBANKA_0606800,PBANKA_060680,PF3D7_1208300,,"mitochondrial ACP precursor, putative",Essential,0.08,6.7,0.001,0.01,0.15,3,PbGEM-232814
PBANKA_0606900,PBANKA_060690,PF3D7_1208400,,"amino acid transporter, putative",Dispensable,0.86,4.5,0.012,0.65,1.08,2,PbGEM-330067
PBANKA_0607100,PBANKA_060710,PF3D7_1208600,TIM10,"mitochondrial import inner membrane translocase subunit TIM10, putative",Essential,0.07,7.8,0,0.03,0.12,2,PbGEM-264108
PBANKA_0607700,PBANKA_060770,PF3D7_1209300,KROX1,"zinc finger transcription factor, putative",Essential,0.04,5.7,0.003,-0.08,0.15,2,PbGEM-277730
PBANKA_0607800,PBANKA_060780,PF3D7_1209400,CIA1,"cytosolic iron-sulfur protein assembly protein 1, putative",Essential,0.04,7.5,0.001,-0.01,0.08,2,PbGEM-330083
PBANKA_0608000,PBANKA_060800,PF3D7_1209600,PBGD,"porphobilinogen deaminase, putative",Dispensable,1.01,5.7,0.003,0.9,1.13,1,PbGEM-018144
PBANKA_0608400,PBANKA_060840,PF3D7_1210000,RPL1,"50S ribosomal protein L1, apicoplast, putative",Essential,0.07,6.6,0.001,-0.01,0.14,2,PbGEM-277802
PBANKA_0608600,PBANKA_060860,PF3D7_1210200,,"zinc finger protein, putative",Dispensable,0.99,5.2,0.005,0.85,1.14,1,PbGEM-018233
PBANKA_0608700,PBANKA_060870,PF3D7_1210300,,"conserved Plasmodium protein, unknown function",Slow,0.47,4.9,0.007,0.29,0.64,2,PbGEM-277810
PBANKA_0608800,PBANKA_060880,,,"conserved Plasmodium protein, unknown function",Dispensable,1.01,5.7,0.003,0.9,1.13,2,PbGEM-277818
PBANKA_0608900,PBANKA_060890,PF3D7_1210400,,"general transcription factor 3C polypeptide 5, putative",Essential,0.14,4.5,0.011,-0.08,0.35,2,PbGEM-277834
PBANKA_0609100,PBANKA_060910,PF3D7_1210600,,"conserved Plasmodium protein, unknown function",Essential,0.29,4.1,0.016,0.04,0.54,2,PbGEM-330099
PBANKA_0609200,PBANKA_060920,PF3D7_1210700,,"conserved Plasmodium protein, unknown function",Dispensable,0.96,6.8,0.001,0.89,1.03,1,PbGEM-277882
PBANKA_0609300,PBANKA_060930,PF3D7_1210900,PIGM,"GPI mannosyltransferase I, putative",Essential,0.17,5.5,0.004,0.05,0.3,2,PbGEM-330107
NA,PBANKA_060940,NA,NA,NA,Essential,0.23,3.8,0.023,-0.08,0.53,1,PbGEM-330115
PBANKA_0609700,PBANKA_060970,PF3D7_1211200,,"conserved Plasmodium protein, unknown function",Essential,0.09,6.3,0.002,0,0.17,2,PbGEM-277914
PBANKA_0609900,PBANKA_060990,PF3D7_1211400,,"heat shock protein DNAJ homologue Pfj4, putative",Insufficient data,0.99,0.7,0.516,-0.45,2.42,2,PbGEM-277930
PBANKA_0610000,PBANKA_061000,PF3D7_1211500,,"mitochondrial ribosomal protein S18 precursor, putative",Essential,0.05,7.7,0,0.01,0.09,2,PbGEM-330123
PBANKA_0610100,PBANKA_061010,PF3D7_1211600,LSD1,"lysine-specific histone demethylase 1, putative",Dispensable,0.98,2.5,0.079,0.41,1.54,2,"PbGEM-233431,PbGEM-330131"
PBANKA_0610300,PBANKA_061030,PF3D7_1211800,,"polyubiquitin, putative",Essential,0.09,4.7,0.009,-0.09,0.28,2,PbGEM-264940
PBANKA_0610400,PBANKA_061040,PF3D7_1211900,ATP4,"non-SERCA-type Ca2+ -transporting P-ATPase, putative",Slow,0.64,4.6,0.01,0.44,0.84,3,PbGEM-087402
PBANKA_0610600,PBANKA_061060,PF3D7_1212100,PPP1,"peripheral plastid protein 1, putative",Essential,0.06,7.4,0.001,0.01,0.1,4,PbGEM-233541
PBANKA_0611000,PBANKA_061100,PF3D7_1437800,,"trafficking protein particle complex subunit 5, putative",Essential,0.1,1,0.581,-1.21,1.84,2,PbGEM-233650
PBANKA_0611100,PBANKA_061110,PF3D7_1437700,,"succinyl-CoA ligase, putative",Dispensable,0.95,4.9,0.008,0.78,1.12,1,PbGEM-087458
PBANKA_0611400,PBANKA_061140,PF3D7_1437400,,"pantothenate kinase, putative",Dispensable,0.91,4.8,0.008,0.74,1.09,2,PbGEM-018598
PBANKA_0611500,PBANKA_061150,PF3D7_1437300,,"conserved Plasmodium protein, unknown function",Essential,0.05,6.9,0.001,-0.02,0.11,2,PbGEM-330163
