GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_1342400.1	"ribonuclease P protein subunit RPR2, putative"	720	239	28058
PBANKA_0500100.1	"fam-a protein, pseudogene"	732	243	28093
PBANKA_1323400.1	"bax inhibitor 1, putative"	738	245	28095
PBANKA_1009300.1	"conserved Plasmodium protein, unknown function"	705	234	28109
PBANKA_1317400.1	"co-chaperone p23, putative"	768	255	28116
PBANKA_0915600.1	aquaglyceroporin	777	258	28140
PBANKA_0306400.1	"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, putative"	741	246	28143
PBANKA_1100500.1	fam-b protein	717	238	28170
PBANKA_0935700.1	"conserved Plasmodium protein, unknown function"	705	234	28171
PBANKA_1439500.1	cytochrome c heme lyase	705	234	28182
PBANKA_0412300.1	"conserved Plasmodium protein, unknown function"	699	232	28188
PBANKA_1460100.1	"conserved Plasmodium protein, unknown function"	723	240	28188
PBANKA_0212400.1	"conserved Plasmodium protein, unknown function"	711	236	28190
PBANKA_0415900.1	"conserved Plasmodium protein, unknown function"	711	236	28206
PBANKA_0816600.1	"conserved Plasmodium protein, unknown function"	705	234	28206
PBANKA_0316961.1	"fam-a protein, pseudogene"	732	243	28210
PBANKA_1300031.1	fam-b protein	738	245	28214
PBANKA_0813500.1	"SAP domain-containing protein, putative"	744	247	28217
PBANKA_0001200.1	"fam-a protein, pseudogene"	726	241	28218
PBANKA_1246941.1	"fam-a protein, pseudogene"	726	241	28218
PBANKA_1300051.1	"fam-a protein, pseudogene"	726	241	28218
PBANKA_1466221.1	"fam-a protein, pseudogene"	726	241	28218
PBANKA_1109900.1	"stripes inner membrane complex protein, putative"	738	245	28220
PBANKA_0820600.1	"pyridoxal 5'-phosphate dependent enzyme class III, putative"	729	242	28221
PBANKA_1146600.1	fam-b protein	744	247	28247
PBANKA_1225600.1	"alpha/beta hydrolase, putative"	732	243	28252
PBANKA_0600061.1	fam-b protein	729	242	28255
PBANKA_0836941.1	fam-b protein	741	246	28259
PBANKA_0501700.1	"phosphomannomutase, putative"	738	245	28311
PBANKA_1040300.1	fam-b protein	717	238	28320
PBANKA_0618100.1	"conserved Plasmodium protein, unknown function"	705	234	28327
PBANKA_1134200.1	"pyrroline-5-carboxylate reductase, putative"	783	260	28328
PBANKA_0722941.1	fam-b protein	738	245	28331
PBANKA_1421000.1	"calmodulin, putative"	720	239	28334
PBANKA_0211500.1	"proteasome subunit alpha type-5, putative"	771	256	28347
PBANKA_1400096.1	"fam-a protein, pseudogene"	732	243	28367
PBANKA_0820100.1	"PPPDE peptidase, putative"	732	243	28373
PBANKA_1100441.1	fam-b protein	744	247	28395
PBANKA_1022900.1	"DNL-type zinc finger protein, putative"	735	244	28412
PBANKA_0500741.1	fam-b protein	738	245	28456
PBANKA_1000071.1	fam-b protein	738	245	28456
PBANKA_0929200.1	"conserved Plasmodium protein, unknown function"	747	248	28467
PBANKA_0722801.1	fam-b protein	741	246	28497
PBANKA_0815400.1	"conserved Plasmodium protein, unknown function"	750	249	28506
PBANKA_0717500.1	"nuclear cap-binding protein subunit 2, putative"	720	239	28543
PBANKA_1245200.1	CPW-WPC family protein	753	250	28548
PBANKA_1300041.1	fam-b protein	744	247	28560
PBANKA_1200041.1	fam-b protein	744	247	28561
PBANKA_1246961.1	fam-b protein	744	247	28561
PBANKA_1437400.1	"diphthine--ammonia ligase, putative"	744	247	28566
PBANKA_1040521.1	fam-b protein	744	247	28586
PBANKA_0503400.1	"conserved Plasmodium protein, unknown function"	726	241	28607
PBANKA_0822000.1	"conserved Plasmodium protein, unknown function"	717	238	28627
PBANKA_1040621.1	fam-b protein	732	243	28652
PBANKA_1128400.1	"conserved Plasmodium protein, unknown function"	723	240	28657
PBANKA_0200700.1	fam-b protein	741	246	28685
PBANKA_1465400.1	fam-b protein	744	247	28690
PBANKA_0928100.1	"phosphoglycerate mutase, putative"	753	250	28706
PBANKA_0808200.1	"proteasome subunit alpha type-3, putative"	753	250	28728
PBANKA_0316921.1	"fam-b protein, pseudogene"	747	248	28734
PBANKA_1441000.1	"haloacid dehalogenase-like hydrolase, putative"	756	251	28736
PBANKA_1123600.1	"N-acetylglucosaminylphosphatidylinositol deacetylase, putative"	741	246	28741
PBANKA_1304800.1	"conserved Plasmodium protein, unknown function"	708	235	28756
PBANKA_1200096.1	fam-b protein	744	247	28760
PBANKA_1348500.1	"conserved Plasmodium protein, unknown function"	741	246	28763
PBANKA_1405500.1	"exosome complex component RRP40, putative"	750	249	28781
PBANKA_1214500.1	"conserved Plasmodium protein, unknown function"	732	243	28783
PBANKA_0213300.1	"1-cys peroxiredoxin, putative"	738	245	28793
PBANKA_1312700.1	gamete egress and sporozoite traversal protein	750	249	28796
PBANKA_1112800.1	"conserved Plasmodium protein, unknown function"	756	251	28825
PBANKA_0317021.1	fam-b protein	744	247	28849
PBANKA_1200051.1	"fam-a protein, pseudogene"	745	248	28861
PBANKA_0303800.1	cysteine desulfuration protein SufE	744	247	28882
PBANKA_0500600.1	fam-b protein	747	248	28890
PBANKA_1000041.1	fam-b protein	747	248	28890
PBANKA_1301400.1	"proteasome subunit alpha type-1, putative"	762	253	28894
PBANKA_1010000.1	"mitochondrial acidic protein MAM33, putative"	759	252	28907
PBANKA_0610700.1	"conserved Plasmodium protein, unknown function"	723	240	28938
PBANKA_1241600.1	"conserved Plasmodium protein, unknown function"	744	247	28939
PBANKA_1246600.1	cleft-like protein 1	753	250	28965
PBANKA_0706000.1	"Fe-S cluster assembly protein DRE2, putative"	759	252	28979
PBANKA_0215800.1	fam-b protein	744	247	28986
PBANKA_1408800.1	"zinc finger protein, putative"	741	246	29042
PBANKA_API00410.1	apicoplast ribosomal protein L2	741	246	29077
PBANKA_1137400.1	"conserved Plasmodium protein, unknown function"	750	249	29101
PBANKA_1331600.1	leucine-rich repeat protein	744	247	29118
PBANKA_1219100.1	inner membrane complex protein 1d	744	247	29121
PBANKA_0501400.1	"rhoptry neck protein 12, putative"	768	255	29126
PBANKA_0309500.1	"secreted protein with altered thrombospondin repeat domain, putative"	747	248	29146
PBANKA_0523400.1	"conserved Plasmodium protein, unknown function"	735	244	29170
PBANKA_1332500.1	"pre-rRNA-processing protein PNO1, putative"	765	254	29196
PBANKA_0821000.1	"chaperone protein, putative"	738	245	29207
PBANKA_1224800.1	"conserved protein, unknown function"	729	242	29219
PBANKA_0718500.1	"repressor of RNA polymerase III transcription MAF1, putative"	735	244	29242
PBANKA_1300096.1	fam-b protein	753	250	29244
PBANKA_0505800.1	"deoxyribose-phosphate aldolase, putative"	789	262	29259
PBANKA_1219700.1	glutaredoxin-like protein	747	248	29346
PBANKA_1420400.1	"negative elongation factor A, putative"	750	249	29354
PBANKA_1347800.1	"20 kDa chaperonin, putative"	783	260	29380
PBANKA_1337200.1	"protein transport protein SFT2, putative"	786	261	29411
PBANKA_0808420.1	"tubulin-specific chaperone, putative"	747	248	29434
PBANKA_0716600.1	"conserved Apicomplexan protein, unknown function"	768	255	29438
PBANKA_0714400.1	EF-hand calcium-binding domain-containing protein	744	247	29542
PBANKA_0923500.1	"nuclear preribosomal assembly protein, putative"	741	246	29553
PBANKA_0502400.1	"conserved Plasmodium protein, unknown function"	759	252	29558
PBANKA_1028700.1	"26S proteasome regulatory subunit RPN13, putative"	759	252	29569
PBANKA_1113600.1	"conserved Plasmodium protein, unknown function"	747	248	29575
PBANKA_1311200.1	"conserved Plasmodium protein, unknown function"	750	249	29597
PBANKA_1223100.1	"proteasome subunit alpha type-6, putative"	783	260	29618
PBANKA_1112400.1	"orotate phosphoribosyltransferase, putative"	762	253	29629
PBANKA_1363400.1	"conserved Plasmodium protein, unknown function"	747	248	29645
PBANKA_0312000.1	"conserved Plasmodium protein, unknown function"	738	245	29679
PBANKA_1010800.1	"CCR4-associated factor 16, putative"	774	257	29681
PBANKA_0804800.1	"conserved Plasmodium protein, unknown function"	774	257	29719
PBANKA_0510900.1	"40S ribosomal protein S2, putative"	792	263	29743
PBANKA_1232600.1	"apicortin, putative"	765	254	29750
PBANKA_1455000.1	"mitochondrial carrier protein, putative"	789	262	29751
PBANKA_1226500.1	"proteasome subunit beta type-4, putative"	771	256	29772
PBANKA_1445000.1	"subpellicular microtubule protein 2, putative"	777	258	29776
PBANKA_1452900.1	"conserved Plasmodium protein, unknown function"	759	252	29802
PBANKA_1343300.1	"proteasome subunit beta type-7, putative"	813	270	29811
PBANKA_0907400.1	"dolichol-phosphate mannosyltransferase, putative"	771	256	29829
PBANKA_1135500.1	"high mobility group protein B4, putative"	759	252	29831
PBANKA_0000301.1	fam-b protein	777	258	29832
PBANKA_1136400.1	"ER membrane protein complex subunit 3, putative"	771	256	29834
PBANKA_0941500.1	"40S ribosomal protein S4, putative"	786	261	29844
PBANKA_1465841.1	fam-b protein	777	258	29852
PBANKA_0943700.1	fam-b protein	777	258	29853
PBANKA_0216021.1	fam-b protein	777	258	29866
PBANKA_0837041.1	fam-b protein	777	258	29866
PBANKA_0722600.1	fam-b protein	768	255	29908
PBANKA_1360600.1	leucine-rich repeat protein	768	255	29909
PBANKA_1105600.1	"conserved Plasmodium protein, unknown function"	744	247	29912
PBANKA_1400041.1	fam-b protein	777	258	29935
PBANKA_1310800.1	"40S ribosomal protein S5, putative"	816	271	29938
PBANKA_1436300.1	"conserved Plasmodium protein, unknown function"	780	259	29951
PBANKA_1408500.1	"mitochondrial ATP synthase delta subunit, putative"	771	256	29960
PBANKA_1408100.1	"ribosomal RNA methyltransferase, putative"	777	258	29973
PBANKA_1215600.1	"40S ribosomal protein S3A, putative"	789	262	29984
PBANKA_1210600.1	"rhoptry associated adhesin, putative"	771	256	29985
PBANKA_0506300.1	"conserved Plasmodium protein, unknown function"	768	255	29989
PBANKA_0832400.1	"conserved protein, unknown function"	753	250	29999
PBANKA_0941100.1	"conserved Apicomplexan protein, unknown function"	786	261	30003
PBANKA_0523300.1	"conserved Plasmodium protein, unknown function"	768	255	30010
PBANKA_1102700.1	"50S ribosomal protein L28, apicoplast, putative"	771	256	30024
PBANKA_0814200.1	"elongation factor 1-beta, putative"	774	257	30031
PBANKA_0201000.1	fam-b protein	777	258	30082
PBANKA_1143800.1	"conserved Plasmodium protein, unknown function"	768	255	30083
PBANKA_0400800.1	"fam-a protein, pseudogene"	777	258	30094
PBANKA_0309000.1	"mitochondrial ribosomal protein L12 precursor, putative"	789	262	30129
PBANKA_0805100.1	"ribosomal protein S8e, putative"	780	259	30160
PBANKA_1200800.1	"RNA-binding protein, putative"	750	249	30195
PBANKA_0316841.1	fam-b protein	780	259	30202
PBANKA_0712600.1	14-3-3 protein	789	262	30203
PBANKA_1000400.1	fam-a protein	792	263	30208
PBANKA_1221100.1	"conserved Plasmodium protein, unknown function"	765	254	30225
PBANKA_0104500.1	"conserved Plasmodium protein, unknown function"	780	259	30238
PBANKA_0100100.1	fam-a protein	795	264	30240
PBANKA_1332300.1	"conserved Plasmodium protein, unknown function"	762	253	30243
PBANKA_0100021.1	fam-b protein	777	258	30260
PBANKA_MIT01100.1	cytochrome c oxidase subunit 3	792	263	30286
PBANKA_0720900.1	"conserved Plasmodium protein, unknown function"	798	265	30288
PBANKA_1316500.1	"conserved Plasmodium protein, unknown function"	771	256	30290
PBANKA_1441400.1	"proliferating cell nuclear antigen 2, putative"	795	264	30317
PBANKA_1456500.1	"zinc finger protein, putative"	768	255	30317
PBANKA_0216701.1	fam-a protein	795	264	30328
PBANKA_1100750.1	fam-a protein	786	261	30346
PBANKA_1459900.1	"signal recognition particle, beta subunit, putative"	786	261	30356
PBANKA_1004000.1	"cytosolic glyoxalase II, putative"	792	263	30361
PBANKA_1338100.1	"conserved Plasmodium protein, unknown function"	792	263	30414
PBANKA_0400700.1	"fam-a protein, pseudogene"	792	263	30435
PBANKA_0702700.1	rhomboid protease ROM3	801	266	30446
PBANKA_0916700.1	"conserved Plasmodium protein, unknown function"	792	263	30473
PBANKA_1033100.1	"conserved Plasmodium protein, unknown function"	789	262	30480
PBANKA_0405500.1	"60S ribosomal protein L7, putative"	774	257	30489
PBANKA_1400400.1	fam-b protein	777	258	30494
PBANKA_0919200.1	fam-d protein	777	258	30500
PBANKA_1013700.1	"mitochondrial ribosomal protein L17-2 precursor, putative"	765	254	30509
PBANKA_0701500.1	"prohibitin, putative"	819	272	30530
PBANKA_1040151.1	"fam-a protein, pseudogene"	792	263	30550
PBANKA_0316100.1	"Plasmodium exported protein, unknown function"	777	258	30553
PBANKA_1112700.1	"conserved Plasmodium protein, unknown function"	807	268	30585
PBANKA_1131200.1	"60S ribosomal protein L7-2, putative"	768	255	30589
PBANKA_API00330.1	apicoplast ribosomal protein S5	750	249	30609
PBANKA_1209800.1	"proteasome subunit beta type-5, putative"	813	270	30610
PBANKA_0306300.1	"3' exoribonuclease, putative"	816	271	30674
PBANKA_1137900.1	"proliferating cell nuclear antigen 1, putative"	825	274	30674
PBANKA_1139300.1	"50S ribosomal protein L9, mitochondrial, putative"	762	253	30681
PBANKA_1423900.1	"translation initiation factor SUI1, putative"	801	266	30687
PBANKA_0716900.1	"armadillo-domain containing rhoptry protein, putative"	825	274	30691
PBANKA_1465100.1	"Plasmodium exported protein, unknown function"	804	267	30697
PBANKA_0101000.1	"MYND finger protein, putative"	789	262	30737
PBANKA_1437700.1	"conserved Plasmodium protein, unknown function"	786	261	30754
PBANKA_0812900.1	"conserved Plasmodium protein, unknown function"	777	258	30781
PBANKA_0904300.1	"apicoplast import protein Tic20, putative"	786	261	30785
PBANKA_0721800.1	"apical merozoite protein, putative"	780	259	30795
PBANKA_0700400.1	fam-b protein	798	265	30797
PBANKA_1412100.1	"septum formation protein MAF homologue, putative"	801	266	30845
PBANKA_0200500.1	"PIR protein, pseudogene"	789	262	30861
PBANKA_1355400.1	"tetratricopeptide repeat protein, putative"	789	262	30896
PBANKA_0516300.1	"DER1-like protein, putative"	786	261	30903
PBANKA_0205500.1	"conserved Plasmodium protein, unknown function"	780	259	30907
PBANKA_1438600.1	vacuolar iron transporter	822	273	30933
PBANKA_1022400.1	"dynein-associated protein, putative"	777	258	30948
PBANKA_1246161.1	fam-a protein	798	265	30954
PBANKA_1352700.1	"conserved Plasmodium protein, unknown function"	816	271	30967
PBANKA_0500950.1	"PIR protein, pseudogene"	810	269	30984
PBANKA_1146741.1	"PIR protein, pseudogene"	807	268	30984
PBANKA_1111900.1	"CDK-activating kinase assembly factor, putative"	783	260	30988
PBANKA_0112661.1	fam-a protein	798	265	30995
PBANKA_1246100.2.1	unspecified product	798	265	30995
PBANKA_0412200.1	"conserved Plasmodium protein, unknown function"	789	262	31001
PBANKA_1365650.1	"fam-a protein, pseudogene"	804	267	31037
PBANKA_1040500.1	"PIR protein, pseudogene"	801	266	31045
PBANKA_1012000.1	"SF-assemblin, putative"	795	264	31059
PBANKA_0933500.1	rhomboid protease ROM1	837	278	31064
PBANKA_1232800.1	"conserved Plasmodium protein, unknown function"	807	268	31107
PBANKA_0400200.1	"PIR protein, pseudogene"	792	263	31112
PBANKA_0616400.1	"conserved Plasmodium protein, unknown function"	828	275	31140
PBANKA_0824400.1	"cyclin-dependent kinases regulatory subunit, putative"	792	263	31208
PBANKA_0623000.1	"Plasmodium exported protein, unknown function"	819	272	31220
PBANKA_1016000.1	"conserved Plasmodium protein, unknown function"	798	265	31299
PBANKA_1101900.1	"HCNGP-like protein, putative"	798	265	31305
PBANKA_0413600.1	"zinc finger protein, putative"	798	265	31310
PBANKA_1439400.1	"histone chaperone ASF1, putative"	807	268	31314
PBANKA_0312600.1	"palmitoyltransferase DHHC11, putative"	810	269	31315
PBANKA_0406600.1	"conserved Plasmodium protein, unknown function"	834	277	31331
PBANKA_0521800.1	"ribosome-recycling factor, putative"	798	265	31333
PBANKA_1343800.1	transcriptional regulatory protein sir2a	837	278	31359
PBANKA_1302900.1	"copper transporter, putative"	834	277	31377
PBANKA_1353500.1	"exosome complex component RRP42, putative"	846	281	31383
PBANKA_0907600.1	"phosphatidylinositol N-acetylglucosaminyltransferase subunit H, putative"	792	263	31426
PBANKA_1207300.1	"diphthine methyl ester synthase, putative"	825	274	31433
PBANKA_1205200.1	"conserved membrane protein, unknown function"	816	271	31437
PBANKA_1351600.1	"conserved Plasmodium protein, unknown function"	813	270	31462
PBANKA_1202300.1	"conserved Plasmodium protein, unknown function"	783	260	31471
PBANKA_0824600.1	"conserved protein, unknown function"	816	271	31492
PBANKA_1451100.1	"conserved Plasmodium protein, unknown function"	804	267	31503
PBANKA_1334300.1	exported protein 2	810	269	31521
PBANKA_0715200.1	"eukaryotic translation initiation factor 3 subunit G, putative"	810	269	31554
PBANKA_0708700.1	"mediator of RNA polymerase II transcription subunit 7, putative"	792	263	31558
PBANKA_0623651.1	"PIR protein, pseudogene"	831	276	31601
PBANKA_1000091.1	"PIR protein, pseudogene"	831	276	31601
PBANKA_1246900.1	"PIR protein, pseudogene"	831	276	31601
PBANKA_1300071.1	"PIR protein, pseudogene"	831	276	31601
PBANKA_1466181.1	"PIR protein, pseudogene"	831	276	31601
PBANKA_0200650.1	fam-a protein	816	271	31603
PBANKA_0805800.1	"RNA-binding protein, putative"	813	270	31647
PBANKA_1112600.1	"AKAP-like protein, putative"	798	265	31653
PBANKA_1341400.1	"conserved Plasmodium protein, unknown function"	795	264	31653
PBANKA_1360400.1	"conserved Plasmodium protein, unknown function"	819	272	31685
PBANKA_0819900.1	nucleosome assembly protein	804	267	31688
PBANKA_1312500.1	Appr-1-p processing domain protein	819	272	31692
PBANKA_1229100.1	"pre-mRNA-splicing factor CWF7, putative"	804	267	31706
PBANKA_0801300.1	"conserved Plasmodium protein, unknown function"	789	262	31713
PBANKA_0832600.1	"proteasome subunit beta type-6, putative"	828	275	31721
PBANKA_1453600.1	"mitochondrial ribosomal protein L23 precursor, putative"	813	270	31721
PBANKA_1117800.1	rhomboid protease ROM10	828	275	31723
PBANKA_0830400.1	G2 protein	819	272	31730
PBANKA_0925600.1	"conserved Plasmodium protein, unknown function"	798	265	31740
PBANKA_1122400.1	"superoxide dismutase [Fe], putative"	810	269	31746
PBANKA_1200071.1	"PIR protein, pseudogene"	831	276	31757
PBANKA_1145900.1	membrane associated histidine-rich protein 1b	837	278	31759
PBANKA_1104100.1	"conserved Plasmodium protein, unknown function"	828	275	31763
PBANKA_0916100.1	"nucleic acid binding protein, putative"	822	273	31772
PBANKA_1237000.1	"S-adenosylmethionine-dependent methyltransferase, putative"	825	274	31783
PBANKA_0519100.1	"conserved Plasmodium protein, unknown function"	885	294	31787
PBANKA_1307600.1	"dephospho-CoA kinase, putative"	825	274	31809
PBANKA_1005900.1	"zinc finger Ran-binding domain-containing protein 2, putative"	801	266	31838
PBANKA_1358400.1	"ubiquitin-conjugating enzyme E2, putative"	831	276	31857
PBANKA_0317121.1	"fam-a protein, pseudogene"	834	277	31867
PBANKA_0713900.1	"adenylate kinase 2, putative"	828	275	31867
PBANKA_0834200.1	"conserved Plasmodium protein, unknown function"	813	270	31880
PBANKA_1010400.1	"conserved Plasmodium protein, unknown function"	834	277	31905
PBANKA_1327300.1	fam-a protein	840	279	31919
PBANKA_1330000.1	"conserved Plasmodium protein, unknown function"	822	273	31941
PBANKA_1108400.1	"single-stranded DNA-binding protein, putative"	825	274	31952
PBANKA_1461400.1	"bax inhibitor 1, putative"	855	284	31952
PBANKA_0832700.1	"adenylate kinase-like protein 2, putative"	825	274	31981
PBANKA_1138100.1	"14-3-3 protein, putative"	822	273	31983
PBANKA_0620000.1	"pre-mRNA-splicing factor CWC15, putative"	810	269	31987
PBANKA_0923300.1	"conserved Plasmodium protein, unknown function"	819	272	32019
PBANKA_0500700.1	fam-a protein	834	277	32023
PBANKA_1000051.1	fam-a protein	834	277	32023
PBANKA_1243800.1	"apicoplast TIC22 protein, putative"	816	271	32033
PBANKA_1213100.1	"prohibitin, putative"	852	283	32050
PBANKA_1024700.1	"ubiquitin fusion degradation protein UFD1, putative"	837	278	32058
PBANKA_0940800.1	"apicoplast ribosomal protein S15 precursor, putative"	813	270	32071
PBANKA_0721700.1	"ran-specific GTPase-activating protein 1, putative"	801	266	32079
PBANKA_1203000.1	"conserved Plasmodium protein, unknown function"	831	276	32098
PBANKA_0721200.1	"conserved Plasmodium protein, unknown function"	786	261	32113
PBANKA_0307800.1	"conserved Plasmodium protein, unknown function"	849	282	32129
PBANKA_1000061.1	"PIR protein, pseudogene"	837	278	32150
PBANKA_0316300.1	fam-b protein	819	272	32170
PBANKA_1105200.1	"conserved Plasmodium protein, unknown function"	813	270	32184
PBANKA_0828600.1	"cytochrome c oxidase subunit 5B, putative"	825	274	32207
PBANKA_1218600.1	"conserved Plasmodium protein, unknown function"	840	279	32269
PBANKA_0201100.1	"PIR protein, pseudogene"	825	274	32274
PBANKA_1410800.1	"mitochondrial ribosomal protein S35 precursor, putative"	819	272	32282
PBANKA_1128800.1	CPW-WPC family protein	840	279	32284
PBANKA_0202200.1	"conserved Plasmodium protein, unknown function"	804	267	32288
PBANKA_0208600.1	"conserved protein, unknown function"	822	273	32328
PBANKA_0518400.1	"translation initiation factor IF-3, putative"	828	275	32333
PBANKA_0000600.1	PIR protein	843	280	32358
PBANKA_1362800.1	"conserved Plasmodium protein, unknown function"	813	270	32377
PBANKA_0817900.1	"conserved Plasmodium protein, unknown function"	834	277	32382
PBANKA_1400021.1	PIR protein	843	280	32382
PBANKA_1465881.1	PIR protein	843	280	32382
PBANKA_0830000.1	"RNA-binding protein, putative"	840	279	32387
PBANKA_0214900.1	fam-a protein	849	282	32401
PBANKA_0500721.1	"PIR protein, pseudogene"	837	278	32403
PBANKA_0512300.1	"zinc finger, C3HC4 type, putative"	819	272	32420
PBANKA_0837081.1	PIR protein	843	280	32427
PBANKA_0704000.1	"SNARE protein, putative"	825	274	32431
PBANKA_1338900.1	"glideosome associated protein with multiple membrane spans 1, putative"	873	290	32445
PBANKA_0416400.1	"conserved Plasmodium protein, unknown function"	813	270	32471
PBANKA_1102100.1	"conserved Plasmodium protein, unknown function"	816	271	32501
PBANKA_0216061.1	PIR protein	849	282	32513
PBANKA_0918400.1	"conserved Plasmodium protein, unknown function"	834	277	32525
PBANKA_1363600.1	"conserved Plasmodium protein, unknown function"	822	273	32551
PBANKA_1202000.1	inner membrane complex protein 1c	837	278	32556
PBANKA_1424300.1	"conserved Plasmodium protein, unknown function"	855	284	32585
PBANKA_0112721.1	"fam-a protein, pseudogene"	843	280	32595
PBANKA_0200600.1	fam-a protein	849	282	32598
PBANKA_1113100.1	"GTP-binding protein, putative"	849	282	32656
PBANKA_0906200.1	"conserved Plasmodium protein, unknown function"	828	275	32680
PBANKA_0317141.1	fam-a protein	849	282	32684
PBANKA_1120200.1	"pyridoxine biosynthesis protein PDX1, putative"	894	297	32688
PBANKA_1240700.1	NIMA related kinase 2	855	284	32688
PBANKA_1349200.1	MSP7-like protein	855	284	32691
PBANKA_1403200.1	"cyclin, putative"	828	275	32692
PBANKA_1038500.1	"dynein light chain, putative"	813	270	32712
PBANKA_1035400.1	"glideosome associated protein with multiple membrane spans 3, putative"	852	283	32716
PBANKA_1119400.1	"conserved Plasmodium protein, unknown function"	816	271	32716
PBANKA_1016700.1	"conserved Plasmodium protein, unknown function"	840	279	32727
PBANKA_0712200.1	"BEM46-like protein, putative"	864	287	32737
PBANKA_1441100.1	"haloacid dehalogenase-like hydrolase, putative"	867	288	32773
PBANKA_1345400.1	"ER lumen protein retaining receptor 1, putative"	855	284	32775
PBANKA_0809100.1	"subunit of proteaseome activator complex, putative"	837	278	32812
PBANKA_1129800.1	"tetratricopeptide repeat protein, putative"	843	280	32814
PBANKA_0715800.1	"50S ribosomal protein L10, putative"	834	277	32822
PBANKA_1105800.1	"TATA-box binding protein, putative"	858	285	32824
PBANKA_1357400.1	"U6 snRNA phosphodiesterase, putative"	840	279	32843
PBANKA_0517000.1	early transcribed membrane protein	942	313	32858
PBANKA_0512000.1	"palmitoyltransferase DHHC10, putative"	834	277	32861
PBANKA_0923600.1	"GrpE protein homolog, mitochondrial, putative"	858	285	32886
PBANKA_1328400.1	"conserved Plasmodium protein, unknown function"	831	276	32889
PBANKA_0707400.1	"RNA-binding protein, putative"	867	288	32905
PBANKA_1436100.1	"heterochromatin protein 1, putative"	846	281	32939
PBANKA_1431000.1	"peptidyl-prolyl cis-trans isomerase, putative"	858	285	32947
PBANKA_1133200.1	cdc2-related kinase 2	867	288	32962
PBANKA_0407900.1	"YTH domain-containing protein, putative"	840	279	32965
PBANKA_0210100.1	"vacuolar protein sorting-associated protein VTA1, putative"	846	281	32999
PBANKA_0417200.1	PH domain-containing protein	861	286	33011
PBANKA_0201400.1	"fam-a protein, pseudogene"	858	285	33084
PBANKA_0823800.1	"3-oxoacyl-[acyl-carrier-protein] reductase, putative"	903	300	33107
PBANKA_1342900.1	"regulator of nonsense transcripts 3B, putative"	834	277	33110
PBANKA_0302000.1	"conserved Plasmodium protein, unknown function"	831	276	33144
PBANKA_1365550.1	"PIR protein, pseudogene"	855	284	33145
PBANKA_1457800.1	"ADP-ribosylation factor GTPase-activating protein, putative"	891	296	33157
PBANKA_0817300.1	"conserved Plasmodium protein, unknown function"	840	279	33174
PBANKA_0108300.1	palmitoyltransferase DHHC2	855	284	33197
PBANKA_1319100.1	"hemolysin III, putative"	858	285	33203
PBANKA_1207800.1	"metalloprotease, putative"	861	286	33211
PBANKA_1123000.1	"conserved Plasmodium protein, unknown function"	837	278	33212
PBANKA_1320300.1	"mitochondrial ribosomal protein L28 precursor, putative"	846	281	33227
PBANKA_0511000.1	"biotin--acetyl-CoA-carboxylase, putative"	864	287	33241
PBANKA_1415800.1	"conserved Plasmodium protein, unknown function"	852	283	33253
PBANKA_1346800.1	"Qa-SNARE protein, putative"	846	281	33269
PBANKA_1219400.1	"Cg3 protein, putative"	861	286	33276
PBANKA_1019400.1	"60S ribosomal protein L7-3, putative"	855	284	33283
PBANKA_1122800.1	"ribonuclease H2 subunit A, putative"	867	288	33284
PBANKA_1324600.1	"apicoplast ribosomal protein S10 precursor, putative"	816	271	33296
PBANKA_0109300.1	"SNARE associated Golgi protein, putative"	870	289	33298
PBANKA_1012800.1	"voltage-dependent anion-selective channel protein, putative"	870	289	33298
PBANKA_1101000.1	fam-a protein	873	290	33328
PBANKA_0206700.1	"conserved Plasmodium protein, unknown function"	819	272	33330
PBANKA_0700500.1	fam-a protein	849	282	33353
PBANKA_1035100.1	"rRNA 2'-O-methyltransferase fibrillarin, putative"	939	312	33356
PBANKA_1100461.1	PIR protein	867	288	33395
PBANKA_1019800.1	"calcium-dependent protein kinase, putative"	855	284	33423
PBANKA_0834700.1	"conserved Plasmodium protein, unknown function"	837	278	33443
PBANKA_0109600.1	"conserved Apicomplexan protein, unknown function"	843	280	33483
PBANKA_1126600.1	"ribonuclease P protein subunit p29, putative"	870	289	33484
PBANKA_0719100.1	"conserved Plasmodium protein, unknown function"	846	281	33509
PBANKA_1401900.1	"LisH domain-containing protein, putative"	885	294	33523
PBANKA_0935100.1	"conserved protein, unknown function"	834	277	33542
PBANKA_0517200.1	"haloacid dehalogenase-like hydrolase, putative"	891	296	33548
PBANKA_0411700.1	"co-chaperone p23, putative"	855	284	33564
PBANKA_1400081.1	PIR protein	867	288	33627
PBANKA_1429000.1	"conserved Plasmodium protein, unknown function"	858	285	33653
PBANKA_1222300.1	"coatomer subunit epsilon, putative"	852	283	33673
PBANKA_1228900.1	von Willebrand factor A domain-related protein	912	303	33699
PBANKA_1004400.1	"ribosomal protein L25, putative"	858	285	33712
PBANKA_1466261.1	"PIR protein, pseudogene"	873	291	33733
PBANKA_0317061.1	fam-a protein	879	292	33739
PBANKA_1431800.1	"conserved Plasmodium protein, unknown function"	864	287	33743
PBANKA_1040200.1	PIR protein	867	288	33762
