Stanway_2019_B1-MG_data_normalized,,,,,
Gene ID,gene_name,gene_product,Log2-FC,SD,Power
PBANKA_0416400,,"conserved Plasmodium protein, unknown function",-1.535,0.155,reduced
PBANKA_0703300,,"conserved Plasmodium protein, unknown function",-1.557,0.148,reduced
PBANKA_1423100,,"phospholipase, putative",-1.555,0.087,reduced
PBANKA_0828200,,"conserved Plasmodium protein, unknown function",-1.559,0.162,reduced
PBANKA_0824600,,"conserved protein, unknown function",-1.198,0.161,no power
PBANKA_0712100,,"DNA helicase, putative",-1.714,3.180,no power
PBANKA_1430600,,"conserved Plasmodium protein, unknown function",-0.339,0.936,no power
PBANKA_0913600,,"conserved Plasmodium protein, unknown function",-0.728,0.605,no power
PBANKA_1358900,,"dynactin subunit 2, putative",-1.401,0.137,reduced
PBANKA_1344200,,"conserved Plasmodium protein, unknown function",-1.172,0.253,no power
PBANKA_0405600,,"EB1 homolog, putative",-1.491,0.096,reduced
PBANKA_1359600,P48/45,transmission blocking target antigen precursor,-1.467,0.213,reduced
PBANKA_1040200,,BIR protein,-0.931,0.748,no power
PBANKA_0413500,,"conserved Plasmodium protein, unknown function",-1.128,0.153,no power
PBANKA_1329400,,"conserved Plasmodium protein, unknown function",-0.253,0.824,no power
PBANKA_0100100,,fam-a protein,-0.808,0.421,no power
PBANKA_1226800,RAD54,"DNA repair and recombination protein RAD54, putative",-0.780,0.684,no power
PBANKA_0716500,,"RNA-binding protein, putative",-0.957,0.521,no power
PBANKA_1216800,,"conserved Plasmodium protein, unknown function",-1.219,0.150,no power
PBANKA_0315800,,"ribosome associated membrane protein RAMP4, putative",0.015,0.820,no power
PBANKA_1202200,,"U5 small nuclear ribonuclear protein, putative",-0.853,3.248,no power
PBANKA_0306100,P230,transmission-blocking target antigen s230,-1.677,0.483,no power
PBANKA_1202000,IMC1c,inner membrane complex protein 1c,-1.135,0.404,no power
PBANKA_0912600,,"conserved Plasmodium protein, unknown function",-0.490,1.147,no power
PBANKA_0832900,,"protein MAM3, putative",-1.257,0.140,no power
PBANKA_1120100,,"conserved Plasmodium protein, unknown function",-0.041,1.166,no power
PBANKA_1413300,,"ubiquitin-like protein, putative",0.019,0.820,no power
PBANKA_1113800,UvrD,"ATP-dependent DNA helicase UvrD, putative",-0.077,1.144,no power
PBANKA_0921600,,"RNA-binding protein, putative",-0.975,0.820,no power
PBANKA_1033300,,"conserved Plasmodium protein, unknown function",-0.500,0.572,no power
PBANKA_1457700,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_1125300,,"conserved Plasmodium protein, unknown function",-0.321,1.027,no power
PBANKA_1212600,HAP2,male gamete fusion factor HAP2,-0.563,0.573,no power
PBANKA_0105100,,"conserved Plasmodium protein, unknown function",-0.213,0.688,no power
PBANKA_0908700,,"conserved Plasmodium protein, unknown function",-1.416,0.267,no power
PBANKA_0702000,,"conserved Plasmodium protein, unknown function",-1.553,0.158,reduced
PBANKA_1326100,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0808900,ClpY,"ATP-dependent protease ATPase subunit ClpY, putative",-3.409,2.796,no power
PBANKA_0315200,SNRPD2,"small nuclear ribonucleoprotein Sm D2, putative",0.177,3.251,no power
PBANKA_0502650,,"conserved Plasmodium protein, unknown function",-1.324,0.205,no power
PBANKA_1334900,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_1010500,HOP,"Hsp70/Hsp90 organizing protein, putative",-0.839,1.713,no power
PBANKA_1124700,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_1216300,,"conserved Plasmodium protein, unknown function",-2.144,0.384,reduced
PBANKA_1109600,,"conserved Plasmodium protein, unknown function",-1.919,0.423,reduced
PBANKA_0102400,,"conserved Plasmodium protein, unknown function",-0.571,0.761,no power
PBANKA_0410650,,"conserved Plasmodium protein, unknown function",-0.214,0.680,no power
PBANKA_1027300,,"conserved Plasmodium protein, unknown function",0.193,1.227,no power
PBANKA_0827400,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0701000,SLTRiP,NA,-1.770,0.298,reduced
PBANKA_0906200,,"conserved Plasmodium protein, unknown function",-1.575,0.079,reduced
PBANKA_0811100,,"helicase SKI2W, putative",-0.775,1.342,no power
PBANKA_0415900,,"conserved Plasmodium protein, unknown function",-0.597,1.136,no power
PBANKA_0907100,IMC1b,inner membrane complex protein 1b,-0.213,0.691,no power
PBANKA_1435400,,"conserved Plasmodium protein, unknown function",-0.842,0.761,no power
PBANKA_1334700,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_1112700,,"conserved Plasmodium protein, unknown function",-1.085,0.739,no power
PBANKA_1114700,ROM9,rhomboid protease ROM9,-0.080,1.092,no power
PBANKA_1132300,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0908100,,"conserved Plasmodium protein, unknown function",0.477,0.929,no power
PBANKA_1230700,,"conserved Plasmodium protein, unknown function",0.053,1.072,no power
PBANKA_1020300,,"ankyrin, putative",-0.213,0.691,no power
PBANKA_1335600,,"M1-family alanyl aminopeptidase, putative",-0.213,0.691,no power
PBANKA_1202900,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0106300,,"conserved Plasmodium protein, unknown function",-0.654,1.040,no power
PBANKA_1138900,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0821300,,"conserved Plasmodium protein, unknown function",-1.121,0.300,no power
PBANKA_1115000,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0316600,Pb235,"reticulocyte binding protein, putative",-0.213,0.691,no power
PBANKA_0927700,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_1010800,CAF16,"CCR4-associated factor 16, putative",-1.605,0.103,reduced
PBANKA_0404300,,"P-loop containing nucleoside triphosphate hydrolase, putative",-0.213,0.691,no power
PBANKA_1124600,,"conserved Plasmodium protein, unknown function",-1.652,0.063,reduced
PBANKA_1011600,,"chromatin assembly factor 1 P55 subunit, putative",-1.050,1.040,no power
PBANKA_0406200,,"conserved Plasmodium protein, unknown function",-0.571,0.761,no power
PBANKA_0902300,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_1238800,,"karyopherin beta, putative",-0.462,3.240,no power
PBANKA_1417700,,"conserved Plasmodium protein, unknown function",-0.571,0.761,no power
PBANKA_1451800,,"conserved Plasmodium protein, unknown function",-0.657,0.555,no power
PBANKA_1035200,CCp3,LCCL domain-containing protein,-0.213,0.691,no power
PBANKA_1222700,,"conserved Plasmodium protein, unknown function",-0.335,0.936,no power
PBANKA_1309600,,"conserved Plasmodium protein, unknown function",-0.571,0.761,no power
PBANKA_0308100,,"ubiquinol-cytochrome-c reductase complex assembly factor 1, putative",-0.626,1.010,no power
PBANKA_1400700,,"Plasmodium exported protein, unknown function",-1.208,0.772,no power
PBANKA_0942300,,"radial spoke head protein, putative",-0.213,0.691,no power
PBANKA_1006200,SIAP1,sporozoite invasion-associated protein 1,-1.982,0.936,no power
PBANKA_0921700,ATG23,"autophagy-related protein 23, putative",-0.942,0.313,no power
PBANKA_0706200,NT2,"nucleoside transporter 2, putative",-1.376,0.933,no power
PBANKA_1222100,,"regulator of chromosome condensation, putative",-0.657,0.555,no power
PBANKA_0602400,,"transporter, putative",-0.795,1.909,no power
PBANKA_1465500,,BIR protein,-1.489,0.761,no power
PBANKA_1115500,NIF2,NLI interacting factor-like phosphatase,-1.192,0.929,no power
PBANKA_1428900,BDP2,"bromodomain protein 2, putative",-2.204,0.668,no power
PBANKA_1359200,ALBA2,"DNA/RNA-binding protein Alba 2, putative",-0.500,1.487,no power
PBANKA_0827800,,"CS domain protein, putative",-1.873,0.990,no power
PBANKA_1016800,RRP41,"exosome complex exonuclease RRP41, putative",-1.024,1.040,no power
PBANKA_0831800,,"elongation factor Tu, putative",-1.595,0.268,reduced
PBANKA_0307800,,"conserved Plasmodium protein, unknown function",-2.679,1.045,no power
PBANKA_1213800,,"conserved Plasmodium protein, unknown function",-0.654,1.040,no power
PBANKA_1440400,,"small subunit rRNA processing factor, putative",-2.999,3.060,no power
PBANKA_1444600,,"conserved Plasmodium protein, unknown function",-1.271,1.151,no power
PBANKA_0519900,,"conserved Plasmodium protein, unknown function",-2.812,1.143,no power
PBANKA_1007200,RPA1,"replication protein A1, large subunit, putative",-2.523,0.882,no power
PBANKA_1445900,,"conserved Plasmodium protein, unknown function",-1.415,0.206,reduced
PBANKA_0304500,,"conserved Plasmodium protein, unknown function",-1.865,0.673,no power
PBANKA_0703700,DBP10,"ATP-dependent RNA helicase DBP10, putative",-0.900,1.137,no power
PBANKA_0806700,,"conserved Plasmodium protein, unknown function",-1.142,1.151,no power
PBANKA_1357800,,"conserved Plasmodium protein, unknown function",-3.054,1.130,no power
PBANKA_0616800,ARP6,"actin-related protein, putative",-1.619,0.784,no power
PBANKA_0941600,,"conserved Plasmodium protein, unknown function",-1.939,0.466,reduced
PBANKA_1305300,FACT-S,"FACT complex subunit SSRP1, putative",-0.654,1.040,no power
PBANKA_1447100,,"conserved protein, unknown function",-3.702,1.299,reduced
PBANKA_0943300,ALP2a,"actin-like protein, putative",-0.287,1.150,no power
PBANKA_0408300,,"phd finger protein, putative",-0.913,1.151,no power
PBANKA_0207600,,"asparagine-rich antigen, putative",-0.651,1.883,no power
PBANKA_0202600,,"conserved Plasmodium protein, unknown function",-1.515,0.241,reduced
PBANKA_0101900,,"conserved Plasmodium protein, unknown function",-0.654,1.040,no power
PBANKA_0941300,PTEX88,translocon component PTEX88,-1.578,0.252,reduced
PBANKA_0110100,,"conserved Plasmodium protein, unknown function",-0.609,3.251,no power
PBANKA_1437800,,"conserved Plasmodium protein, unknown function",0.268,1.142,no power
PBANKA_1138800,,"conserved Plasmodium protein, unknown function",0.268,1.142,no power
PBANKA_1426400,,"mitochondrial carrier protein, putative",-2.229,1.397,no power
PBANKA_0807300,,"conserved Plasmodium protein, unknown function",-0.490,0.764,no power
PBANKA_1007700,PPM1,protein phosphatase PPM1,-2.271,1.443,no power
PBANKA_1034900,PRP38B,"pre-mRNA-splicing factor 38B, putative",-1.311,1.397,no power
PBANKA_0805800,,"RNA-binding protein, putative",-0.583,0.545,no power
PBANKA_1314800,eEF2,"elongation factor 2, putative",-0.063,0.716,no power
PBANKA_1411200,,"conserved Plasmodium protein, unknown function",-1.093,0.778,no power
PBANKA_1403100,,"conserved Plasmodium protein, unknown function",0.050,1.895,no power
PBANKA_0402900,,"conserved Plasmodium protein, unknown function",-4.327,1.830,no power
PBANKA_0715100,,"ubiquitin, putative",-1.230,3.186,no power
PBANKA_0622700,,"mago nashi protein homologue, putative",0.074,3.251,no power
PBANKA_0706100,,"conserved Plasmodium protein, unknown function",0.781,1.140,no power
PBANKA_0505900,,"conserved Plasmodium protein, unknown function",-0.189,1.142,no power
PBANKA_1306200,,"tRNA binding protein, putative",-1.527,0.339,no power
PBANKA_1436900,,"FbpA domain protein, putative",-2.182,0.913,no power
PBANKA_1341000,,"conserved Plasmodium protein, unknown function",-2.198,0.759,no power
PBANKA_1363700,ApiAP2,"transcription factor with AP2 domain(s), putative",-1.036,0.088,no power
PBANKA_1138700,,"conserved Plasmodium protein, unknown function",0.413,0.113,not reduced
PBANKA_1323200,,"conserved Plasmodium protein, unknown function",-1.179,0.139,no power
PBANKA_0928700,,"ubiquitin-protein ligase, putative",-0.308,0.220,not reduced
PBANKA_1218100,Cap380,oocyst capsule protein,-0.897,0.147,no power
PBANKA_0501200,UIS4,early transcribed membrane protein,-0.427,0.041,not reduced
PBANKA_1002200,P36p,6-cysteine protein,-0.825,0.060,not reduced
PBANKA_1005200,,"conserved Plasmodium protein, unknown function",-0.099,0.081,not reduced
PBANKA_0909800,,"RNA-binding protein, putative",-0.926,0.165,no power
PBANKA_0902100,SLARP,sporozoite asparagine-rich protein,-0.405,0.138,not reduced
PBANKA_0101100,PALM,liver merozoite formation protein,-0.572,0.041,not reduced
PBANKA_0936900,ALP1,"actin-like protein, putative",-0.200,0.390,not reduced
PBANKA_0808100,B9,6-cysteine protein,-0.262,0.062,not reduced
PBANKA_1458000,,"zinc finger protein, putative",0.373,0.187,not reduced
PBANKA_1311500,,"conserved Plasmodium protein, unknown function",-1.135,0.144,no power
PBANKA_1024600,LISP1,liver specific protein 1,-0.366,0.055,not reduced
PBANKA_1324200,,"conserved Plasmodium protein, unknown function",-0.193,0.068,not reduced
PBANKA_1001300,,"conserved Plasmodium protein, unknown function",0.772,0.234,not reduced
PBANKA_1006300,PLP1,perforin-like protein 1,-0.094,0.111,not reduced
PBANKA_1408900,,"conserved Plasmodium protein, unknown function",-0.555,0.268,no power
PBANKA_1403300,NIF1,NLI interacting factor-like phosphatase,0.126,0.179,not reduced
PBANKA_1121200,,"vacuolar transporter chaperone, putative",-0.211,0.159,not reduced
PBANKA_1448200,,"asparagine/aspartate rich protein, putative",0.069,0.936,no power
PBANKA_0943900,,BIR protein,0.152,0.508,not reduced
PBANKA_1008600,,"conserved Plasmodium protein, unknown function",0.105,0.267,not reduced
PBANKA_1210000,,"conserved Plasmodium protein, unknown function",-0.504,0.099,not reduced
PBANKA_1116900,,"conserved Plasmodium protein, unknown function",-0.176,0.091,not reduced
PBANKA_1319400,,"conserved Plasmodium protein, unknown function",0.346,0.090,not reduced
PBANKA_0408400,,"phosphoglycerate mutase, putative",-0.705,0.385,no power
PBANKA_1356400,RAD5,"DNA repair protein RAD5, putative",0.263,0.418,not reduced
PBANKA_0604700,SHLP2,"shewanella-like protein phosphatase 2, putative",-0.967,0.106,no power
PBANKA_0411600,,"conserved Plasmodium protein, unknown function",-0.125,0.139,not reduced
PBANKA_0414900,,"dynein light intermediate chain 2, putative",-0.643,0.224,no power
PBANKA_0908800,,"conserved Plasmodium protein, unknown function",-0.592,0.152,not reduced
PBANKA_0418100,,"conserved Plasmodium protein, unknown function",-0.449,0.288,no power
PBANKA_1404400,,"conserved Plasmodium protein, unknown function",-0.822,0.159,no power
PBANKA_0313200,,"conserved Plasmodium protein, unknown function",-0.118,0.253,not reduced
PBANKA_0925000,,"RING zinc finger protein, putative",-0.590,0.338,no power
PBANKA_1219600,,"cg1 protein, putative",-0.234,0.135,not reduced
PBANKA_0916400,,"ubiquitin-like protein, putative",-0.563,0.077,not reduced
PBANKA_1442400,,"conserved Plasmodium protein, unknown function",-0.528,0.156,not reduced
PBANKA_0905200,,"conserved Plasmodium protein, unknown function",-0.663,0.072,not reduced
PBANKA_0108900,,"peptidyl-tRNA hydrolase PTRHD1, putative",-0.977,0.179,no power
PBANKA_0931000,,"conserved Plasmodium membrane protein, unknown function",-0.973,0.236,no power
PBANKA_0704900,,"conserved Plasmodium protein, unknown function",-0.459,0.226,not reduced
PBANKA_1223000,,"conserved Plasmodium protein, unknown function",-0.728,0.086,not reduced
PBANKA_0206700,,"conserved Plasmodium protein, unknown function",0.396,0.225,not reduced
PBANKA_1315100,Sir2b,transcriptional regulatory protein sir2b,-1.108,0.088,no power
PBANKA_1405200,,"conserved Plasmodium protein, unknown function",-0.774,0.100,not reduced
PBANKA_1129000,PSOP6,"secreted ookinete protein, putative",-0.368,0.102,not reduced
PBANKA_1427000,PPM7,protein phosphatase PPM7,-0.229,0.090,not reduced
PBANKA_0518300,,"conserved Plasmodium protein, unknown function",-0.590,0.200,not reduced
PBANKA_1444900,,"vacuolar transporter chaperone, putative",0.004,0.075,not reduced
PBANKA_1346300,UIS19,"CPW-WPC family protein, putative",-0.261,0.066,not reduced
PBANKA_0805500,,"conserved Plasmodium protein, unknown function",-0.748,0.088,not reduced
PBANKA_0105800,,"RING zinc finger protein, putative",0.320,0.684,no power
PBANKA_0620300,,"conserved Plasmodium protein, unknown function",-0.331,0.080,not reduced
PBANKA_1229900,,"conserved Plasmodium protein, unknown function",-0.913,0.113,no power
PBANKA_0915100,,"LEM3/CDC50 family protein, putative",-0.244,0.103,not reduced
PBANKA_1352500,,"CPW-WPC family protein, putative",-0.130,0.165,not reduced
PBANKA_0919100,PV1,"parasitophorous vacuolar protein 1, putative",-0.459,0.135,not reduced
PBANKA_1145900,,"conserved rodent malaria protein, unknown function",-0.426,0.202,not reduced
PBANKA_1309800,,"conserved Plasmodium protein, unknown function",0.138,0.520,not reduced
PBANKA_0501000,Pb235,"reticulocyte binding protein, putative",-0.147,0.532,no power
PBANKA_1110600,,"conserved Plasmodium protein, unknown function",1.070,0.490,not reduced
PBANKA_0926600,GCN20,"protein GCN20, putative",-0.300,0.051,not reduced
PBANKA_0936600,,"conserved Plasmodium protein, unknown function",0.309,0.100,not reduced
PBANKA_1142300,RHOP148,"rhoptry protein RHOP148, putative",-0.594,0.090,not reduced
PBANKA_0912300,TSN,"tudor staphylococcal nuclease, putative",-1.082,0.191,no power
PBANKA_1307900,,"conserved Plasmodium protein, unknown function",-1.009,0.334,no power
PBANKA_0720700,,"regulator of chromosome condensation, putative",-0.653,0.135,not reduced
PBANKA_0308900,,"conserved Plasmodium protein, unknown function",-0.598,0.196,not reduced
PBANKA_1435000,,"conserved Plasmodium protein, unknown function",-0.007,0.112,not reduced
PBANKA_1135900,,"conserved Plasmodium protein, unknown function",-0.038,0.215,not reduced
PBANKA_1439100,,"BRO1 domain-containing protein, putative",-1.429,0.129,reduced
PBANKA_1032400,,"alpha/beta hydrolase, putative",-0.680,0.127,not reduced
PBANKA_0313400,ATG11,"autophagy-related protein 11, putative",-0.030,0.140,not reduced
PBANKA_1205200,,"conserved membrane protein, unknown function",-0.148,0.070,not reduced
PBANKA_0832800,,"conserved Plasmodium protein, unknown function",0.023,0.081,not reduced
PBANKA_1360400,,"conserved Plasmodium protein, unknown function",-0.473,0.103,not reduced
PBANKA_0714500,,"conserved Plasmodium protein, unknown function",-0.143,0.160,not reduced
PBANKA_0713900,AK2,"adenylate kinase 2, putative",-0.286,0.066,not reduced
PBANKA_1327900,,"conserved Plasmodium protein, unknown function",-0.328,0.252,not reduced
PBANKA_0832500,,"PIH1 domain-containing protein, putative",-0.862,0.183,no power
PBANKA_0820100,,"PPPDE peptidase, putative",-0.250,0.070,not reduced
PBANKA_0828900,,"conserved Plasmodium protein, unknown function",-0.888,0.079,no power
PBANKA_0413000,,"conserved Plasmodium protein, unknown function",-0.076,0.229,not reduced
PBANKA_1135500,HMGB4,"high mobility group protein B4, putative",-0.425,0.502,no power
PBANKA_0514900,P28,28 kDa ookinete surface protein,-0.859,0.105,no power
PBANKA_0908600,,"conserved Plasmodium protein, unknown function",-0.451,0.074,not reduced
PBANKA_0316800,EMAP2,erythrocyte membrane associated protein 2,-0.230,0.350,not reduced
PBANKA_1415900,,"conserved Plasmodium protein, unknown function",0.228,0.168,not reduced
PBANKA_1357900,,"conserved Plasmodium protein, unknown function",-0.763,0.114,not reduced
PBANKA_0926900,,"WD repeat-containing protein, putative",-0.374,0.240,not reduced
PBANKA_0603000,,"conserved Plasmodium protein, unknown function",-0.510,0.183,not reduced
PBANKA_1434300,,"conserved Plasmodium protein, unknown function",-0.768,0.223,no power
PBANKA_1232000,,"conserved Plasmodium protein, unknown function",-0.250,0.199,not reduced
PBANKA_1206800,,"zinc finger C-x8-C-x5-C-x3-H type, putative",-0.242,0.089,not reduced
PBANKA_1409000,,"conserved protein, unknown function",0.431,0.425,not reduced
PBANKA_0902600,LRR10,leucine-rich repeat protein,-1.323,0.174,no power
PBANKA_1038500,,"conserved Plasmodium protein, unknown function",-1.206,0.152,no power
PBANKA_0904600,,"conserved Plasmodium protein, unknown function",-1.000,0.095,no power
PBANKA_0809500,,"conserved Plasmodium protein, unknown function",-0.405,0.094,not reduced
PBANKA_0301400,,"conserved Plasmodium protein, unknown function",-0.948,0.083,no power
PBANKA_1404300,,"conserved Plasmodium protein, unknown function",-0.425,0.243,not reduced
PBANKA_0407300,,"conserved Plasmodium protein, unknown function",-1.018,0.121,no power
PBANKA_0503500,,"zinc finger protein, putative",0.773,0.188,not reduced
PBANKA_1303100,,"conserved Plasmodium protein, unknown function",-1.401,0.158,reduced
PBANKA_0311300,,"conserved Plasmodium protein, unknown function",-0.363,0.146,not reduced
PBANKA_1006400,,"conserved Plasmodium protein, unknown function",-0.364,0.123,not reduced
PBANKA_1429200,S20,"conserved Plasmodium protein, unknown function",-0.068,0.112,not reduced
PBANKA_1225600,,"alpha/beta hydrolase, putative",-0.173,0.065,not reduced
PBANKA_1215900,,"conserved Plasmodium protein, unknown function",-0.719,0.115,not reduced
PBANKA_1207900,,"protein phosphatase, putative",-0.060,0.077,not reduced
PBANKA_1132400,,"conserved Plasmodium protein, unknown function",-0.326,0.062,not reduced
PBANKA_1103900,,"conserved Plasmodium protein, unknown function",0.053,0.155,not reduced
PBANKA_0701600,,"conserved protein, unknown function",-0.459,0.087,not reduced
PBANKA_1435900,UIS27,"conserved Plasmodium protein, unknown function",-0.418,0.129,not reduced
PBANKA_0613000,,"conserved Plasmodium protein, unknown function",-0.087,0.161,not reduced
PBANKA_1404500,,"conserved Plasmodium protein, unknown function",-0.291,0.386,no power
PBANKA_0517100,,"conserved Plasmodium protein, unknown function",-0.204,0.185,not reduced
PBANKA_0912400,,"conserved Plasmodium protein, unknown function",-0.618,0.145,not reduced
PBANKA_0823200,,"conserved Plasmodium protein, unknown function",-0.343,0.116,not reduced
PBANKA_1108000,,"transcription factor IIb, putative",-0.575,0.071,not reduced
PBANKA_1406600,,"CCAAT-binding transcription factor, putative",-0.158,0.140,not reduced
PBANKA_1005700,,"conserved Plasmodium protein, unknown function",-0.168,0.264,not reduced
PBANKA_1031700,,"conserved Plasmodium protein, unknown function",0.235,0.110,not reduced
PBANKA_1201800,,"conserved Plasmodium protein, unknown function",-0.424,0.108,not reduced
PBANKA_0914100,,"conserved Plasmodium protein, unknown function",-0.341,0.074,not reduced
PBANKA_1112000,,"conserved Plasmodium protein, unknown function",-0.156,0.120,not reduced
PBANKA_1129800,,"tetratricopeptide repeat protein, putative",-0.472,0.121,not reduced
PBANKA_1461300,,"conserved Plasmodium protein, unknown function",-0.190,0.084,not reduced
PBANKA_0710500,,"conserved Plasmodium protein, unknown function",-0.847,0.155,no power
PBANKA_1417000,,"conserved Plasmodium protein, unknown function",0.010,0.125,not reduced
PBANKA_0712700,,"zinc finger protein, putative",-0.135,0.066,not reduced
PBANKA_1441700,,"conserved Plasmodium protein, unknown function",-0.029,0.095,not reduced
PBANKA_0711000,,"conserved Plasmodium protein, unknown function",-0.649,0.140,not reduced
PBANKA_0105700,,"MYND finger protein, putative",-0.844,0.094,no power
PBANKA_0306500,,"conserved protein, unknown function",-0.656,0.163,not reduced
PBANKA_1103300,MyoB,myosin B,0.222,0.158,not reduced
PBANKA_1425800,,"conserved Plasmodium protein, unknown function",-0.854,0.224,no power
PBANKA_1314900,,"conserved Plasmodium protein, unknown function",-0.169,0.120,not reduced
PBANKA_0503000,,"conserved protein, unknown function",-0.769,0.119,no power
PBANKA_0943400,,"CPW-WPC family protein, putative",-1.039,0.233,no power
PBANKA_0710200,,"conserved Plasmodium protein, unknown function",-0.425,0.068,not reduced
PBANKA_0904200,,"conserved Plasmodium protein, unknown function",-0.102,0.137,not reduced
PBANKA_0909400,,"conserved Plasmodium protein, unknown function",-0.456,0.151,not reduced
PBANKA_1349400,,"conserved Plasmodium protein, unknown function",-0.946,0.120,no power
PBANKA_1320100,UIS25,"conserved Plasmodium protein, unknown function",-0.394,0.416,no power
PBANKA_1451200,,"p25-alpha family protein, putative",-0.021,0.098,not reduced
PBANKA_1207800,,"metallopeptidase, putative",-0.286,0.070,not reduced
PBANKA_1009600,,"conserved Plasmodium protein, unknown function",0.001,0.214,not reduced
PBANKA_1100900,,fam-a protein,0.354,0.315,not reduced
PBANKA_1318700,PPM3,protein phosphatase PPM3,0.190,0.086,not reduced
PBANKA_0404600,AHA1,"activator of Hsp90 ATPase, putative",-0.096,0.056,not reduced
PBANKA_0931900,,"serine esterase, putative",-1.029,0.121,no power
PBANKA_0912500,,"conserved Plasmodium protein, unknown function",-0.273,0.090,not reduced
PBANKA_1204000,,"conserved Plasmodium protein, unknown function",-0.399,0.088,not reduced
PBANKA_0806900,,"conserved Plasmodium protein, unknown function",0.070,0.106,not reduced
PBANKA_1409200,,"RNA-binding protein, putative",-1.182,0.095,no power
PBANKA_1409600,,"meiosis-specific nuclear structural protein 1, putative",-0.322,0.129,not reduced
PBANKA_0703500,,"conserved Plasmodium protein, unknown function",0.714,0.352,not reduced
PBANKA_0503300,,"conserved Plasmodium protein, unknown function",-0.999,0.092,no power
PBANKA_1133800,,"DNA helicase, putative",-0.491,0.051,not reduced
PBANKA_1027600,,"conserved Plasmodium protein, unknown function",-0.065,0.076,not reduced
PBANKA_1127100,,"conserved Plasmodium protein, unknown function",-0.214,0.158,not reduced
PBANKA_0720900,,"conserved Plasmodium protein, unknown function",0.393,0.070,not reduced
PBANKA_0831100,,"conserved Plasmodium protein, unknown function",-0.688,0.189,no power
PBANKA_1143100,,"conserved Plasmodium protein, unknown function",-0.569,0.104,not reduced
PBANKA_0503700,,"conserved Plasmodium protein, unknown function",-0.470,0.113,not reduced
PBANKA_1238300,,"dynein light chain Tctex-type, putative",-0.496,0.062,not reduced
PBANKA_1110900,,"conserved Plasmodium protein, unknown function",0.131,0.141,not reduced
PBANKA_0903700,CRIPT,"cysteine-rich PDZ-binding protein, putative",-0.480,0.130,not reduced
PBANKA_0716100,,"conserved Plasmodium protein, unknown function",-0.891,0.411,no power
PBANKA_0306600,,"conserved Plasmodium protein, unknown function",-0.547,0.130,not reduced
PBANKA_1029100,,"conserved Plasmodium protein, unknown function",-0.415,0.094,not reduced
PBANKA_0207100,,"conserved Plasmodium protein, unknown function",-0.324,0.253,not reduced
PBANKA_1026000,,"conserved Plasmodium protein, unknown function",0.290,0.138,not reduced
PBANKA_1001500,,"alpha/beta hydrolase, putative",-0.443,0.139,not reduced
PBANKA_1034500,,"conserved Plasmodium protein, unknown function",-0.208,0.095,not reduced
PBANKA_1431600,SR10,"serpentine receptor, putative",-0.934,0.172,no power
PBANKA_0926000,,"conserved Plasmodium protein, unknown function",-0.060,0.135,not reduced
PBANKA_1431200,,"conserved Plasmodium protein, unknown function",-0.504,0.116,not reduced
PBANKA_0513000,IMC1m,"inner membrane complex protein 1m, putative",-0.238,0.139,not reduced
PBANKA_0904000,,"conserved Plasmodium protein, unknown function",-0.033,0.069,not reduced
PBANKA_1352100,,"conserved Plasmodium protein, unknown function",-0.411,0.077,not reduced
PBANKA_1109900,SIP,"stripes inner membrane complex protein, putative",-0.367,0.158,not reduced
PBANKA_1457000,,"ubiquitin-conjugating enzyme E2, putative",-0.632,0.059,not reduced
PBANKA_1107800,,"longevity-assurance (LAG1) protein, putative",-0.326,0.186,not reduced
PBANKA_1104100,,"conserved Plasmodium protein, unknown function",0.297,0.147,not reduced
PBANKA_0312100,,"conserved Plasmodium protein, unknown function",-0.947,0.144,no power
PBANKA_1138100,14-3-3II,"14-3-3 protein, putative",-0.286,0.124,not reduced
PBANKA_1433200,APC10,"anaphase-promoting complex subunit 10, putative",-0.793,0.119,no power
PBANKA_0905100,,"carbohydrate kinase, putative",-0.109,0.071,not reduced
PBANKA_1141400,,"conserved Plasmodium protein, unknown function",-0.878,0.079,no power
PBANKA_1242400,,"conserved Plasmodium protein, unknown function",-0.258,0.070,not reduced
PBANKA_1003600,ASP,"apical sushi protein, putative",0.038,0.249,not reduced
PBANKA_1354600,ISC1,"inner membrane complex suture component, putative",-0.072,0.113,not reduced
PBANKA_1410600,,"conserved Plasmodium protein, unknown function",-0.409,0.229,not reduced
PBANKA_1445700,,"conserved Plasmodium protein, unknown function",-0.900,0.102,no power
PBANKA_0107200,,"conserved Plasmodium protein, unknown function",-0.287,0.051,not reduced
