GeneID,Old GeneID,Description,3D7 Gam Specific Transcription,3D7 Gam Specific Stabilization,Gametocyte transcription,Gametocyte stabilzation,mRNA Control,"Stage I-II transcript (Silvestrini et al., 2005)","Gametocyte transcript (Young et al., 2005)","Stage I-II transcript (Eksi et al., 2005)","Stage I-II transcript (Eksi et al., 2012)","Transcript downregulated in DOZI/CITH KO (Mair et al., 2010)","Stage II transcript enriched 2-fold (Lopez-Barragan et al., 2011)","Stage V tranascript enriched 2-fold (Lopez-Barragan et al., 2011)","Ookinete transcript enriched 20-fold (Lopez-Barragan et al., 2011)","Gameotcyte-Ookinete transcript present (Lopez-Barragan et al., 2011)","Stage I-II transcript in HP1off (Brancucci et al., 2014)","Stage I-II peptide (Silvestrini et al., 2010)","Stage V peptide (Silvestrini et al., 2010)","Male-Female Gametocyte Peptide (Tao et al., 2014)","Male-Female Stage V Gametocyte Peptide (Tao et al., 2014)",Times previously identified,Identified in this study,Previously identified as enriched,NEW,,
PF3D7_0314700,PFC0610c,"zinc finger protein, putative",-0.488964,1.068627,,√,stabilized,,,,,,√,√,,√,,√,√,,,5,YES,YES,,,
PF3D7_1438800,PF14_0367,"conserved Plasmodium protein, unknown function",0.5885585,1.007434,,√,stabilized,,√,,,,√,,√,√,,,√,,,5,YES,YES,,,
PF3D7_0922300,PFI1095w,"conserved Plasmodium protein, unknown function",0.267826,0.9311215,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0110000,PFA0490w,"conserved Plasmodium protein, unknown function",-0.6256565,0.927003,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0930000,PFI1465w,"procollagen lysine 5-dioxygenase, putative",1.024745,0.9267155,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_1206300,PFL0315c,"conserved Plasmodium protein, unknown function",-0.5342255,0.910148,,,,√,,,,,,,√,√,,,,√,√,5,NO,YES,,,
PF3D7_1475500,PF14_0723,LCCL domain-containing protein (CCp1),0.540663,0.881367,√,,transcribed,,,,,,√,,√,√,,√,√,,,5,YES,YES,,,
PF3D7_0422900,PFD1080w,"conserved Plasmodium protein, unknown function",-0.6509825,0.8770305,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1362600,MAL13P1.312,"conserved Plasmodium protein, unknown function",0.673689,0.857062,,,,,√,,,√,√,,√,√,,,,,,5,NO,YES,,,
PF3D7_0320200,PFC0895w,CPW-WPC family protein,0.673376,0.847957,,,,,√,,,√,,√,√,√,,,,,,5,NO,YES,,,
PF3D7_1316000,MAL13P1.84,"protein kinase, putative",0.83706,0.8432415,,,,,√,,,√,√,,√,√,,,,,,5,NO,YES,,,
PF3D7_0418800,PFD0910w,"conserved Plasmodium protein, unknown function",1.056463,0.8402635,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_1413000,PF14_0129,"conserved Plasmodium protein, unknown function",-0.0889275,0.8216055,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_1426300,PF14_0243a,"dynein-associated protein, putative",-0.408305,0.815734,,,,,√,,,,,,√,√,,,,√,√,5,NO,YES,,,
PF3D7_1210200,PFL0510c,"zinc finger protein, putative",1.0328465,0.8071295,√,,transcribed,,√,,,√,√,,√,√,,,,,,5,YES,YES,,,
PF3D7_1466200,PF14_0631,"conserved Plasmodium protein, unknown function",-1.422192,0.7850875,,,,,,,,,√,,,√,√,√,√,,,5,NO,YES,,,
PF3D7_0801300,PF08_0136b,von Willebrand factor A-domain related protein (WARP),1.2621155,0.7750945,√,,transcribed,,,,,√,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_1429300,PF14_0272,CPW-WPC family protein,-0.2478455,0.7706355,,,,,√,,,√,√,,√,√,,,,,,5,NO,YES,,,
PF3D7_0111000,PFA0535c,"kinesin, putative",-0.966804,0.770118,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_1306500,MAL13P1.32,"MORN repeat protein, putative",0.5764405,0.7273015,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0816800,MAL8P1.76,meiotic recombination protein dmc1-like protein,1.558436,0.7259335,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0825800,MAL8P1.25,"conserved Plasmodium protein, unknown function",0.4530025,0.719679,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0514500,PFE0725c,"conserved Plasmodium membrane protein, unknown function",0.503857,0.7148805,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0216000,PFB0730w,"DEAD/DEAH box helicase, putative",-0.1044085,0.703543,,,,,√,,,,,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0925000,PFI1225w,"conserved Plasmodium protein, unknown function",0.437807,0.680101,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1440600,PF14_0385,"conserved Plasmodium protein, unknown function",0.570721,0.6598005,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1470500,PF14_0672,"phosphodiesterase delta, putative (PDEdelta)",-0.40219,0.6218255,,,,,√,,,√,,,√,√,,,√,,,5,NO,YES,,,
PF3D7_0925100,PFI1230c,"conserved Plasmodium protein, unknown function",0.5607195,0.6174845,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0411700,PFD0580c,"conserved Plasmodium protein, unknown function",0.9417335,0.615515,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0715100,PF07_0060,"conserved Plasmodium protein, unknown function",1.32837,0.613646,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0517500,PFE0875c,"conserved Plasmodium protein, unknown function",-0.0377175,0.6135185,,,,,√,,,,√,√,,√,,,√,,,5,NO,YES,,,
PF3D7_0722800,PF07_0094,"conserved Plasmodium protein, unknown function",1.015814,0.593943,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0417700,PFD0860w,"conserved Plasmodium protein, unknown function",-0.878892,0.5912895,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0624300,PFF1170w,"conserved Plasmodium protein, unknown function",-0.038387,0.56676,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0603900,PFF0190c,"conserved Plasmodium protein, unknown function",1.1621665,0.5641155,√,,transcribed,,,,,,√,√,√,√,,,√,,,5,YES,YES,,,
PF3D7_0522900,PFE1145w,"zinc finger protein, putative",-0.0569505,0.560601,√,,transcribed,,,,,√,,√,√,√,,,√,,,5,YES,YES,,,
PF3D7_0517800,PFE0890c,"apicortin, putative",1.6670655,0.5500645,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_1207000,PFL0350c,"conserved Plasmodium protein, unknown function",-0.952547,0.546778,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_1103500,PF11_0045,CPW-WPC family protein,1.246973,0.5379765,√,,transcribed,,√,,,√,√,,√,√,,,,,,5,YES,YES,,,
PF3D7_0516500,PFE0825w,"metabolite/drug transporter, putative",0.4158095,0.5370115,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0923700,PFI1165c,"conserved Plasmodium protein, unknown function",0.9513355,0.536943,√,,transcribed,,√,,,,√,√,,√,,,√,,,5,YES,YES,,,
PF3D7_1126800,PF11_0279,"conserved Plasmodium protein, unknown function",0.6997695,0.510986,,,,,√,,,,√,,√,√,,,√,,,5,NO,YES,,,
PF3D7_0804700,PF08_0122,"conserved Plasmodium protein, unknown function",0.6385535,0.507837,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0828000,MAL8P1.16,rhomboid protease ROM3 (ROM3),0.520438,0.5074435,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0905300,PFI0260c,"dynein heavy chain, putative",1.2031,0.507385,√,,transcribed,,,,,,,√,,√,,,√,√,√,5,YES,YES,,,
PF3D7_1362700,MAL13P1.313,"conserved Plasmodium protein, unknown function",-0.71307,0.491044,,,,,,,,,√,,√,√,√,√,,,,5,NO,YES,,,
PF3D7_1472500,PF14_0693,"conserved Plasmodium protein, unknown function",-0.844204,0.4893855,,,,,√,,,,√,,√,√,,,√,,,5,NO,YES,,,
PF3D7_0731800,MAL7P1.178,"alpha/beta hydrolase, putative (GEXP08)",-1.17345,0.4872805,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1348800,MAL13P1.246,"E1-E2 ATPase, putative",1.2079135,0.4721535,√,,transcribed,,,,,,,,√,√,,,√,√,√,5,YES,YES,,,
PF3D7_1030900,PF10_0302,28 kDa ookinete surface protein (Pfs28),0.3993165,0.4713905,√,,transcribed,,√,,,√,√,,√,√,,,,,,5,YES,YES,,,
PF3D7_1325200,PF13_0144,"oxidoreductase, putative",0.5881295,0.467458,,,,,√,,,,√,,,√,,√,√,,,5,NO,YES,,,
PF3D7_1027900,PF10_0273,"DHHC-type zinc finger protein, putative",0.1412995,0.458723,,,,,√,,,√,√,,√,√,,,,,,5,NO,YES,,,
PF3D7_1248400,PFL2320w,"conserved Plasmodium protein, unknown function",-0.332915,0.454736,,,,,√,,,,√,,√,√,,√,,,,5,NO,YES,,,
PF3D7_1141900,PF11_0431,"inner membrane complex protein 1b, putative (IMC1b)",-0.17078,0.450041,,,,,√,,,√,√,,√,√,,,,,,5,NO,YES,,,
PF3D7_1451600,PF14_0491,LCCL-like protein (FNPA),0.316967,0.44052,√,,transcribed,,√,,,√,,,√,√,,,√,,,5,YES,YES,,,
PF3D7_0827200,PF08_0017,"conserved Plasmodium protein, unknown function",2.1253035,0.4284115,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0816900,PF08_0062,adenylate kinase 2 (AK2),1.638755,0.415757,√,,transcribed,,,,,,√,√,√,√,,,√,,,5,YES,YES,,,
PF3D7_0208900,PFB0400w,6-cysteine protein (P230p),2.0996215,0.4114965,√,,transcribed,,√,,,,,,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0805000,MAL8P1.138,"alpha/beta hydrolase, putative",-0.6016145,0.400465,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0528900,PFE1440c,"conserved Plasmodium protein, unknown function",0.7254415,0.386988,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0920300,PFI0995w,"conserved Plasmodium protein, unknown function",0.524643,0.3683235,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0708600,PF07_0031,heat shock protein 86 family protein,1.0691225,0.358568,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_1023600,PF10_0229,"conserved Plasmodium protein, unknown function",0.8304795,0.3390395,,,,,√,,,,√,,,√,,,,√,√,5,NO,YES,,,
PF3D7_0903800,PFI0185w,LCCL domain-containing protein (CCp4),1.3228475,0.335704,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0827400,PF08_0015,"conserved Plasmodium protein, unknown function",-0.0854565,0.3239565,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_1403000,PF14_0030,"conserved Plasmodium protein, unknown function",0.8800105,0.322339,,,,,√,,,,√,,√,√,,,√,,,5,NO,YES,,,
PF3D7_1311100,PF13_0060,"conserved Plasmodium protein, unknown function",1.0111985,0.318013,√,,transcribed,,,,,,,,√,√,,,√,√,√,5,YES,YES,,,
PF3D7_0513600,PFE0675c,"deoxyribodipyrimidine photolyase (photoreactivating enzyme, DNA photolyase), putative",-0.1793915,0.3090665,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0605400,PFF0265c,"calcium-binding protein, putative",-0.2693925,0.3022425,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1403400,PF14_0032,"conserved Plasmodium protein, unknown function",-0.2285735,0.2893075,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1227500,PFL1330c,cyclin (CYC2),-0.290408,0.285021,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_0109900.1,PFA0485w-a,"phosphatidate cytidylyltransferase, putative",-0.1428755,0.2823105,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0311600,PFC0490w,"conserved Plasmodium protein, unknown function",-0.3760835,0.269785,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1137600,PF11_0388,"conserved Plasmodium protein, unknown function",2.1865445,0.2694435,√,,transcribed,,√,,,,,,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0318400,PFC0815c,"conserved Plasmodium protein, unknown function",0.58914,0.2680195,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1112900,PF11_0135,"conserved Plasmodium protein, unknown function",-0.766,0.261026,√,,transcribed,,,,,,√,,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0933500,PFI1620c,"conserved Plasmodium protein, unknown function",-1.116304,0.25207,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0205000,PFB0225c,"conserved Plasmodium protein, unknown function",0.452716,0.246758,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0905600,PFI0275w,"conserved Plasmodium protein, unknown function",1.5532605,0.244741,√,,transcribed,,,,,,,√,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0514000,PFE0700c,"tubulin-tyrosine ligase, putative (TTL)",0.518411,0.234075,,,,,√,,,,,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0111400,PFA0550w,"conserved Plasmodium protein, unknown function (GEXP19)",0.2232185,0.2298665,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0604000,PFF0195c,"conserved Plasmodium protein, unknown function",0.6313075,0.218874,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0915800,PFI0775w,"glycolipid transfer protein, putative",0.5785855,0.2126505,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_1023700,PF10_0230,"conserved Plasmodium protein, unknown function",1.6391825,0.208578,√,,transcribed,,√,,,,,,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0307900,PFC0335c,"conserved Plasmodium protein, unknown function",0.8558715,0.2052725,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1319700,MAL13P1.105,"ser/thr protein phosphatase 2A regulatory subunit A, putative",0.413405,0.2037285,,,,,√,,,,√,,,√,,√,√,,,5,NO,YES,,,
PF3D7_0819800,MAL8P1.60,"conserved Plasmodium protein, unknown function",0.113124,0.2006225,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0314100.1,PFC0582c-a,"vesicle transport v-SNARE protein, putative",-0.821857,0.1864185,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0626500,PFF1285w,"conserved Plasmodium protein, unknown function",1.1608435,0.176977,√,,transcribed,,,,,,,√,,√,,,√,√,√,5,YES,YES,,,
PF3D7_1242400,PFL2040w,"conserved Plasmodium protein, unknown function",-0.446995,0.162385,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_0623400,PFF1125c,"RNA-binding protein mei2 homologue, putative",0.7411235,0.1606055,,,,,,,,√,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_1452800,PF14_0503,"conserved Plasmodium protein, unknown function",1.371899,0.140155,√,,transcribed,,,,,,√,,,√,,,√,√,√,5,YES,YES,,,
PF3D7_1131200,PF11_0322,"conserved Plasmodium protein, unknown function",-0.1374565,0.1339965,,,,,√,,,,√,,√,√,,,√,,,5,NO,YES,,,
PF3D7_1445000,PF14_0427,"conserved Plasmodium protein, unknown function",0.023,0.123889,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0936400,PFI1760w,ring-exported protein 4 (REX4),-1.2902025,0.100951,,,,,,,,,√,√,√,√,,√,,,,5,NO,YES,,,
PF3D7_0703800,PF07_0014,"conserved Plasmodium protein, unknown function",1.2258,0.0986135,√,,transcribed,,,,,,,√,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0415600,PFD0755c,adenylate kinase (GAK),0.7502365,0.096456,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0113400,PFA0640c,"Plasmodium exported protein, unknown function",-0.32499,0.086984,,,,,,,,,√,√,√,√,√,,,,,5,NO,YES,,,
PF3D7_0310000,PFC0416w,"conserved Plasmodium protein, unknown function",-1.005027,0.085321,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1235800,PFL1730c,"conserved Plasmodium protein, unknown function",1.1777035,0.078736,√,,transcribed,,√,,,,,,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0419000,PFD0920w,"conserved Plasmodium protein, unknown function",0.821508,0.048188,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0315700,PFC0685w,"conserved Plasmodium membrane protein, unknown function",1.60721,0.0327075,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0203800,PFB0177c,"conserved Plasmodium protein, unknown function",0.991452,-0.014344,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_1228300,PFL1370w,NIMA related kinase 1 (NEK1),-0.9765525,-0.0352175,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_0204000,PFB0185w,"conserved Plasmodium protein, unknown function",0.4204475,-0.0454835,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1432400,PF14_0305,leucine-rich repeat protein (LRR5),0.204889,-0.071576,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0322600,PFC1010w,"conserved Plasmodium protein, unknown function",1.5018945,-0.073292,√,,transcribed,,,,,,,√,,√,,,√,√,√,5,YES,YES,,,
PF3D7_1107400,PF11_0087,Rad51 homolog (RAD51),-1.0738775,-0.077253,,,,,,,,√,,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1215800,PFL0760w,"conserved Plasmodium protein, unknown function",1.6610865,-0.102089,√,,transcribed,,,,,,√,,,√,,,√,√,√,5,YES,YES,,,
PF3D7_0523600,PFE1175w,"conserved Plasmodium protein, unknown function",-1.2252655,-0.1643165,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0111300,PFA0545c,"replication factor c protein, putative",-0.4112515,-0.1718335,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0824200,MAL8P1.34,"conserved Plasmodium protein, unknown function",0.072248,-0.173236,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0219100,PFB0880w,"conserved protein, unknown function",1.1693715,-0.1790175,√,,transcribed,,√,,,,,√,√,√,,,√,,,5,YES,YES,,,
PF3D7_0630000,PFF1455c,CPW-WPC family protein,-0.828216,-0.215813,,,,,,,,√,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_1304300,MAL13P1.24,"conserved Plasmodium protein, unknown function",-1.5409,-0.223596,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1348400,PF13_0254,"conserved Plasmodium membrane protein, unknown function",-0.1527385,-0.2357075,,,,,√,,,,√,,√,√,,,√,,,5,NO,YES,,,
PF3D7_1304400,PF13_0020,"conserved Plasmodium protein, unknown function",0.097872,-0.257513,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0509200,PFE0455w,leucine-rich repeat protein (LRR2),-0.4674885,-0.259873,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0508400,PFE0415w,"transcription factor IIb, putative",0.9965775,-0.264586,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_0821200,PF08_0043,"conserved Plasmodium protein, unknown function",0.006227,-0.310962,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0822100,PF08_0037,"RNA polymerase II mediator complex protein MED7, putative",0.372402,-0.3156205,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1010900,PF10_0106,"conserved Plasmodium protein, unknown function",0.586369,-0.319561,,,,,,,,,√,√,√,√,,√,,,,5,NO,YES,,,
PF3D7_1215100,PFL0730w,"conserved Plasmodium protein, unknown function",0.749758,-0.322308,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0308000,PFC0340w,"DNA polymerase epsilon subunit b, putative",1.1861395,-0.3745,√,,transcribed,,,,,,,√,,√,,√,√,√,,5,YES,YES,,,
PF3D7_0322800,PFC1016w,"conserved Plasmodium protein, unknown function",1.1427385,-0.3840235,√,,transcribed,,,,,,,√,,√,,,√,√,√,5,YES,YES,,,
PF3D7_1421000,PF14_0775,"conserved Plasmodium protein, unknown function",-1.335211,-0.3902045,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0407200,PFD0355c,"peptidyl-tRNA hydrolase PTH2, putative",-0.780939,-0.402198,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1330800,PF13_0165,"conserved Plasmodium protein, unknown function",0.676195,-0.406733,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_1324400,PF13_0138,"MSF1-like protein, putative",-0.067237,-0.5700275,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0506100,PFE0300c,"60S ribosomal subunit protein L24-2, putative",0.457166,-0.7894765,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0921000.2,PFI1030c-a,"ubiquitin conjugating enzyme, putative",1.8262275,-0.8412745,√,,transcribed,,,,,,√,√,,√,,√,√,,,5,YES,YES,,,
PF3D7_0113900,PFA0670c,"Plasmodium exported protein (hyp8), unknown function (GEXP10)",-0.195698,-0.860132,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0304400,PFC0200w-a,"60S ribosomal protein L44, putative",-2.130098,-0.9712,,,,,,,,,√,√,,√,,,,√,√,5,NO,YES,,,
PF3D7_1367600,MAL13P1.341,"ribosome biogenesis protein MRT4, putative",-0.3950835,-0.9802995,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0911100,PFI0540w,"conserved Plasmodium protein, unknown function",0.5601935,2.034344,,√,stabilized,,,,,,,√,√,√,,,√,,,4,YES,YES,,,
PF3D7_0828800,PF08_0008,GPI-anchored micronemal antigen (GAMA),-2.1415745,1.999234,,√,stabilized,,,,,,,√,√,√,,,√,,,4,YES,YES,,,
PF3D7_0929400,PFI1445w,high molecular weight rhoptry protein 2 (RhopH2),-3.9461535,1.982259,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_0610400,PFF0510w,histone H3 (H3),-5.0190825,1.9004415,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_1310700,PF13_0058,"conserved Plasmodium protein, unknown function",0.535386,1.885266,,√,stabilized,√,,,,,√,,√,√,,,,,,4,YES,YES,,,
PF3D7_0525800,PFE1285w,membrane skeletal protein IMC1-related,0.639973,1.7796195,,√,stabilized,√,,,,√,,,√,√,,,,,,4,YES,YES,,,
PF3D7_0408000,PFD0395c,"conserved Plasmodium protein, unknown function",-1.488131,1.731769,,√,stabilized,,,,,√,√,√,,√,,,,,,4,YES,YES,,,
PF3D7_1361800,MAL13P1.308,"conserved Plasmodium protein, unknown function",-3.9978455,1.6868215,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_0304100,PFC0185w,membrane skeletal protein IMC1-related (ALV2),-0.8722355,1.558486,,√,stabilized,,,,,√,,√,√,√,,,,,,4,YES,YES,,,
PF3D7_1007200,PF10_0071,"rhoGAP GTPase, putative",-2.109986,1.4980305,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_1307500,PF13_0039,"conserved Plasmodium protein, unknown function",-1.563131,1.4302275,,√,stabilized,√,,,,,√,,√,√,,,,,,4,YES,YES,,,
PF3D7_1143100,PF11_0442,transcription factor with AP2 domain(s) (AP2-O),-1.470349,1.424535,,√,stabilized,√,,,,√,,,√,√,,,,,,4,YES,YES,,,
PF3D7_0805200,PF08_0119,"conserved Plasmodium protein, unknown function",0.0904785,1.363222,,√,stabilized,,,,,,√,√,√,√,,,,,,4,YES,YES,,,
PF3D7_1223100,PFL1110c,cAMP-dependent protein kinase regulatory subunit (PKAr),-2.279924,1.353589,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_0617800,PFF0860c,histone H2A (H2A),-2.4366605,1.3358735,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_0730400,PF07_0127,"conserved Plasmodium protein, unknown function",-2.1242375,1.274219,,√,stabilized,,,,,,√,√,,√,,,√,,,4,YES,YES,,,
PF3D7_0802800,PF08_0129,"serine/threonine protein phosphatase, putative",-1.6356975,1.2259375,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_1406800,PF14_0065,glideosome associated protein with multiple membrane spans 3 (GAPM3),-4.117419,1.18116,,√,stabilized,,,,,,√,,√,√,,,√,,,4,YES,YES,,,
PF3D7_1105000,PF11_0061,histone H4 (H4),-1.8128495,1.1364435,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_0729900,MAL7P1.162,"dynein heavy chain, putative",-0.5566895,1.1040335,,√,stabilized,,√,,,,,√,,√,,,√,,,4,YES,YES,,,
PF3D7_0303200,PFC0150w,"HAD superfamily protein, putative",-1.199316,1.0954665,,√,stabilized,,,,,,,,,√,,√,√,√,,4,YES,YES,,,
PF3D7_0811600,PF08_0091,"conserved Plasmodium protein, unknown function",-3.510927,1.0596205,,√,stabilized,,,,,,,,,√,,√,√,√,,4,YES,YES,,,
PF3D7_1246200,PFL2215w,actin I (ACT1),-0.99422,1.057637,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_0914100,PFI0690c,"conserved Plasmodium protein, unknown function",-0.91097,1.044463,,√,stabilized,√,,,,√,,,√,√,,,,,,4,YES,YES,,,
PF3D7_1028600,PF10_0280,"conserved Plasmodium protein, unknown function",-2.0554525,1.012507,,√,stabilized,,,,,,√,,√,√,,,√,,,4,YES,YES,,,
PF3D7_0217500,PFB0815w,calcium dependent protein kinase 1 (CDPK1),-1.3752485,1.000132,,√,stabilized,,,,,,,,√,√,,√,√,,,4,YES,YES,,,
PF3D7_1131500,PF11_0325,"conserved Plasmodium protein, unknown function",0.1491035,0.9914865,,,,,√,,,,√,,√,√,,,,,,4,NO,YES,,,
PF3D7_0828900,PF08_0007,"conserved Plasmodium protein, unknown function",-0.958323,0.9878125,,,,,,,,,,√,√,√,,,√,,,4,NO,YES,,,
PF3D7_0932000,PFI1555w,"conserved Plasmodium protein, unknown function",-0.8530355,0.9827095,,,,,,,,,√,√,√,√,,,,,,4,NO,YES,,,
PF3D7_1252100,PFL2505c,rhoptry neck protein 3 (RON3),-3.5510885,0.9358345,,,,,,,,,,,√,√,,√,√,,,4,NO,YES,,,
PF3D7_1362100,MAL13P1.309,"14-3-3 protein, putative",-0.241259,0.932527,,,,,√,,,,√,,√,√,,,,,,4,NO,YES,,,
PF3D7_0621100,PFF1020c,"conserved Plasmodium protein, unknown function",-1.97961,0.9266975,,,,,,,,,,,,√,,√,√,√,,4,NO,YES,,,
